包含以下主要诊断：
A00.000x001 古典生物型霍乱
A00.100x001 埃尔托生物型霍乱
A00.900 霍乱
A00.900x002 霍乱轻型
A00.900x003 霍乱中型
A00.900x004 霍乱重型
A00.900x005 霍乱暴发型
A01.000x008 伤寒并发腹膜炎
A01.000x009 伤寒并发肠穿孔
A01.000x010 伤寒并发肠出血
A02.000 沙门菌肠炎
A02.000x005 婴儿沙门菌肠炎
A02.000x006 C 群沙门菌肠炎
A02.000x007 B 群沙门菌肠炎
A02.000x009 沙门菌小肠炎
A02.000x010 猪霍乱沙门菌肠炎
A02.001 阿哥拉沙门菌肠炎
A02.002 沙门菌伦敦血清型肠炎
A02.003 沙门菌胃肠炎
A02.004 鼠伤寒沙门菌肠炎
A02.900x003 沙门菌属食物中毒
A03.000x001 痢疾志贺菌痢疾
A03.100x001 福氏志贺菌痢疾
A03.200x001 鲍氏志贺菌痢疾
A03.300x001 宋内志贺菌痢疾
A03.800x001 不定型志贺菌痢疾
A03.800x002 菌痢混合感染
A03.900 细菌性痢疾
A03.900x002 慢性细菌性痢疾急性发作
A03.900x005 慢性隐匿型菌痢
A03.900x007 中毒型菌痢休克型
A03.900x008 中毒型菌痢脑型
A03.900x009 中毒型菌痢混合型
A03.901 急性细菌性痢疾
A03.902 慢性迁延型细菌性痢疾
A03.903 慢性细菌性痢疾
A03.904 中毒型细菌性痢疾
A04.000x002 肠致病性大肠杆菌肠炎
A04.100x001 肠毒性大肠杆菌肠炎
A04.200x001 肠侵袭性大肠杆菌肠炎
A04.300x001 肠出血性大肠杆菌肠炎
A04.400x004 肠粘附性大肠杆菌肠炎
A04.401 大肠杆菌性肠炎
A04.500 弯曲菌肠炎
A04.600 小肠结肠耶尔森菌性小肠炎
A04.600x001 耶尔森菌肠炎
A04.700 艰难梭状芽孢杆菌性小肠结肠炎
A04.700x002 抗生素相关性肠炎
A04.702 伪膜性结肠炎
A04.800x001 吡邻单胞菌肠炎
A04.800x003 产气杆菌肠炎
A04.800x006 副溶血弧菌肠炎
A04.800x007 金黄色葡萄球菌肠炎
A04.800x010 嗜水气单胞菌肠炎
A04.801 变形杆菌肠炎
A04.802 铜绿假单胞菌肠炎
A04.803 厌氧菌肠炎
A04.900 细菌性肠道感染
A04.901 细菌性结肠炎
A04.902 细菌性腹泻
A05.000 食物媒介的葡萄球菌性食物中毒
A05.000x001 葡萄球菌食物中毒
A05.100 肉毒中毒
A05.200 食物媒介的产气荚膜梭状芽孢杆菌［韦尔~~希梭状芽孢杆菌］食物中毒
A05.200x002 急性出血性坏死性肠炎
A05.202 急性坏死性肠炎
A05.300 食物媒介的副溶血性弧菌食物中毒
A05.300x001 副溶血性弧菌食物中毒
A05.400 食物媒介的蜡样芽孢杆菌食物中毒
A05.400x001 蜡样芽胞杆菌食物中毒
A05.800 食物中毒，其他特指的细菌性
A05.900 细菌性食物中毒
A06.000 急性阿米巴痢疾
A06.000x001 阿米巴肠炎
A06.001 阿米巴结肠炎
A06.002 阿米巴痢疾
A06.100 慢性肠阿米巴病
A06.100x002 阿米巴肠溃疡
A06.200 阿米巴非痢疾性结肠炎
A06.200x001 非痢疾性阿米巴结肠炎
A06.300 肠道阿米巴瘤
A06.800x002 阿米巴阑尾炎
A07.000 小袋纤毛虫病
A07.100 贾第虫病[兰伯鞭毛虫病]
A07.200 隐孢子虫病
A07.300 等孢球虫病
A07.300x002 肠道球虫病
A07.800x002 肉孢子虫病
A07.801 肠道滴虫病
A07.900x001 肠道原虫感染
A08.000 轮状病毒性肠炎
A08.100x001 诺如病毒性肠炎
A08.101 诺如病毒性急性胃肠病
A08.200 腺病毒性肠炎
A08.300 病毒性肠炎，其他的
A08.301 EB 病毒性肠炎
A08.400 病毒性肠道感染
A08.400x003 病毒性小肠炎
A08.401 病毒性肠炎
A08.402 病毒性胃肠炎
A08.500 肠道感染，其他特指的
A09.000x001 肠道感染
A09.000x003 流行性肠炎
A09.000x006 出血性结肠炎
A09.001 感染性胃肠炎
A09.002 感染性结肠炎
A09.003 痢疾
A09.004 感染性腹泻
A09.005 脓毒性肠炎
A09.006 急性出血性肠炎
A09.007 急性感染性肠炎
A09.900x003 急性肠炎
A09.900x004 急性小肠炎
A09.900x006 肠炎
A09.900x007 腹泻
A09.901 胃肠炎
A09.901 胃肠炎
A09.902 结肠炎
A09.902 结肠炎
A09.903 婴儿腹泻
A09.904 出血性肠炎
A18.300x006+K67.3* 髂窝结核
A18.300x009+K93.0* 腹腔结核
A18.300x013+K93.0* 结核性胃结肠瘘
A18.300x014+K93.0* 结核性直肠瘘
A18.300x015+K93.0* 膈下结核性脓肿
A18.300x016 腹膜后结核
A18.302+K93.0* 阑尾结核
A18.303+K93.0* 肠结核
A18.304+K93.0* 结核性肠炎
A18.305+K93.0* 结肠结核瘤
A18.306+K93.0* 结核性肛瘘
A18.307+K93.0* 肛周结核
A18.308 腹腔淋巴结结核
A18.309 结核性腹腔积液
A18.310 腹膜后淋巴结结核
A18.311+K93.0* 腹膜结核
A18.312+K93.0* 腹部结核性脓肿
A18.314+K67.3* 结核性腹膜炎
A18.315+K93.0* 肠系膜结核
A18.316+K93.0* 肠系膜淋巴结结核
A18.317 髂窝结核性脓肿
A18.318 髂窝淋巴结结核
A18.800x014+K23.0* 食管结核
A18.807+K23.0* 结核性食管炎
A18.812+K93.8* 胃结核
A20.800x004 肠鼠疫
A21.300 胃肠土拉菌病
A21.301 腹部土拉菌病
A22.200 胃肠炭疽
A22.200x001 肠炭疽
A42.100 腹放线菌病
A51.100x001 肛门梅毒
A52.710+K67.2* 梅毒性腹膜炎
A54.600x001 淋球菌性直肠炎
A54.601 直肠淋球菌感染
A54.602 肛门淋球菌感染
A54.807+K67.1* 淋球菌性腹膜炎
A56.300x001 衣原体性直肠炎
A56.301 直肠衣原体感染
A56.302 肛门衣原体感染
A60.102+K93.8* 直肠疱疹病毒感染
A74.801+K67.0* 衣原体腹膜炎
B05.400 麻疹伴有肠道并发症
B37.800x091 念珠菌性腹膜炎
B37.804 食管念珠菌病
B37.805 胃肠道念珠菌感染
B37.806 肠道念珠菌病
B46.200x001+K93.8* 胃肠型毛霉菌病
B49.x00x002 真菌性结肠炎
B49.x12 真菌性食管炎
B49.x16 肠道真菌感染
B49.x17 真菌性腹膜炎
B57.300 慢性查加斯病累及消化系统
B66.500 姜片虫病
B66.501 肠吸虫病
B67.907 腹腔棘球蚴病
B76.000 十二指肠钩虫病
B76.901 胃钩虫病
B76.902 肠道钩虫病
B77.000x001+K93.8* 肠蛔虫病
B77.001+K93.8* 蛔虫性肠穿孔
B77.900 蛔虫病
B78.000 肠道类圆线虫病
B81.100 肠道毛细线虫病
B81.300 肠道血管圆线虫病
B81.400 混合型肠道蠕虫病
B81.800x001 结节线虫病
B81.800x002 三齿线虫病
B81.801 食道口线虫病
B81.802 缩小三齿线虫病
B82.000 肠道蠕虫病
B82.900 肠道寄生虫病
B82.901 肠寄生虫性脓肿
B87.800x002+K93.8* 肠蝇蛆病
B88.200x001 肠蜣螂病
C15.000 颈部食管恶性肿瘤
C15.100 胸部食管恶性肿瘤
C15.100x002 食管胸上段恶性肿瘤
C15.100x003 食管胸中段恶性肿瘤
C15.100x004 食管胸下段恶性肿瘤
C15.200 腹部食管恶性肿瘤
C15.300 食管上三分之一的恶性肿瘤
C15.400 食管中三分之一的恶性肿瘤
C15.500 食管下三分之一的恶性肿瘤
C15.800x001 食管颈部及腹部恶性肿瘤
C15.800x002 食管颈部及胸部恶性肿瘤
C15.800x003 食管胸部及腹部恶性肿瘤
C15.800x004 食管颈部和胸部及腹部恶性肿瘤
C15.801 食管中上段恶性肿瘤
C15.802 食管中下段恶性肿瘤
C15.900 食管恶性肿瘤
C15.900x003 食管多处恶性肿瘤
C16.000 贲门恶性肿瘤
C16.000x003 贲门口恶性肿瘤
C16.000x004 胃角恶性肿瘤
C16.001 食管贲门连接处恶性肿瘤
C16.002 食管胃连接处恶性肿瘤
C16.100 胃底恶性肿瘤
C16.200 胃体恶性肿瘤
C16.301 胃窦恶性肿瘤
C16.400 幽门恶性肿瘤
C16.401 幽门前恶性肿瘤
C16.402 幽门管恶性肿瘤
C16.500 胃小弯恶性肿瘤
C16.600 胃大弯恶性肿瘤
C16.800 胃交搭跨越恶性肿瘤的损害
C16.800x002 胃体和胃窦及胃大弯恶性肿瘤
C16.800x003 胃底及胃体恶性肿瘤
C16.801 贲门胃底恶性肿瘤
C16.802 贲门胃体恶性肿瘤
C16.803 胃窦胃体恶性肿瘤
C16.804 胃底胃体恶性肿瘤
C16.900 胃恶性肿瘤
C16.900x003 胃多处恶性肿瘤
C16.902 胃溃疡癌变
C16.903 残胃恶性肿瘤
C17.000 十二指肠恶性肿瘤
C17.100 空肠恶性肿瘤
C17.200 回肠恶性肿瘤
C17.300 麦克尔憩室恶性肿瘤
C17.800 小肠交搭跨越恶性肿瘤的损害
C17.801 十二指肠及空肠恶性肿瘤
C17.900 小肠恶性肿瘤
C17.900x002 小肠多处恶性肿瘤
C18.000 盲肠恶性肿瘤
C18.001 回盲部恶性肿瘤
C18.100 阑尾恶性肿瘤
C18.200 升结肠恶性肿瘤
C18.300 结肠肝曲恶性肿瘤
C18.400 横结肠恶性肿瘤
C18.500 结肠脾曲恶性肿瘤
C18.600 降结肠恶性肿瘤
C18.700 乙状结肠恶性肿瘤
C18.800x002 盲肠及升结肠恶性肿瘤
C18.801 降结肠乙状结肠恶性肿瘤
C18.802 升结肠横结肠恶性肿瘤
C18.803 横结肠降结肠恶性肿瘤
C18.900 结肠恶性肿瘤
C18.900x001 结肠多处恶性肿瘤
C18.901 结肠腺瘤恶变
C19.x00 直肠乙状结肠连接处恶性肿瘤
C19.x01 结肠和直肠恶性肿瘤
C20.x00 直肠恶性肿瘤
C20.x00x003 直肠多处恶性肿瘤
C20.x01 直肠壶腹部恶性肿瘤
C21.000 肛门恶性肿瘤
C21.100 肛管恶性肿瘤
C21.101 肛门括约肌恶性肿瘤
C21.200 泄殖腔肛源区恶性肿瘤
C21.800 直肠、肛门和肛管交搭跨越恶性肿瘤的损~~害
C21.801 直肠肛管恶性肿瘤
C21.802 直肠肛门恶性肿瘤
