头颈部创伤
包含以下主要诊断：
S01.800x011 开放性脑损伤伴颅骨骨折
S01.800x031 开放性脑损伤
S01.801 开放性颅内异物
S02.100 颅底骨骨折
S02.100x002 前颅凹骨折
S02.100x003 中颅凹骨折
S02.100x004 后颅凹骨折
S02.100x006 眶顶骨折
S02.100x008 额窦骨折
S02.100x009 蝶骨骨折
S02.101 枕骨骨折
S02.102 颞骨骨折
S02.103 筛窦骨折
S02.111 开放性颅底骨骨折
S02.112 开放性枕骨骨折
S02.113 开放性颞骨骨折
S02.114 开放性筛窦骨折
S02.700x001 颅骨多发性骨折
S02.700x002 颅骨和面骨多发性骨折
S02.701 多发性面骨骨折
S02.712 开放性多发性颅骨骨折
S02.900x002 颅骨骨折
S02.902 颅骨凹陷性骨折
S02.911 开放性颅骨骨折
S06.000 脑震荡
S06.100 创伤性大脑水肿
S06.200x001 弥散性大脑损伤
S06.200x002 弥散性小脑损伤
S06.200x011 弥散性大脑损伤伴出血
S06.200x021 弥散性小脑损伤伴出血
S06.200x031 多发性大脑内出血
S06.200x032 多发性大脑血肿
S06.200x033 多发性小脑血肿
S06.200x081 多发性大脑挫裂伤
S06.200x082 多发性小脑挫裂伤
S06.201 脑干挫伤
S06.202 脑挫伤
S06.203 大脑撕裂伤
S06.204 创伤性脑疝
S06.205 创伤性脑受压
S06.211 开放性脑挫伤
S06.300x001 局灶性大脑损伤
S06.300x002 局灶性小脑损伤
S06.300x011 局灶性大脑挫伤伴出血
S06.300x021 局灶性小脑挫伤伴出血
S06.300x031 局灶性大脑挫伤伴血肿
S06.300x032 局灶性大脑挫伤伴大量出血
S06.300x041 局灶性小脑挫伤伴血肿
S06.300x042 局灶性小脑挫伤伴大量出血
S06.300x081 局灶性大脑挫裂伤
S06.300x082 局灶性小脑挫裂伤
S06.301 创伤性脑局灶出血
S06.302 创伤性脑血肿
S06.310 开放性局灶性脑损伤
S06.400 硬膜外出血
S06.401 创伤性闭合性硬膜外血肿
S06.410 开放性硬膜外出血
S06.500 创伤性硬膜下出血
S06.500x002 创伤性硬脑膜下血肿
S06.500x004 急性创伤性硬脑膜下血肿
S06.500x005 亚急性创伤性硬脑膜下出血
S06.500x006 亚急性创伤性硬脑膜下血肿
S06.500x007 慢性创伤性硬脑膜下出血
S06.501 创伤性急性硬膜下出血
S06.502 创伤性慢性硬膜下血肿
S06.510 开放性硬膜下出血
S06.600 创伤性蛛网膜下出血
S06.600x002 创伤性蛛网膜下腔血肿
S06.610 开放性蛛网膜下隙出血
S06.800x002 创伤性脑内血肿
S06.800x004 创伤性小脑血肿
S06.800x005 创伤性小脑挫伤
S06.800x007 创伤性颅内血肿
S06.800x009 创伤性颅内动脉瘤
S06.801 创伤性小脑出血
S06.802 创伤性脑出血
S06.803 创伤性脑干出血
S06.804 创伤性颅内出血
S06.805 创伤性颅内海绵窦损伤
S06.900 颅内损伤
S06.901 脑干损伤
S06.910 开放性颅内损伤
S06.911 开放性脑干损伤
S06.912 开放性颅内海绵窦损伤
S07.000 面部挤压伤
S07.100 颅骨挤压伤
S07.900 头部挤压伤
S08.900 头部的创伤性切断
S09.000x001 头部血管损伤
S11.001 开放性气管损伤
S11.002 开放性喉损伤
S11.003 开放性颈部气管断裂
S11.004 喉气管贯通伤
S11.201 开放性咽部损伤
S11.800x011 颈部开放性损伤伴颈椎骨折
S12.803 舌骨断裂
S12.813 开放性舌骨断裂
S12.814 开放性环状软骨断裂
S12.815 开放性气管软骨断裂
S12.910 开放性颈椎骨折
S13.200x003 甲状软骨脱位
S13.201 颈部脱位
S13.202 环杓关节脱位
S13.203 环甲软骨关节脱位
S13.500x006 喉软骨断裂
S13.500x007 甲状软骨断裂
S13.500x008 环状软骨断裂
S13.500x009 气管软骨断裂
S13.500x010 开放性喉软骨断裂
S13.500x011 开放性甲状软骨断裂
S15.001 颈内动脉裂伤
S15.002 颈总动脉裂伤
S15.003 颈外动脉裂伤
S15.004 创伤性颈动脉瘤
S15.005 创伤性颈动脉海绵窦瘘
S15.200 颈外静脉损伤
S15.300 颈内静脉损伤
S15.301 颈内静脉断裂
S15.900x001 颈部血管损伤
S17.000x001 喉气管挤压伤
S17.000x002 喉挤压伤
S17.001 气管挤压伤
S17.900 颈部挤压伤
T02.000x001 头和颈骨折
T02.010 开放性头部伴颈部骨折
T04.000x001 头和颈挤压伤
T06.000x001 脑神经损伤伴颈神经和脊髓损伤
胸部创伤
包含以下主要诊断：
S21.100x002 胸骨前区开放性损伤
S21.101 开放性肋部前壁损伤
S21.200x001 背部开放性损伤
S21.200x002 胸壁外部开放性损伤
S21.201 开放性胸后壁损伤
S21.202 开放性肋后壁损伤
S21.203 开放性肩胛间区损伤
S21.700 胸壁多处开放性伤口
S21.800x011 胸部开放性损伤伴骨折
S21.800x021 胸部开放性损伤伴脱位
S21.800x031 胸部开放性损伤伴胸内损伤
S21.900x001 胸壁开放性损伤
S21.900x003 创伤性胸部异物
S21.901 开放性胸部损伤
S22.200 胸骨骨折
S22.210 开放性胸骨骨折
S22.300 肋骨骨折
S22.300x011 第一肋骨骨折
S22.310 开放性肋骨骨折
S22.400 肋骨多处骨折
S22.400x011 肋骨多发性骨折伴第一肋骨骨折
S22.400x021 两根肋骨骨折不伴第一肋骨骨折
S22.400x031 三根肋骨骨折不伴第一肋骨骨折
S22.400x041 四根以上肋骨骨折不伴第一肋骨骨~~折
S22.410 开放性多发性肋骨骨折
S22.500 连枷胸
S22.900 骨性胸廓的骨折
S22.910 开放性胸廓骨折
S23.000 胸椎间盘创伤性破裂
S24.400 胸部交感神经损伤
S24.400x001 心丛神经损伤
S24.400x002 食管丛神经损伤
S24.400x003 肺丛神经损伤
S24.400x004 星状神经丛损伤
S24.400x005 胸部交感神经节损伤
S24.500 胸部其他神经的损伤
S24.500x001 膈神经损伤
S24.600 胸部神经的损伤
S25.000 胸主动脉损伤
S25.001 创伤性胸主动脉瘤
S25.100x002 无名动脉损伤
S25.101 锁骨下动脉损伤
S25.200x001 腔静脉损伤
S25.201 创伤性上腔静脉破裂
S25.300x001 无名静脉损伤
S25.301 锁骨下静脉损伤
S25.400 肺血管损伤
S25.401 创伤性肺动脉破裂
S25.500 肋间血管损伤
S25.501 创伤性肋间动脉破裂
S25.700 胸部多处血管损伤
S25.800x003 乳房静脉损伤
S25.801 奇静脉损伤
S25.802 创伤性乳房动脉破裂
S25.900 胸部血管的损伤
S26.000x001 创伤性心包积血
S26.000x002 创伤性心包填塞
S26.010 开放性心包积血
S26.800x011 心脏挫伤
S26.800x021 心脏撕裂伤
S26.800x031 心脏撕裂伤伴心室穿透
S26.800x082 心脏穿透性损伤
S26.800x083 创伤性心脏破裂
S26.801 创伤性心包破裂
S26.810 开放性心脏特指损伤
S26.811 开放性心脏穿通伤
S26.812 开放性心脏破裂
S26.813 心脏异物
S26.900 心脏损伤
S26.910 开放性心脏损伤
S27.000 创伤性气胸
S27.010 开放性气胸
S27.100 创伤性血胸
S27.110 开放性血胸
S27.200 创伤性血气胸
S27.210 开放性血气胸
S27.300x012 肺血肿
S27.301 肺挫伤
S27.302 创伤性肺破裂
S27.303 创伤性肺韧带撕裂
S27.310 开放性肺特指损伤
S27.311 开放性肺破裂
S27.312 开放性肺内异物
S27.313 肺穿透伤
S27.400 支气管损伤
S27.401 创伤性支气管断裂
S27.410 开放性支气管损伤
S27.500 胸部气管损伤
S27.501 创伤性胸部气管破裂
S27.510 开放性胸部气管损伤
S27.600 胸膜损伤
S27.610 开放性胸膜损伤
S27.700 胸内器官多处损伤
S27.710 开放性胸内器官多处损伤
S27.800x013 创伤性纵隔血肿
S27.801 食管黏膜擦伤
S27.802 胸部食管损伤
