包含以下主要手术或操作：
00.0300 周围血管治疗性超声
00.5000x001 双心室起搏器置入术
00.5100x001 双心室起搏伴心内除颤器置入术
00.5102 心脏再同步除颤器置换术
00.5201 左心室冠状静脉导线[电极]置入术
00.5202 左心室冠状静脉导线[电极]置换术
00.5301 心脏再同步起搏器脉冲发生器置入术
00.5401 心脏再同步除颤器脉冲发生器置入术
00.5402 心脏再同步除颤器脉冲发生器置换术
00.5500x008 经皮降主动脉药物洗脱支架置入术
00.5500x009 经皮周围动脉药物洗脱支架置入术
00.5500x010 经皮周围静脉药物洗脱支架置入术
00.5500x011 经皮尺动脉药物洗脱支架置入术
00.5500x012 经皮腓动脉药物洗脱支架置入术
00.5500x013 经皮肱动脉药物洗脱支架置入术
00.5500x014 经皮桡动脉药物洗脱支架置入术
00.5500x015 经皮上肢静脉药物洗脱支架置入术
00.5500x016 经皮头臂静脉药物洗脱支架置入术
00.5500x017 经皮外周动脉可降解支架置入术
00.5501 锁骨下动脉药物洗脱支架置入术
00.5502 股总动脉药物洗脱支架置入术
00.6000 表浅股动脉药物洗脱支架置入
00.6100x008 经皮颈总动脉球囊扩张成形术
00.6100x012 经皮颈静脉球囊扩张成形术
00.6101 经皮颈动脉球囊扩张成形术
00.6102 经皮椎动脉球囊扩张成形术
00.6200x005 经皮大脑中动脉球囊扩张成形术
00.6201 经皮基底动脉球囊扩张成形术
00.6202 经皮交通动脉血管球囊扩张成形术
00.6300x005 经皮颈动脉远端保护装置置入术
00.6300x006 经皮颈动脉覆膜支架置入术
00.6300x007 经皮颈动脉药物洗脱支架置入术
00.6301 脑保护伞下颈动脉支架置入术
00.6400x009 经皮椎动脉支架置入术
00.6400x012 经皮颅外远端保护装置置入术
00.6400x013 经皮椎动脉药物洗脱支架置入术
00.6401 经皮椎动脉非药物洗脱支架置入术
00.6500x008 经皮颅内动脉支架置入术
00.6500x010 经皮颅内动脉远端保护装置置入术
00.6501 经皮大脑中动脉支架置入术
00.6600x004 经皮冠状动脉球囊扩张成形术
00.6601 经皮冠状动脉药物球囊血管内成形术
01.2415 颅骨切开异物取出术
01.2507 茎突截短术
02.3203 脑室颈静脉分流术
02.3204 脑室颈外动脉分流术
02.3301 侧脑室胸腔造口引流术
02.3401 侧脑室腹腔内分流术
02.3403 硬膜下腹腔分流术
02.3404 脑室镜下脑室腹腔分流术
02.3405 腹腔镜下脑室腹腔分流术
02.3501 脑室膀胱分流术
02.4200x005 Ommaya 泵引流管修正术
02.4203 脑室腹腔分流管调整术
02.4204 脑室腹腔分流管重置术
02.4301 脑室腹腔引流管夹闭术
02.4302 脑室 Ommaya 泵去除术
02.9302 颅内神经刺激器置换术
02.9303 脑深部电极置入术
02.9304 丘脑底核电极刺激器置入术
03.1x00x001 椎管内神经根切断术
03.1x00x003 马尾神经切断术
03.1x01 脊髓后根神经切断术
03.1x02 脊髓前根神经切断术
03.2100x001 经皮脊髓切断术
03.2101 立体定向脊髓切断术
03.2900x003 脊髓前连合切断术
03.2900x004 脊髓前连合切开术
03.2901 脊髓前外侧束切断术
03.2902 脊髓神经束切断术
03.2903 脊髓丘脑侧索切断术
03.4x00x001 脊髓髓内病损切除术
03.4x00x002 脊髓病损栓塞术
03.4x00x004 硬脊膜切除术
03.4x00x007 脊髓脊膜病损电凝破坏术
03.4x01 颈髓病损切除术
03.4x02 硬脊膜囊肿造袋术
03.4x03 脊髓病损切除术
03.4x04 硬脊膜病损切除术
03.4x05 硬脊膜外病损切除术
