包含以下主要诊断：
A18.000x002+M90.0* 腭骨结核
A18.000x003+M90.0* 颌骨结核
A18.000x004+H75.0* 乳突结核
A18.000x006+M90.0* 颧骨结核
A18.000x015+M01.1* 结核性风湿病[篷塞病]
A18.000x034+M90.0* 肢体骨结核
A18.000x035+M90.0* 骨结核病
A18.000x042+M90.0* 第三楔骨结核
A18.000x057+M49.0* 骶骨结核
A18.000x058+M68.0* 腱鞘结核
A18.000x060+M90.0* 胸骨结核
A18.000x062+M68.0* 结核性腱鞘炎
A18.001+M90.0* 骨结核
A18.003+M90.0* 鼻骨结核
A18.004+M90.0* 下颌结核
A18.014+M90.0* 肋骨结核
A18.015+M90.0* 耻骨结核
A18.016+M90.0* 肱骨结核
A18.017+M90.0* 桡骨结核
A18.018+M90.0* 尺骨结核
A18.019+M90.0* 掌骨结核
A18.020+M90.0* 指骨结核
A18.021+M90.0* 股骨结核
A18.022+M90.0* 胫骨结核
A18.023+M90.0* 腓骨结核
A18.024+M90.0* 跟骨结核
A18.025+M90.0* 楔骨结核
A18.026+M90.0* 趾骨结核
A18.041+M68.0* 滑膜结核
A18.042+M68.0* 肌腱结核
A18.800x010+M63.0* 肌结核
A18.800x022+M63.0* 上臂内侧横纹肌结核
A18.800x027+M63.0* 腰大肌结核性脓肿
A18.800x028+M63.0* 腰肌结核
A18.810+M63.0* 胸大肌结核
A18.819+M36.8* 结缔组织结核
A51.400x002+M90.1* 二期梅毒性骨膜炎
A51.400x007+M63.0* 二期梅毒性肌炎
A52.700x008+M68.0* 梅毒性滑膜炎
A52.700x009+M68.0* 梅毒性腱鞘炎
A52.700x010+M63.0* 梅毒性肌炎
A52.707+M90.2* 骨梅毒
A54.402+M73.0* 淋球菌性滑囊炎
A54.404+M68.0* 淋球菌性滑膜炎
A54.405+M68.0* 淋球菌性腱鞘炎
B45.300 骨隐球菌病
B58.800x002+M63.1* 弓形虫肌炎
B67.200x001+M90.2* 骨细粒棘球蚴病
D48.900x013+M63.8* 肿瘤相关性肌炎
D48.904+M36.0* 肿瘤相关性皮肌炎
D86.803+M63.3* 结节病性肌炎
E85.900 淀粉样变
E85.900x003 斑疹性淀粉样变性
K50.902+M07.4* 克罗恩病性关节病
K51.904+M07.5* 溃疡性结肠炎性关节病
K52.913+M07.6* 肠病性关节炎
L40.501+M07.3* 银屑病性关节炎
L87.100 反应性穿通性胶原病
M00.800 关节炎和多关节炎，其他特指的细菌性病~~原体引起的
M02.300 赖特尔病
M02.800 反应性关节病，其他的
M05.000 费尔蒂综合征
M05.308 累及全身类风湿性关节炎
M05.800 血清反应阳性的类风湿性关节炎,其他的
M05.900x093 累及内脏的类风湿性关节炎
M06.002 缓解性血清阴性对称性滑膜炎伴凹陷性水~~肿综合征
M06.003 滑膜炎-痤疮-脓疱疹-骨肥厚-骨炎综合~~征
M06.100 成年型斯蒂尔病
M06.200 类风湿性滑囊炎
M06.300 类风湿性结节
M06.901 类风湿性肩关节关节炎
M06.902 类风湿性肘关节关节炎
M06.903 类风湿性腕关节关节炎
M06.904 类风湿性手骨间关节关节炎
M06.907 类风湿性踝关节关节炎
M06.908 类风湿性斜颈
M08.002 幼年型类风湿因子阳性关节炎
M08.100 幼年型关节强硬性脊椎炎
M08.100x092 幼年型脊椎关节炎
M08.300 幼年型多关节炎(血清反应阴性)
M08.300x001 多关节型儿童类风湿病
M08.301 慢性幼年型多关节炎
M08.400 少关节性幼年型关节炎
M08.900 幼年型关节炎
M10.400 继发性痛风，其他的
M11.800x093 假性痛风性关节炎
M11.801 焦磷酸盐结晶性关节炎(病)
M11.802 磷酸二钙结晶性关节炎(病)
M12.300 复发性风湿病
