包含以下主要诊断：
B90.000 中枢神经系统结核的后遗症
B90.100 泌尿生殖系结核的后遗症
B90.101 陈旧性肾结核
B90.200 骨和关节结核的后遗症
B90.200x002 陈旧性关节结核
B90.200x003 陈旧性脊柱结核
B90.201 陈旧性骨关节结核病
B90.202 陈旧性骨结核病
B90.800x004 陈旧性肠结核
B90.800x005 陈旧性支气管淋巴结核
B90.800x006 陈旧性心包结核
B90.801 陈旧性颈淋巴结核
B90.802 陈旧性肠系膜淋巴结核
B90.803 陈旧性腹腔结核
B90.804 结核性皮肤瘢痕
B90.901 陈旧性支气管结核
B90.903 陈旧性胸膜结核
B90.904 陈旧性纵隔结核
B91.x00 脊髓灰质炎的后遗症
B92.x00 麻风的后遗症
B94.000 沙眼的后遗症
B94.200 病毒性肝炎的后遗症
B94.201 肝炎后综合征
B94.800x001 破伤风后遗症
B94.801 带状疱疹后遗症
B94.802 天花后遗症
B94.900 传染病或寄生虫病的后遗症
E89.900 内分泌和代谢紊乱,操作后的
Q85.914 婴儿纤维性错构瘤
Q90.200 三体性 21，易位，唐氏综合征
Q93.300 染色体 4 短臂缺失
R46.300 过度活动
R46.500 多疑和明显逃避
R46.800x001 缄默状态
R46.801 自我忽视
R58.x00x002 内脏出血
R58.x00x004 粘膜出血
R58.x00x005 肿瘤破裂出血
R58.x00x006 出血
R58.x00x007 肿瘤伴出血
R59.901 淋巴结反应性增生
R96.100x001 无疾病体征的死亡
R98.x00x002 发现时已死亡
R99.x00x002 原因不明的死亡
R99.x01 死亡
T73.200 暴露于不良环境引起的衰竭
T73.300 过度劳累引起的衰竭
T75.200 振动效应
T80.202 输液后感染
T80.203 造影后胆道感染
T80.800 输注、输血和治疗性注射后的其他并发症
T80.801 透析失衡综合征
T81.601 化学性腹膜炎
T82.812 输注泵植入疼痛
T84.400 矫形外科装置、植入物和移植物的机械性~~并发症，其他内部的
T84.700 矫形外科假体装置、植入物和移植物引起~~的感染和炎症性反应，其他内部的
T84.700x001 矫形外科假体装置植入物和移植物引~~起的感染
T84.900 内部矫形外科假体装置、植入物和移植物~~的并发症
T84.901 鼻咽部内固定装置障碍
T85.800 内部假体装置、植入物和移植物的其他并~~发症，不可归类在他处者
T85.801 腹膜透析管内血栓
T85.802 化疗管植入后皮肤溃疡
T85.806 疝补片排斥反应
T85.902 不可吸收缝线并发症
T86.900 移植器官和组织的失败和排斥
T87.200 再植身体部位的并发症，其他的
T88.901 超声治疗并发症
T96.x00x001 药物中毒后遗症
T96.x00x002 药剂中毒后遗症
T96.x00x003 生物制品中毒后遗症
T98.000 通过自然腔口进入的异物效应的后遗症
T98.200 创伤的某些早期并发症的后遗症
T98.200x031 开放性损伤延期愈合
T98.200x032 开放性损伤延期治疗
Z00.001 健康查体
Z00.100 儿童常规健康检查
Z00.200 儿童快速生长期的检查
Z00.300 青春发育期的检查
Z00.300x001 青春期发育状态
Z01.600x002 乳房 X 线照相
Z01.800x002 腹腔镜检查
Z03.100 可疑恶性肿瘤的观察
Z03.101 可疑甲状腺恶性肿瘤观察
Z03.102 可疑乳腺恶性肿瘤的观察
Z03.103 可疑前列腺恶性肿瘤的观察
Z03.300 可疑神经系统疾患的观察
Z03.600x001 可疑摄入物质引起毒性效应的观察
Z03.800 可疑疾病和情况的观察，其他的
Z03.800x701 可疑新生儿疾病的观察
Z03.800x711 可疑新生儿感染情况的观察
Z03.800x721 可疑新生儿神经病学的观察
Z03.800x731 可疑新生儿呼吸情况的观察
Z03.802 可疑颈动脉瘤观察
Z03.803 可疑新生儿红细胞增多症观察
Z03.900 可疑疾病和情况的观察
Z03.900x001 未见异常
Z09.001 肠镜下息肉切除术后,随诊检查
Z10.000 职业性健康检查
Z11.000 肠道传染病的特殊筛查
Z11.200 细菌性疾病的特殊筛查，其他的
Z11.300 主要为性传播模式的传染病的特殊筛查
Z11.400 人类免疫缺陷病毒[HIV]的特殊筛查
Z11.500 其他病毒性疾病的特殊筛查
Z11.600 特殊筛查，其他原虫病和蠕虫病的
Z11.800x001 雅司病的特殊筛查
Z11.801 螺旋体病特殊筛选检查
Z11.802 衣原体病特殊筛选检查
Z11.803 真菌病特殊筛选检查
Z11.901 传染病特殊筛查
Z11.902 寄生虫病特殊筛查
Z12.000 胃部肿瘤的特殊筛查
Z12.100 肠道肿瘤的特殊筛查
Z12.300 乳房肿瘤的特殊筛查
Z12.400 宫颈肿瘤的特殊筛查
Z12.500 前列腺肿瘤的特殊筛查
Z12.600 膀胱肿瘤的特殊筛查
Z12.800 肿瘤的特殊筛查，其他部位的
Z12.900x001 肿瘤的特殊筛查
Z12.901 肿瘤的基因筛查
Z13.000x001 血液及造血器官疾病的特殊筛查
Z13.001 免疫机制疾患特殊筛查
Z13.100 糖尿病的特殊筛查
Z13.200 营养疾患的特殊筛查
Z13.300 精神和行为障碍的特殊筛查
Z13.300x002 精神发育迟滞的特殊筛查
Z13.300x003 忧郁症的特殊筛查
Z13.400x001 发育障碍的特殊筛查
Z13.500 眼和耳疾患的特殊筛查
Z13.500x001 细菌性结膜炎的特殊筛查
Z13.501 眼疾患特殊筛查
Z13.600 心血管疾患的特殊筛查
Z13.700 先天性畸形、变形和染色体异常的特殊筛~~查
Z13.800x011 神经系统疾病的特殊筛查
Z13.800x031 消化道疾病的特殊筛查
Z13.800x032 牙疾患的特殊筛查
Z13.800x041 肌肉关节疾病的特殊筛查
Z13.800x051 泌尿生殖系疾病的特殊筛查
Z13.800x061 内分泌和代谢疾病的特殊筛查
Z13.801 苯丙酮尿症筛选
Z13.900 特殊筛查
Z20.000 接触和暴露于肠道传染病
Z20.001 霍乱接触者
Z20.100 接触和暴露于结核病
Z20.200 接触和暴露于主要为性传播模式的传染病
Z20.300 接触和暴露于狂犬病
Z20.400 接触和暴露于风疹
Z20.500 接触和暴露于病毒性肝炎
Z20.600 接触和暴露于人类免疫缺陷病毒[HIV]
Z20.701 接触虱病病虫侵染
Z20.702 接触螨病病虫侵染
Z20.801 脊髓灰质炎接触者
Z20.802 天花接触者
Z20.900 接触和暴露于传染病
Z22.000 伤寒带菌者
Z22.100 肠道传染病带菌者，其他的
Z22.101 阿米巴病带菌者
Z22.102 鼠伤寒带菌者
Z22.103 霍乱带菌者
Z22.200 白喉带菌者
Z22.300 细菌性疾病带菌者，其他特指的
Z22.301 链球菌带菌者
Z22.303 葡萄球菌带菌者
Z22.400 主要为性传播模式感染的病原携带者
Z22.401 淋病病原携带者
Z22.402 梅毒病原携带者
Z22.600 人 T-亲淋巴 1 型病毒[HTLV-1]感染的病原~~携带者
Z22.700 潜伏性结核
Z22.801 风疹传染病病原携带者
Z22.900x001 传染病带菌者
Z23.000 仅为抗霍乱采取必要的免疫
