包含以下主要手术或操作：
34.8101 横膈病损切除术
34.8102 横膈部分切除术
38.0601 肠系膜动脉取栓术
38.0700x003 门静脉探查术
38.0702 下腔静脉取栓术
38.0704 门静脉取栓术
38.0705 肠系膜静脉取栓术
38.3000 血管部分切除术伴吻合术
38.6700x003 门静脉部分切除术
38.6700x005 腹腔静脉瘤切除术
38.6702 门静脉病损切除术
38.6704 肝静脉病损切除术
38.7x01 腔静脉结扎术
38.7x02 腔静脉折叠术
38.7x03 上腔静脉滤器置入术
38.7x04 下腔静脉滤器置入术
38.8600x004 腹壁血管结扎术
38.8600x005 腹膜血管结扎术
38.8601 大网膜动脉结扎术
38.8602 胃动脉结扎术
38.8603 胆囊动脉结扎术
38.8604 肠系膜动脉结扎术
38.8605 肝动脉结扎术
38.8606 脾动脉结扎术
38.8608 肾动脉结扎术
38.8701 肠系膜静脉结扎术
38.8704 门静脉结扎术
38.9100x601 肝动脉插管术
38.9200 脐静脉导管插入术
39.2600x006 升主动脉-腹主动脉人工血管搭桥术
39.2600x007 髂动脉-髂动脉人工血管搭桥术
39.3200x004 门静脉缝合术
39.5000x011 下腔静脉球囊扩张成形术
39.5000x021 上腔静脉球囊扩张成形术
39.5000x024 肝动脉球囊扩张成形术
39.5006 肝静脉球囊血管成形术
39.5010 腹主动脉球囊血管成形术
39.5017 门静脉球囊扩张成形术
39.5900x003 肝静脉成形术
39.9003 门静脉支架置入术
39.9012 肝动脉支架置入术
39.9500x005 单膜血浆置换
39.9500x006 双膜血浆置换
39.9501 血液滤过
39.9600x002 血浆灌流
39.9600x003 血液灌流
39.9800x001 伤口止血术
39.9801 手术后伤口止血术
40.1100x003 腹腔镜下淋巴结活检术
40.2100 深部颈淋巴结切除术
40.2300 腋淋巴结切除术
40.2400 腹股沟淋巴结切除术
40.2900x002 单纯淋巴结切除术
40.2900x018 肠系膜淋巴管瘤(囊肿)切除术
40.2900x020 腹壁淋巴管瘤(囊肿)切除术
40.2900x023 髂外血管旁淋巴结切除术
40.2900x029 肝门淋巴结切除术
40.2901 锁骨上淋巴结切除术
40.2905 腹主动脉旁淋巴结切除术
40.2906 腹腔淋巴结切除术
40.2907 腹膜淋巴结切除术
40.2908 肠系膜淋巴结切除术
40.2909 盆腔淋巴结切除术
40.3x00x001 淋巴结扩大性区域性切除术
40.3x00x002 淋巴结区域性切除术
40.3x00x003 腔镜下区域性腋窝淋巴结区域切除术
40.5000 淋巴结根治性切除术
40.5100 腋下淋巴结根治性切除术
40.5101 腔镜腋下淋巴结清扫术
40.5200 主动脉旁淋巴结根治性切除术
40.5300 髂淋巴结根治性切除术
40.5301 腹腔镜髂淋巴结清扫术
40.5400x001 腹股沟淋巴结清扫术
40.5400x002 腹腔镜下腹股沟淋巴结清扫术
40.5400x003 腹股沟浅淋巴结清扫术
40.5900x010 腹腔镜下腹膜后淋巴结清扫术
40.5906 纵隔淋巴结清扫术
40.5907 腹膜后淋巴结清扫术
40.5908 腹腔淋巴结清扫术
40.5909 肠系膜淋巴结清扫术
40.5910 盆腔淋巴结清扫术
40.5911 腹腔镜腹腔淋巴结清扫术
40.5912 腹腔镜盆腔淋巴结清扫术
40.9x00x003 周围淋巴管-小静脉吻合术
40.9x00x004 淋巴干-小静脉吻合术
40.9x00x008 淋 巴 水 肿 矫 正 Homans-Macey 手 术~~[Homan 手术]
40.9x00x009 淋巴水肿矫正 Charles 手术[Charles 手~~术]
40.9x00x010 淋 巴 水 肿 矫 正 Thompson 手 术~~[Thompson 手术]
40.9x00x012 髂淋巴干横断结扎术
40.9x00x013 淋巴管瘘结扎术
40.9x00x014 淋巴管瘘切除术
40.9x00x015 淋巴管瘘粘连术
40.9x00x016 淋巴管瘤注射术
40.9x09 淋巴管静脉吻合术
41.1x00 脾穿刺
41.2x02 脾切开引流术
41.2x04 腹腔镜脾囊肿开窗术
41.4100 脾囊肿袋形缝术[造袋术]
41.4200x002 脾病损切除术
41.4200x003 经皮脾病损射频消融术
41.4300 部分脾切除术
41.4301 腹腔镜脾部分切除术
41.5x00 全脾切除术
41.5x01 腹腔镜全脾切除术
41.9300 副脾切除术
41.9301 腹腔镜副脾切除术
41.9901 脾内无水酒精注入治疗术
42.9100x002 食管静脉曲张套扎术
