包含以下主要诊断：
C15.000 颈部食管恶性肿瘤
C15.100 胸部食管恶性肿瘤
C15.100x002 食管胸上段恶性肿瘤
C15.100x003 食管胸中段恶性肿瘤
C15.100x004 食管胸下段恶性肿瘤
C15.200 腹部食管恶性肿瘤
C15.300 食管上三分之一的恶性肿瘤
C15.400 食管中三分之一的恶性肿瘤
C15.500 食管下三分之一的恶性肿瘤
C15.800x001 食管颈部及腹部恶性肿瘤
C15.800x002 食管颈部及胸部恶性肿瘤
C15.800x003 食管胸部及腹部恶性肿瘤
C15.800x004 食管颈部和胸部及腹部恶性肿瘤
C15.801 食管中上段恶性肿瘤
C15.802 食管中下段恶性肿瘤
C15.900 食管恶性肿瘤
C15.900x003 食管多处恶性肿瘤
C16.000 贲门恶性肿瘤
C16.000x003 贲门口恶性肿瘤
C16.000x004 胃角恶性肿瘤
C16.001 食管贲门连接处恶性肿瘤
C16.002 食管胃连接处恶性肿瘤
C16.100 胃底恶性肿瘤
C16.200 胃体恶性肿瘤
C16.301 胃窦恶性肿瘤
C16.400 幽门恶性肿瘤
C16.401 幽门前恶性肿瘤
C16.402 幽门管恶性肿瘤
C16.500 胃小弯恶性肿瘤
C16.600 胃大弯恶性肿瘤
C16.800 胃交搭跨越恶性肿瘤的损害
C16.800x002 胃体和胃窦及胃大弯恶性肿瘤
C16.800x003 胃底及胃体恶性肿瘤
C16.801 贲门胃底恶性肿瘤
C16.802 贲门胃体恶性肿瘤
C16.803 胃窦胃体恶性肿瘤
C16.804 胃底胃体恶性肿瘤
C16.900 胃恶性肿瘤
C16.900x003 胃多处恶性肿瘤
C16.902 胃溃疡癌变
C16.903 残胃恶性肿瘤
C17.000 十二指肠恶性肿瘤
C17.100 空肠恶性肿瘤
C17.200 回肠恶性肿瘤
C17.300 麦克尔憩室恶性肿瘤
C17.800 小肠交搭跨越恶性肿瘤的损害
C17.801 十二指肠及空肠恶性肿瘤
C17.900 小肠恶性肿瘤
C17.900x002 小肠多处恶性肿瘤
C18.000 盲肠恶性肿瘤
C18.001 回盲部恶性肿瘤
C18.100 阑尾恶性肿瘤
C18.200 升结肠恶性肿瘤
C18.300 结肠肝曲恶性肿瘤
C18.400 横结肠恶性肿瘤
C18.500 结肠脾曲恶性肿瘤
C18.600 降结肠恶性肿瘤
C18.700 乙状结肠恶性肿瘤
C18.800x002 盲肠及升结肠恶性肿瘤
C18.801 降结肠乙状结肠恶性肿瘤
C18.802 升结肠横结肠恶性肿瘤
C18.803 横结肠降结肠恶性肿瘤
C18.900 结肠恶性肿瘤
C18.900x001 结肠多处恶性肿瘤
C18.901 结肠腺瘤恶变
C19.x00 直肠乙状结肠连接处恶性肿瘤
C19.x01 结肠和直肠恶性肿瘤
C20.x00 直肠恶性肿瘤
C20.x00x003 直肠多处恶性肿瘤
C20.x01 直肠壶腹部恶性肿瘤
C21.000 肛门恶性肿瘤
C21.100 肛管恶性肿瘤
C21.101 肛门括约肌恶性肿瘤
C21.200 泄殖腔肛源区恶性肿瘤
C21.800 直肠、肛门和肛管交搭跨越恶性肿瘤的损~~害
