包含以下主要手术或操作：
29.9900 咽的其他手术
30.0100 喉囊肿的袋形缝合术[造袋术]
30.0900x016 支撑喉镜下声门病损切除术
30.0900x021 会厌病损切除术
30.0900x024 梨状窝病损切除术
30.0900x038 喉病损射频消融术
30.0900x039 支撑喉镜下喉病损激光烧灼术
30.0900x040 声门病损烧灼术
30.0901 声带病损切除术
30.0902 喉病损切除术
30.0911 支撑喉镜下喉病损切除术
30.1x00 半喉切除术
30.1x00x002 垂直喉切除术
30.2200 声带切除术
30.2201 声带部分切除术
30.2202 声带扩大切除术
30.2203 内镜下声带部分切除术
30.2204 内镜下声带切除术
30.2900x002 喉杓状软骨切除术
30.2900x003 喉部分切除术
30.2900x009 支撑喉镜下喉软骨切除术
30.2900x013 喉环状软骨切除术
30.2900x014 甲状软骨切除术
30.2901 舌骨切除术
30.2902 舌骨部分切除术
30.2903 室带部分切除术
30.2904 喉软骨切除术
30.2905 喉软骨部分切除术
30.2906 喉裂开术
30.2907 额侧喉部分切除术
30.2908 声门上喉部分切除术
30.2909 垂直喉部分切除术
30.2910 外侧喉部分切除术
30.2911 喉次全切除术
30.2912 支撑喉镜下杓状软骨切除术
30.3x00 全部喉切除术
30.3x04 残余喉切除术
30.4x00x002 全喉切除伴根治性淋巴结清扫术
31.6100 喉裂伤缝合术
31.6201 喉气管瘘管切除术
31.6202 喉气管瘘修补术
31.6300 喉造口修复术
31.6400 喉骨骨折修补术
31.6900x013 喉支架置入术
31.6901 喉结成形术
31.6902 喉成形术
31.6903 喉功能重建术
31.6904 喉双蒂双肌瓣修复术
31.6905 环甲膜缩短术
31.6906 会厌成形术
31.6907 甲状软骨成形术
31.6912 内镜下环杓关节复位术
31.6913 内镜下喉成形术
31.7900x004 气管狭窄松解术
31.9100x001 喉返神经切断术
31.9100x002 喉返神经解剖术
31.9201 气管粘连松解术
31.9202 声带粘连松解术
31.9203 喉粘连松解术
31.9204 内镜下声带粘连松解术
31.9301 气管支架置换术
31.9302 喉支架置换术
31.9303 内镜下气管支架置换术
31.9304 内镜下喉支架置换术
31.9500 气管食管造口术
31.9501 内镜下气管食管造口术
31.9801 声门扩大术
31.9802 喉扩张术
31.9803 喉 T 型管置入术
31.9805 喉支架取出术
31.9806 喉模取出术
31.9807 内镜下喉扩张术
31.9902 气管扩张管去除术
31.9903 气管球囊扩张术
32.0100x004 支气管镜下支气管病损冷冻术
32.0101 内镜下支气管病损切除术
32.0102 内镜下支气管病损破坏术
32.2600 肺病损或肺组织的其他和未特指的消融
33.2400x001 支气管镜下支气管活检
33.2400x002 支气管镜下诊断性支气管肺泡灌洗~~[BAL]
33.2400x002 支气管镜下诊断性支气管肺泡灌洗~~[BAL]
33.2400x002 支气管镜下诊断性支气管肺泡灌洗~~[BAL]
33.2402 超声内镜下支气管穿刺活组织检查术
33.2405 气管镜刷检术
33.2700x001 支气管镜下肺活检
33.2701 气管镜透壁针吸活组织检查
33.2702 超声支气管镜下肺活组织检查
