包含以下主要诊断：
A18.700+E35.1* 肾上腺结核
A18.700x002+E35.1* 结核性艾迪生病
A18.801+E35.8* 垂体结核
A18.806+E35.0* 甲状腺结核
B26.800x011 流行性腮腺炎并发甲状腺炎
B49.x02+E35.8* 垂体真菌感染
B67.302+E35.0* 甲状腺细粒棘球蚴病
C73.x00 甲状腺恶性肿瘤
C73.x00x003 甲状腺多处恶性肿瘤
C74.000 肾上腺皮质恶性肿瘤
C74.100 肾上腺髓质恶性肿瘤
C74.900 肾上腺恶性肿瘤
C75.000 甲状旁腺恶性肿瘤
C75.100 垂体恶性肿瘤
C75.200 颅咽管恶性肿瘤
C75.300 松果体恶性肿瘤
C75.900 内分泌腺恶性肿瘤
C79.700 肾上腺继发性恶性肿瘤
C79.800x839 松果体继发恶性肿瘤
C79.805 甲状腺继发恶性肿瘤
C79.825 垂体继发恶性肿瘤
D09.301 甲状腺原位癌
D09.302 垂体原位癌
D09.303 肾上腺原位癌
D09.304 甲状旁腺原位癌
D17.700x029 肾上腺脂肪瘤
D18.000x810 肾上腺血管瘤
D18.000x839 甲状腺血管瘤
D34.x00 甲状腺良性肿瘤
D34.x00x003 胸骨后甲状腺良性肿瘤
D34.x00x005 异位甲状腺良性肿瘤
D34.x01 甲状舌管良性肿瘤
D35.000 肾上腺良性肿瘤
D35.001 肾上腺无功能腺瘤
D35.100 甲状旁腺良性肿瘤
D35.100x002 异位甲状旁腺良性肿瘤
D35.200 垂体良性肿瘤
D35.200x004 垂体无功能良性肿瘤
D35.200x007 垂体微小良性肿瘤
D35.200x008 侵袭性垂体瘤
D35.200x009 巨大侵袭性垂体瘤
D35.200x010 垂体瘤
D35.200x011 复杂垂体瘤
D35.300 颅咽管良性肿瘤
D35.700 内分泌腺良性肿瘤，其他特指的
D35.900 内分泌腺良性肿瘤
D44.000x001 甲状腺交界性肿瘤
D44.001 甲状腺肿瘤
D44.100x001 肾上腺交界性肿瘤
D44.101 肾上腺肿瘤
D44.200x001 甲状旁腺交界性肿瘤
D44.201 甲状旁腺肿瘤
