包含以下主要诊断：
A02.200x005+M90.2* 沙门菌性骨髓炎
A02.202+M01.3* 沙门菌关节炎
A02.204+M90.2* 沙门菌骨髓炎
A18.000x002+M90.0* 腭骨结核
A18.000x003+M90.0* 颌骨结核
A18.000x004+H75.0* 乳突结核
A18.000x006+M90.0* 颧骨结核
A18.000x015+M01.1* 结核性风湿病[篷塞病]
A18.000x018+M73.8* 脊椎结核并椎旁脓肿
A18.000x019+M01.1* 关节寒性脓肿[关节结核脓~~肿]
A18.000x034+M90.0* 肢体骨结核
A18.000x035+M90.0* 骨结核病
A18.000x042+M90.0* 第三楔骨结核
A18.000x046+M68.0* 结核性滑膜炎
A18.000x047+M49.0* 结核性脊柱前凸
A18.000x048+M49.0* 结核性脊柱侧弯
A18.000x049+M49.0* 脊柱骨脓肿[结核性脊柱骨~~脓肿]
A18.000x053+M01.1* 胸锁关节结核
A18.000x057+M49.0* 骶骨结核
A18.000x058+M68.0* 腱鞘结核
A18.000x060+M90.0* 胸骨结核
A18.000x062+M68.0* 结核性腱鞘炎
A18.000x063+M90.0* 结核性骨炎
A18.000x064+M90.0* 结核性骨髓炎
A18.000x065+M90.0* 结核性骨坏死
A18.000x066+M49.0* 颈椎结核性截瘫
A18.001+M90.0* 骨结核
A18.002+M01.1* 关节结核
A18.003+M90.0* 鼻骨结核
A18.004+M90.0* 下颌结核
A18.005+M49.0* 颈椎结核
A18.006+M49.0* 胸椎结核
A18.007+M49.0* 腰椎结核
A18.008+M90.0* 腰椎结核性窦道
A18.009+M49.0* 脊柱结核
A18.010+M49.0* 脊柱结核性脓肿
A18.011+M49.0* 结核性脊柱后凸
A18.012+M49.0* 脊柱结核性截瘫
A18.013+M49.0* 结核性脊柱裂
A18.014+M90.0* 肋骨结核
A18.015+M90.0* 耻骨结核
A18.016+M90.0* 肱骨结核
A18.017+M90.0* 桡骨结核
A18.018+M90.0* 尺骨结核
A18.019+M90.0* 掌骨结核
A18.020+M90.0* 指骨结核
A18.021+M90.0* 股骨结核
A18.022+M90.0* 胫骨结核
A18.023+M90.0* 腓骨结核
A18.024+M90.0* 跟骨结核
A18.025+M90.0* 楔骨结核
A18.026+M90.0* 趾骨结核
A18.027+M01.1* 肩关节结核
A18.028+M01.1* 肘关节结核
A18.029+M01.1* 腕关节结核
A18.030+M01.1* 指关节结核
A18.031+M01.1* 髋关节结核
A18.032+M49.0* 骶髂关节结核
A18.033+M01.1* 髋关节结核性滑膜炎
A18.034+M01.1* 膝关节结核
A18.035+M01.1* 膝关节结核性滑膜炎
A18.036+M01.1* 踝关节结核
A18.037+M01.1* 跖趾关节结核
A18.038+M01.1* 趾关节结核
A18.039+M01.1* 关节结核性风湿病
A18.040+M01.1* 关节结核性窦道
A18.041+M68.0* 滑膜结核
A18.042+M68.0* 肌腱结核
A18.043+M01.1* 关节结核性脓肿
A18.044+M01.1* 结核性关节炎
A18.800x010+M63.0* 肌结核
A18.800x022+M63.0* 上臂内侧横纹肌结核
A18.800x027+M63.0* 腰大肌结核性脓肿
A18.800x028+M63.0* 腰肌结核
A18.810+M63.0* 胸大肌结核
A18.819+M36.8* 结缔组织结核
A23.901+M49.1* 布氏菌病脊柱炎
A23.902+M01.3* 布氏菌病关节炎
A39.804+M01.0* 脑膜炎球菌性关节炎
A39.805+M03.0* 脑膜炎球菌感染后关节炎
A51.400x002+M90.1* 二期梅毒性骨膜炎
A51.400x007+M63.0* 二期梅毒性肌炎
A52.103+M14.6* 夏科关节病
A52.700x008+M68.0* 梅毒性滑膜炎
A52.700x009+M68.0* 梅毒性腱鞘炎
A52.700x010+M63.0* 梅毒性肌炎
A52.706+M01.3* 梅毒性关节病
A52.707+M90.2* 骨梅毒
A54.401+M01.3* 淋球菌性关节炎
A54.402+M73.0* 淋球菌性滑囊炎
A54.403+M90.2* 淋球菌性骨髓炎
A54.404+M68.0* 淋球菌性滑膜炎
A54.405+M68.0* 淋球菌性腱鞘炎
A66.600 雅司病的骨和关节损害
A69.900x002+M01.8* 螺旋体感染性关节炎
B06.802+M01.4* 风疹性关节炎
B19.900x001+M03.2* 病毒性肝炎相关性关节炎
B26.800x001+M01.5* 流行性腮腺炎性关节炎
B33.000 流行性肌痛
B33.001 流行性胸肌痛
B37.800x089+M01.6* 念珠菌性髋关节炎
B37.800x090 腰椎念珠菌感染
B45.300 骨隐球菌病
B49.x19+M01.6* 真菌性关节炎
B58.800x002+M63.1* 弓形虫肌炎
B67.200x001+M90.2* 骨细粒棘球蚴病
B67.600x003 骨泡型棘球蚴病
B69.800x003 肌肉囊虫病
B69.803 骨囊虫病
B69.804 肌肉囊尾蚴病
B89.x00x002+G73.4* 寄生虫病并发肌病
B99.x00x004+G73.4* 感染性疾病并发肌病
C40.000x006 肩关节恶性肿瘤
C40.001 肩胛骨恶性肿瘤
C40.002 肱骨恶性肿瘤
C40.003 尺骨恶性肿瘤
C40.004 桡骨恶性肿瘤
C40.005 肘关节恶性肿瘤
C40.100x006 腕关节恶性肿瘤
C40.100x007 手关节恶性肿瘤
C40.101 腕骨恶性肿瘤
C40.102 指骨恶性肿瘤
C40.103 掌骨恶性肿瘤
C40.200x005 膝关节恶性肿瘤
C40.201 股骨恶性肿瘤
C40.202 胫骨恶性肿瘤
C40.203 腓骨恶性肿瘤
C40.300x003 踝骨恶性肿瘤
C40.300x004 距骨恶性肿瘤
C40.300x005 跟骨恶性肿瘤
C40.300x009 足骨恶性肿瘤
C40.300x010 踝关节恶性肿瘤
C40.300x011 足关节恶性肿瘤
C40.301 髌骨恶性肿瘤
C40.302 跗骨恶性肿瘤
C40.303 趾骨恶性肿瘤
C40.304 跖骨恶性肿瘤
C40.800 四肢骨和关节软骨交搭跨越恶性肿瘤的~~损害
C40.900x001 四肢骨恶性肿瘤
C40.901 四肢关节软骨恶性肿瘤
C41.100x002 髁突恶性肿瘤
C41.200x005 椎骨恶性肿瘤
C41.201 颈椎恶性肿瘤
C41.202 胸椎恶性肿瘤
C41.203 腰椎恶性肿瘤
C41.300x002 锁骨恶性肿瘤
C41.301 胸骨恶性肿瘤
C41.302 肋骨恶性肿瘤
C41.400x008 髋关节恶性肿瘤
C41.400x009 髋臼恶性肿瘤
C41.401 盆骨恶性肿瘤
C41.402 髋骨恶性肿瘤
C41.403 骶骨恶性肿瘤
C41.404 耻骨恶性肿瘤
C41.405 尾骨恶性肿瘤
C41.406 髂骨恶性肿瘤
C41.800 骨和关节软骨交搭跨越恶性肿瘤的损害
C41.800x001 腰椎及骶椎恶性肿瘤
C41.900x001 骨恶性肿瘤
