诊断操作包括如下：
A18.202 颊淋巴结结核
A18.203 腮腺淋巴结结核
A18.800x006+K93.8* 唇结核
A18.800x025+K93.8* 牙龈结核
A18.800x034+K93.8* 结核性口腔溃疡
A18.802+K93.8* 舌结核
A18.803+M63.0* 咀嚼肌结核
A18.804+K93.8* 腮腺结核
A18.805+K93.8* 颌下腺结核
A42.801 涎腺放线菌病
A50.500x001 先天性梅毒牙
A59.800x001 口腔毛滴虫感染
A69.000 坏死性溃疡性口炎
A69.000x002 走马疳
A69.100x003 急性坏死性溃疡性龈炎
B00.200x001 口腔疱疹
B00.201 疱疹病毒性龈口炎
B00.202 疱疹病毒性咽扁桃体炎
B00.203 疱疹病毒性口炎
B00.204 疱疹病毒性颌下腺炎
B00.205 疱疹病毒性咽炎
B08.000x003 牛丘疹性口腔炎病毒感染
B26.804 流行性腮腺炎伴颌下腺炎
B26.900 流行性腮腺炎不伴有并发症
B26.900x001 流行性腮腺炎
B37.000 念珠菌性口炎
B37.001 口腔念珠菌感染
B37.002 念珠菌性口角炎
B37.003 咽念珠菌感染
B37.800x084 念珠菌性唇炎
B48.300x002+K93.8* 地丝菌口炎
E10.600x031 1 型糖尿病性急性牙周脓肿
E10.600x032 1 型糖尿病性牙周炎
E11.600x031 2 型糖尿病性急性牙周脓肿
E11.600x032 2 型糖尿病性牙周炎
E14.600x031 糖尿病性急性牙周脓肿
E14.600x032 糖尿病性牙周炎
E34.800x005 坏死性唾液腺组织化生
E85.405 淀粉样变齿龈损害
K00.000 无牙症
K00.000x003 少牙畸形
K00.000x004 先天缺牙
K00.001 牙齿发育不全
K00.002 牙齿缺少
K00.100x001 多生牙
K00.101 第四臼齿
K00.200x001 巨牙症
K00.200x002 釉珠
K00.200x003 过小牙
K00.200x005 牛牙症
K00.200x009 畸形中央尖
K00.200x010 牙内陷
K00.201 双生牙
K00.202 结合齿
K00.203 套叠齿
K00.204 融合齿
K00.205 圆锥齿
K00.206 齿前突
K00.207 齿中突
K00.300x002 无氟釉质不透明
K00.301 氟牙症
K00.400 牙形成障碍
K00.400x001 弯曲牙
K00.400x002 特奈牙
K00.400x004 牙根发育不良
K00.401 区域性牙齿发育异常
K00.402 釉质发育不全(新生儿)(生后)(生前)
K00.500x002 壳状牙
K00.501 牙本质发育不全
K00.502 牙生长不全
K00.503 釉质发生不全
K00.600x001 乳牙早萌
K00.600x002 诞生牙
K00.600x005 乳牙萌出过迟
K00.600x006 恒牙萌出过迟
K00.600x007 恒牙早萌
K00.600x008 低位乳牙
K00.601 个别乳磨牙早失
K00.602 新生儿牙
K00.603 牙齿萌出过早
K00.604 牙齿萌出过晚
K00.605 乳齿过早脱落
K00.608 乳牙滞留
K00.700 出牙综合征
K00.800x002 四环素牙
