手术操作包括如下：
00.7000x001 全髋关节假体翻修术
00.7100x001 髋关节髋臼假体翻修术
00.7200x001 髋关节股骨假体翻修术
00.7201 人工股骨干和股骨头修复术
00.8000x001 全膝关节假体翻修术
00.8100x001 膝关节胫骨假体翻修术
00.8200x001 膝关节股骨假体翻修术
00.8201 膝关节置换修复术，股骨成分伴胫骨(衬垫)置入
00.8300x001 膝关节髌骨假体翻修术
00.8500x001 全髋关节表面置换术
00.8600x001 股骨头表面置换术
00.8700x001 髋臼表面置换术
01.0900x002 脑室穿刺术
01.1000x001 颅压监护探极置入术
01.1200 开放性脑膜活组织检查
01.1400 开放性大脑活组织检查
01.1500 颅骨活组织检查
01.1800x002 神经内镜检查术
01.2100x001 颅静脉窦切开修补术
01.2200 去除颅内神经刺激器导线
01.2300 颅骨切开术部位的再切开
01.2400x005 开颅探查术
01.2400x009 颅内脓肿引流术
01.2400x013 硬脑膜外血肿清除术
01.2400x018 硬脑膜切开术
01.2401 颅后窝血肿清除术
01.2402 颅骨切开引流术
01.2403 延髓前方减压术
01.2404 环枕减压术
01.2405 硬膜外脓肿清除术
01.2406 神经内镜下环枕减压术
01.2407 颅骨钻孔探查术
01.2408 颅内血肿清除术
01.2409 颅骨钻孔引流术
01.2410 颞肌下减压术
01.2411 颅骨切开减压术
01.2412 硬脑膜外切开引流术
01.2413 颅骨去骨瓣减压术
01.2414 颅骨钻孔减压术
01.2415 颅骨切开异物取出术
01.2500x003 颅骨清创术
01.2501 颞骨全切除术
01.2502 颞骨部分切除术
01.2503 颅骨部分切除术
01.2504 颅骨死骨切除术
01.2505 眶板眶顶切除术
01.2506 颅骨骨碎片取除术
01.2507 茎突截短术
01.3101 脑膜切开伴蛛网膜下腔血肿引流术
01.3102 脑膜切开伴蛛网膜下腔脓肿引流术
01.3103 脑膜切开伴硬脑膜下脓肿引流术
01.3104 脑膜切开伴硬脑膜下腔血肿清除术
01.3107 脑膜切开引流术
01.3201 脑叶切开术
01.3202 脑神经束切断术
01.3203 经皮扣带回切断术
01.3204 延髓束切断术
01.3205 胼胝体切开术
01.3900x002 脑白质切开术
01.3900x003 颅内血肿硬通道穿刺引流术
01.3900x007 脑切开术
01.3900x009 脑内血肿清除术
01.3900x012 经外侧裂脑内血肿清除术
01.3900x013 立体定向颅内血肿穿刺引流术
01.3902 脑室切开引流术
01.3904 经颞叶脑血肿清除术
01.3906 内镜下脑血肿引流术
01.3907 脑切开异物取出术
01.3911 脑脓肿切开引流术
01.4101 丘脑切开术
01.4102 丘脑射频毁损术
01.4103 丘脑化学破坏术
01.4104 丘脑核破坏术
01.4105 丘脑病损切除术
01.4201 立体定向苍白球切开术
01.4202 苍白球切开术
01.4203 苍白球射频毁损术
01.4204 苍白球丘脑化学破坏术
01.5100x001 开颅蛛网膜剥离术
01.5100x006 大脑镰脑膜病损切除术
