诊断操作包括如下：
A06.700 皮肤阿米巴病
A18.313+K93.0* 腹部结核性窦道
A18.400x001 播散性粟粒性狼疮
A18.400x006 酒渣样结核疹
A18.400x010 臀部结核
A18.400x013 皮肤结核溃疡
A18.400x014 疣状皮肤结核
A18.400x020 腰部结核性脓肿
A18.400x021 足结核
A18.400x022 肩部结核
A18.401 皮肤结核
A18.402 皮下组织结核
A18.403 皮肤结核性窦道
A18.404 瘰疬性皮肤结核
A18.405 结核性皮肤脓肿
A18.406 腹壁结核
A18.407 皮下组织结核性窦道
A18.408 结核性结节性红斑
A18.409 结核性狼疮
A18.410 寻常性狼疮
A18.411 巴赞病
A18.412 胸壁结核
A20.100 蜂窝织皮下型鼠疫
A20.101 皮肤型鼠疫
A22.000 皮肤炭疽
A26.000 皮肤类丹毒
A30.100x003 麻风性穿孔性足溃疡
A31.100 皮肤分枝杆菌感染
A31.100x002 溃疡分枝杆菌感染
A31.101 伯鲁里溃疡
A31.102 海分枝杆菌感染
A32.000 皮肤利斯特菌病
A36.300 皮肤白喉
A42.200 颈面部放线菌病
A43.100 皮肤诺卡菌病
A48.000 气性坏疽
A54.809 淋球菌性皮肤病
A66.300 雅司病角化过度
B00.801+L99.8* 疱疹病毒性瘭疽
B00.804+L99.8* 疱疹病毒性甲沟炎
B02.900x001 带状疱疹
B55.100x001 皮肤利什曼病[皮肤型黑热病]
B55.200 黏膜皮肤利什曼病
B66.400x001 皮下组织并殖吸虫病
D18.000x812 外阴血管瘤
D18.000x828 婴儿血管瘤(重症)
E10.600x021 1 型糖尿病性大疱症
E10.600x023 1 型糖尿病性红斑
E10.600x024 1 型糖尿病性潮红
E10.600x025 1 型糖尿病性皮肤硬化
E10.600x026 1 型糖尿病性皮肤增厚
E10.600x027+L99.8* 1 型糖尿病性糖尿病脂性渐进性坏死
E10.600x028 1 型糖尿病性甲周毛细血管扩张
E10.603+L99.8* 1 型糖尿病性皮肤病
E11.600x021 2 型糖尿病性大疱症
E11.600x023 2 型糖尿病性红斑
E11.600x024 2 型糖尿病性潮红
E11.600x025 2 型糖尿病性皮肤硬化
E11.600x026 2 型糖尿病性皮肤增厚
E11.600x027+L99.8* 2 型糖尿病性糖尿病脂性渐进性坏死
E11.600x028 2 型糖尿病性甲周毛细血管扩张
E11.603+L99.8* 2 型糖尿病性皮肤病
E14.600x021 糖尿病性大疱症
E14.600x022 糖尿病性皮肤病
E14.600x023 糖尿病性红斑
E14.600x024 糖尿病性潮红
E14.600x025 糖尿病性皮肤硬化
E14.600x026 糖尿病性皮肤增厚
E14.600x027+L99.8* 糖尿病性糖尿病脂性渐进性坏死
E14.600x028 糖尿病性甲周毛细血管扩张
E50.800x002+L86* 维生素 A 缺乏伴毛囊角化病
E50.801+L86* 维生素 A 缺乏合并皮肤干燥病
E51.100x005+I98.8* 湿性脚气病
E83.201 肠病性肢端皮炎
L00.x00 葡萄球菌性烫伤样皮肤综合征
L01.000x011 急性泛发性发疹型脓疱病
L01.000x012 急性发热性发疹样脓疱病
L01.001 伯克哈特脓疱病
L01.002 大疱性脓疱病
L01.003 单纯性脓疱病
L01.100 皮肤病的脓疱化，其他的
L04.800 急性淋巴结炎，其他部位的
L05.901 先天性背部皮肤窦道
L08.000x006 下疳样脓皮病
L08.000x007 慢性乳头状溃疡性脓皮病
L08.000x008 头皮糜烂脓疱性皮病
L08.000x009 芽生菌病样脓皮病
L08.800x011 恶性脓皮病
L08.802 增殖性脓皮病
L08.900 皮肤和皮下组织的局部感染
L10.000 寻常型天疱疮
L10.100 增生型天疱疮
L10.200 落叶型天疱疮
L10.300 巴西天疱疮
L10.400 红斑性天疱疮
L10.500 药物性天疱疮
L10.800 天疱疮，其他特指的
L10.801 疱疹样天疱疮
L10.900 天疱疮
L11.900 皮肤棘层松解性疾患
L12.000 大疱性类天疱疮
L12.001 老年性疱疹样皮炎
L12.100 瘢痕性类天疱疮
L12.101 良性黏膜类天疱疮
L12.102+H13.3* 结膜天疱疹
L12.103+H13.3* 眼天疱疹
L12.200 儿童期慢性大疱性疾病
L12.202 线状 IGA 大疱性皮炎
L12.300 后天性大疱性表皮松解
L12.800 类天疱疮，其他的
L12.900 类天疱疮
L13.000 疱疹样皮炎
L13.100 角质层下小脓疱性皮炎
L13.101 斯内登-威尔金森病
L13.800 大疱性疾患，其他特指的
L13.900 大疱性疾患
L13.901 大疱性皮炎
L22.x01 银屑病样尿布疹
L23.500 化学产品引起的变应性接触性皮炎，其他的
L26.x01 黑布拉糠疹
L27.000x004 剥脱性皮炎型药疹
L27.000x006 大疱表皮松解症型药疹
L27.900 内服物质引起的皮炎
L40.000 寻常性银屑病
L40.001 斑块状银屑病
L40.002 蛎壳状银屑病
L40.003 钱币形银屑病
L40.100 全身脓疱性银屑病
L40.101 冯-聪布施病
L40.102 脓疱性银屑病
L40.103 疱疹样脓疱病
L40.300 掌跖脓疱病
L40.301 掌跖脓疱性银屑病
L40.400 滴状银屑病
L40.801 反常性银屑病
L40.802 红皮病性银屑病
L40.900 银屑病
L41.000 急性苔藓痘疮样糠疹
L41.000x002 急性发热坏死溃疡性痘疮样糠疹
L41.001 穆哈-黑贝曼病
L41.100 慢性苔藓样糠疹
L41.300 小斑块副银屑病
