诊断操作包括如下：
A06.801 眼阿米巴病
A18.500x002 眼眶结核
A18.500x005+H32.0* 结核性视网膜脉络膜炎
A18.500x008+H13.1* 结膜结核
A18.500x010+H32.0* 脉络膜结核瘤
A18.500x013+H22.0* 结核性虹膜睫状体炎
A18.501+H32.0* 视网膜结核
A18.502+H32.0* 脉络膜结核
A18.503+H48.8* 视神经结核
A18.504+H22.0* 葡萄膜结核
A18.506+H19.2* 角膜结核
A18.507+H19.0* 巩膜结核
A20.800x005 眼鼠疫
A21.100 眼腺型土拉菌病
A23.900x003 布氏杆菌性葡萄膜炎
A30.900x006+H19.2* 麻风性点状角膜炎
A30.900x007+H32.0* 麻风性脉络膜炎
A32.803 眼腺利斯特菌病
A36.800x006+H22.8* 白喉性虹膜麻痹
A36.801+H13.1* 白喉性结膜炎
A39.801+H13.1* 脑膜炎球菌性结膜炎
A50.000x001+H32.0* 早期先天性梅毒性脉络膜视网膜炎
A50.001+H58.8* 早期先天性梅毒性眼病
A50.300+H58.8* 晚期先天性梅毒性眼病
A50.300x002+H19.2* 晚期先天性梅毒性间质性角膜炎
A50.300x003+H32.0* 晚期先天性梅毒性脉络膜视网膜炎
A50.301+H19.2* 梅毒性角膜炎
A51.400x005+H22.0* 二期梅毒性虹膜睫状体炎
A51.402+H22.0* 二期梅毒性葡萄膜炎
A51.403+H32.0* 早期梅毒性视网膜炎
A51.404+H58.8* 早期梅毒性眼病
A51.405+H58.8* 二期梅毒性眼病
A52.100x012+H48.1* 梅毒相关性视神经炎
A52.102+H58.0* 阿-罗瞳孔
A52.700x015+H58.8* 梅毒性眼病
A52.701+H22.0* 三期梅毒性葡萄膜炎
A52.702+H32.0* 三期梅毒性视网膜炎
A52.708+H58.8* 晚期梅毒性眼病
A54.300x002+H19.2* 先天性淋球菌性角膜炎
A54.302+H13.1* 淋球菌性结膜炎
A54.303+H22.0* 淋球菌性虹膜睫状体炎
B00.500x002+H58.8* 单纯疱疹病毒性眼病
B00.500x005+H19.1* 树枝状角膜炎
B00.500x007+H22.0* 单纯疱疹病毒性虹膜睫状体炎
B00.500x008+H22.0* 疱疹病毒性虹膜炎
B00.500x009+H22.0* 疱疹病毒性葡萄膜炎
B00.500x010+H19.1* 疱疹病毒性角膜结膜炎
B00.500x011+H03.1* 疱疹病毒性睑皮炎
B00.501+H19.1* 疱疹病毒性角膜炎
B00.502+H13.1* 疱疹病毒性结膜炎
