包含以下主要诊断：
D81.300 腺苷脱氨酶［ADA］缺乏
D81.500 嘌呤核苷磷酸化酶［PNP］缺乏
E16.803 代谢综合征
E70.000 典型的苯丙酮酸尿
E70.000x002 苯丙酮酸性精神幼稚病
E70.100x001 苯丙酮尿症
E70.100x004 苯丙氨酸羟化酶缺乏症
E70.101 高苯丙氨酸血症
E70.102 四氢生物蝶呤缺乏症
E70.200 酪氨酸代谢紊乱
E70.201 高酪氨酸血症
E70.202 黑尿酸症
E70.203 褐黄病
E70.204 酪氨酸尿症
E70.205 原发性酪氨酸血症
E70.300 白化病
E70.300x003 切迪阿克-施泰因布林克-东综合征~~[Chediak-Steinbrinck-Higashi 综合征]
E70.300x004 克罗斯综合征[Cross 综合征]
E70.300x005 赫 日 曼 斯 基 - 普 德 拉 克 综 合 征~~[Hermansky-Pudlak 综合征]
E70.301 瓦登伯格综合征
E70.800x001 组氨酸血症
E70.800x002 色氨酸代谢紊乱
E70.800x003 组氨酸代谢紊乱
E70.900 芳香氨基酸代谢紊乱
E71.000 槭糖尿病
E71.100x003 高缬氨酸血症
E71.100x004 异缬氨酸血症
E71.100x005 甲基丙二酸尿症
E71.101 丙酸血症
E71.102 甲基丙二酸血症
E71.103 异戊酸血症
E71.200 支链氨基酸代谢紊乱
E72.001 甘氨酸尿症
E72.002 范科尼综合征
E72.003 胱氨酸尿症
E72.004 哈特纳普病
E72.005 洛氏综合征
E72.100x003 胱硫醚尿症
E72.100x004 高胱氨酸尿症
E72.100x005 蛋氨酸血症
E72.100x006 亚硫酸盐氧化酶缺乏症
E72.100x007 同型半胱氨酸尿症
E72.101 高同型半胱氨酸血症
E72.102 同型半胱氨酸血症
E72.200x002 一过性高氨血症
E72.200x004 精氨酸血症
E72.200x007 先天性高氨血症
E72.200x008 尿素循环障碍
E72.201 高氨血症
E72.202 瓜氨酸血症
E72.203 精氨基琥珀酸尿症
E72.204 精氨酸酶缺乏症
E72.205 N-乙酰谷氨酸合成酶缺乏症
E72.300x001 羟赖氨酸血症
E72.300x002 高赖氨酸血症
E72.301 羟赖氨酸代谢紊乱
E72.302 戊二酸血症
E72.303 戊二酸尿症
E72.304 戊二酸血症 I 型
E72.305 戊二酸血症Ⅱ型
E72.306 戊二酸血症Ⅲ型
E72.400 鸟氨酸代谢紊乱
E72.400x001 鸟氨酸血症 I 型
E72.400x002 鸟氨酸血症 II 型
E72.401 高鸟胺酸血症-高氨血症-高瓜胺酸血症~~候群
E72.402 鸟氨酸氨甲酰基转移酶缺乏症
E72.500 甘油酸代谢紊乱
E72.500x001 高羟氨酸血症
E72.500x002 高脯氨酸血症 I 型
E72.500x003 高脯氨酸血症 II 型
E72.500x004 非酮病性高甘胺酸血症
E72.500x005 肌氨酸血症
E72.800x001 脲环代谢紊乱
E72.800x002 直链氨基酸代谢障碍
E72.800x004 β氨基酸代谢紊乱
