包含以下主要手术或操作：
17.3100 腹腔镜多段大肠切除术
17.3101 腹腔镜直肠乙状结肠部分切除术
17.3200 腹腔镜盲肠切除术
17.3200x001 腹腔镜下盲肠部分切除术
17.3200x002 腹腔镜下回盲部切除术
17.3300 腹腔镜右半结肠切除术
17.3300x002 腹腔镜下升结肠部分切除术
17.3400 腹腔镜横结肠切除术
17.3401 腹腔镜横结肠部分切除术
17.3500 腹腔镜左半结肠切除术
17.3500x001 腹腔镜下降结肠部分切除术
17.3600 腹腔镜乙状结肠切除术
17.3600x001 腹腔镜下乙状结肠部分切除术
17.3900x002 腹腔镜下结肠部分切除术
17.3900x003 腹腔镜下小肠-结肠切除术
17.3900x004 腹腔镜经肛门巨结肠根治术（改良~~Soave 法）
17.3901 腹腔镜巨结肠切除术
45.0001 肠切开取石术
45.0002 肠切开异物取出术
45.5000 肠段分离术
45.5100x001 回肠部分切除用于间置术
45.5101 小肠部分切除用于间置术
45.5201 结肠部分切除术用于间置术
45.6100 小肠多节段部分切除术
45.6100x001 腹腔镜下小肠多节段部分切除术
45.6200x003 腹腔镜下回肠全部切除术
45.6200x004 腹腔镜下空肠全部切除术
45.6200x005 腹腔镜下十二指肠部分切除术
45.6200x006 腹腔镜下十二指肠全部切除术
45.6201 小肠部分切除术
45.6204 空肠部分切除术
45.6205 空肠切除术
45.6206 回肠部分切除术
45.6207 回肠切除术
45.6208 腹腔镜下小肠部分切除术
45.6300 小肠全部切除术
45.7100x001 大肠多节段切除术
45.7200x002 回盲部切除术
45.7200x004 盲肠部分切除术
45.7201 回盲部分切除术
45.7202 盲肠切除术
45.7300x003 升结肠部分切除术
45.7300x006 右半结肠姑息性切除术
45.7300x007 右半结肠切除术
45.7301 回肠结肠切除术
45.7302 右半结肠根治性切除术
45.7304 升结肠切除术
45.7400x003 横结肠切除术
45.7401 横结肠部分切除术
45.7500 左半结肠切除术
45.7500 左半结肠切除术
45.7500x001 降结肠部分切除术
45.7501 左半结肠根治性切除术
45.7600x008 乙状结肠切除术
45.7601 乙状结肠部分切除术
45.7900x001 结肠次全切除术
45.7900x002 巨结肠切除术
45.7901 结肠部分切除术
45.7902 小肠结肠部分切除术
45.8100 腹腔镜腹内全结肠切除术
45.8100x001 腹腔镜下结肠次全切除术
45.8200 开放性腹内全结肠切除术
45.8300 其他和未特指的腹内全结肠切除术
45.9000 肠吻合术
45.9100x006 小肠-小肠端侧吻合术
45.9100x008 空肠-空肠端侧吻合术
45.9100x009 十二指肠-回肠吻合术
45.9100x010 空肠-空肠侧侧吻合术
45.9101 空肠空肠吻合术
45.9102 回肠回肠吻合术
45.9104 空肠回肠吻合术
45.9200 小肠直肠残端吻合术
45.9300x012 小肠-升结肠吻合术
45.9300x013 小肠-大肠吻合术
45.9300x014 小肠-结肠吻合术
45.9300x015 回肠贮袋肛管吻合术
45.9301 回肠-横结肠吻合术
45.9302 回肠-降结肠吻合术
45.9303 回肠-盲肠吻合术
45.9304 回肠-升结肠吻合术
45.9305 回肠-乙状结肠吻合术
45.9306 回肠-直肠吻合术
45.9307 空肠-横结肠吻合术
45.9308 空肠-降结肠吻合术
45.9309 空肠-升结肠吻合术
45.9310 空肠-乙状结肠吻合术
45.9400x004 降结肠-乙状结肠吻合术
45.9400x009 盲肠-乙状结肠吻合术
45.9400x012 升结肠-乙状结肠吻合术
45.9400x016 横结肠-直肠吻合术
