包含以下主要诊断：
B01.800x002+N08.0* 水痘并发肾炎
B18.103+N08.0* 乙型肝炎相关性肾炎
B18.205+N08.0* 丙型肝炎相关性肾炎
B18.904+N08.0* 病毒性肝炎相关性肾病
B52.000 三日疟原虫疟疾伴有肾病
B52.000x002+N08.0* 三日疟性肾小球肾炎
B52.001+N08.0* 三日疟原虫疟疾性肾小球病变
C90.005+N08.1* 骨髓瘤伴肾小球病变
D89.101+N08.2* 冷球蛋白血症性肾小球肾炎
E66.902+N08.4* 肥胖相关性肾病
E85.002 遗传性淀粉样肾病
E85.411+N29.8* 淀粉样变肾损害
I12.900x006 小动脉性肾病
I12.900x008 恶性肾小动脉硬化症
I12.900x009 良性肾小动脉硬化症
I12.904 肾小动脉硬化症
I13.100x001 高血压性心脏病和肾脏病伴肾衰竭
I13.200x001 高血压性心脏病和肾脏病伴心力衰~~竭和肾衰竭
M10.001+N16.8* 尿酸性肾病
M31.002+N08.5* 抗肾小球基底膜抗体病
M31.003+N08.5* 肺出血肾炎综合征相关肾小球肾~~炎
M31.102+N08.5* 血栓性血小板减少性紫癜相关肾~~小球肾炎
M31.305+N08.5* 肉芽肿性血管炎相关肾小球肾炎
M31.701+N08.5* ANCA 相关性肾炎
M31.703+N08.5* 血管炎性肾小球肾炎
M32.101+N08.5* 狼疮性肾炎
M32.102+N16.4* 狼疮性肾小管间质肾炎
M35.006+N16.4* 干燥综合征性肾小管间质肾炎
M35.007+N16.4* 干燥综合征性肾盂肾炎
N00.000 急性肾炎综合征伴有轻微的肾小球异常
N00.100x001 局灶坏死性肾小球肾炎
N00.200 急性肾炎综合征伴有弥漫性膜性肾小球~~肾炎
N00.301 急性系膜增殖性肾小球肾炎
N00.400 急性肾炎综合征伴有弥漫性毛细血管内~~增生性肾小球肾炎
N00.500 急性肾炎综合征伴有弥漫性肾小球系膜~~毛细血管性肾小球肾炎
N00.600 急性肾炎综合征伴有密集沉积物病
N00.700 急性肾炎综合征伴有弥漫性新月形肾小~~球肾炎
N00.800x001 急性肾炎伴坏死性肾小球肾炎损害
N00.801 急性肾小球肾炎，IgA 肾病
N00.802 急性增殖性肾小球肾炎
N00.900 急性肾炎综合征
N00.900x002 急性肾炎
N00.900x006 急性肾小球病
N00.900x008 急性肾病
N00.900x009 慢性肾小球肾炎伴急进型肾小球性~~肾炎
N00.901 急性链球菌感染后肾小球肾炎
N00.902 急性肾小球肾炎
N01.000 急进型肾炎综合征伴有轻微的肾小球异~~常
N01.100x002 急进型肾炎综合征,局灶性和节段性~~肾小球损害
N01.200x001 急进型肾炎综合征,弥漫性膜性肾小~~球肾炎
N01.300x001 急进型肾炎综合征,弥漫性肾小球膜~~性增生性肾小球肾炎
N01.400x001 急进型肾炎,毛细血管内增殖性肾炎
N01.500x001 急进型肾炎综合征,弥漫性肾小球膜~~毛细血管性肾小球肾炎
N01.600x001 急进型肾炎综合征,密集沉积物病
N01.700x001 急进性新月体性肾小球肾炎
N01.800 急进型肾炎综合征，其他的
N01.900 急进型肾炎综合征
N01.900x001 急进性肾炎
N01.900x002 急进性肾小球病
N01.900x003 急进性肾小球肾炎
N02.001 血尿，肾小球轻微病变
N02.002 IgA 肾病，肾小球轻微病变
N02.101 IgA 肾病，局灶和节段性肾小球损害
N02.102 血尿，局灶和节段性肾小球损害
N02.201 IgA 肾病，膜性肾小球损害
N02.203 血尿，弥漫性膜性肾小球损害
N02.301 血尿，弥漫性肾小球系膜增殖性肾小球损~~害
N02.302 系膜增生性 IgA 肾病
N02.401 血尿，弥漫性毛细血管内增殖性肾炎
N02.502 血尿，膜增殖性肾小球损害
N02.701 新月体性 IgA 肾病
N02.702 血尿，新月体[形]肾小球肾炎
N02.801 IgA 肾病
N02.802 薄基底膜肾病
N03.000 慢性肾炎综合征伴有轻微的肾小球异常
N03.100 慢性肾炎综合征伴有局灶性和节段性肾~~小球损害
N03.200x001 慢性膜性肾小球肾炎
N03.300x001 慢性弥漫性系膜增殖性肾小球肾炎
N03.400 慢性肾炎综合征伴有弥漫性毛细血管内~~增生性肾小球肾炎
N03.500x003 慢性肾小球膜毛细血管性肾小球肾~~炎
N03.501 膜增殖性肾小球肾炎Ⅰ型
N03.502 膜增殖性肾小球肾炎Ⅲ型
N03.503 膜性增生性肾小球肾炎
N03.601 膜增殖性肾小球肾炎Ⅱ型
N03.700 慢性肾炎综合征伴有弥漫性新月形肾小~~球肾炎
N03.800x001 慢性弥漫性增殖性肾小球肾炎
N03.800x003 慢性肾小球肾炎伴硬化性肾炎
N03.800x004 慢性肾小球肾炎伴膜性增殖性肾小~~球肾炎
N03.801 慢性增殖性肾小球肾炎
N03.900 慢性肾炎综合征
N03.900x002 慢性肾小球肾炎伴小管间质病变
N03.900x003 慢性肾炎
N03.900x004 隐匿型肾小球肾炎
N03.900x005 肾小球内皮细胞病
N03.900x006 慢性肾病
N03.900x007 慢性肾小球病
N03.901 慢性肾小球肾炎
N04.001 肾病综合征伴微小病变性肾小球肾炎
N04.101 肾病综合征伴局灶硬化性肾小球肾炎
N04.102 肾病综合征伴节段硬化性肾小球肾炎
N04.200x001 肾病综合征伴膜性肾小球肾炎
N04.300x001 肾病综合征伴膜增值性肾小球肾炎
N04.300x003 肾病综合征伴膜性增殖性 IgA 肾病
N04.400x001 肾病综合征伴毛细血管增殖性肾炎
N04.501 肾病综合征，膜增殖性肾小球肾炎Ⅰ型
N04.502 肾病综合征，膜增殖性肾小球肾炎Ⅲ型
N04.601 肾病综合征，膜增殖性肾小球肾炎Ⅱ型
N04.700 肾病综合征伴有弥漫性新月形肾小球肾~~炎
N04.800x002 病毒性肾炎
N04.801 肾病综合征，增殖性肾小球肾炎
N04.900 肾病综合征
N04.901 脂性肾病
N04.902 先天性肾病综合征
N04.903 肾病型肾炎
N05.000x001 肾小球微小病变
N05.000x003 肥胖相关性肾小球肥大症
N05.000x004 微小病变性肾小球肾炎
N05.101 局灶性肾炎
N05.201 膜性肾病
N05.301 系膜增生性肾小球肾炎
N05.400 肾炎综合征伴有弥漫性毛细血管内增生~~性肾小球肾炎
N05.501 膜增殖性肾小球肾炎
N05.600 肾炎综合征伴有密集沉积物病
N05.701 新月体形肾小球肾炎
N05.801 IgM 肾病
N05.802 增殖性肾小球肾炎
N05.803 肾小球肾病
N05.900 肾炎综合征
N05.900x002 肾小球肾炎
N05.900x003 肾炎
N05.900x006 小血管炎肾损害
N05.900x007 链球菌感染后肾小球肾炎
N05.900x009 肾小球病
N06.001 蛋白尿，肾小球轻微病变
N06.100 孤立性蛋白尿伴有局灶性和节段性肾小~~球损害
N06.200 孤立性蛋白尿伴有弥漫性膜性肾小球肾~~炎
N06.300 孤立性蛋白尿伴有弥漫性肾小球系膜性~~增生性肾小球肾炎
N06.400 孤立性蛋白尿伴有弥漫性毛细血管内增~~生性肾小球肾炎
N06.500 孤立性蛋白尿伴有弥漫性肾小球系膜毛~~细血管性肾小球肾炎
N06.700 孤立性蛋白尿伴有弥漫性新月形肾小球~~肾炎
N07.000 遗传性肾病伴有轻微的肾小球异常，不可~~归类在他处者
N07.100 遗传性肾病伴有局灶性和节段性肾小球~~损害，不可归类在他处者
N07.200 遗传性肾病伴有弥漫性膜性肾小球肾炎，~~不可归类在他处者
N07.300 遗传性肾病伴有弥漫性肾小球系膜增生~~性肾小球肾炎，不可归类在他处者
N07.400 遗传性肾病伴有弥漫性毛细血管内增生~~性肾小球肾炎，不可归类在他处者
N07.500 遗传性肾病伴有弥漫性肾小球系膜毛细~~血管性肾小球肾炎，不可归类在他处者
N07.600 遗传性肾病伴有密集沉积物病，不可归类~~在他处者
