包含以下主要诊断：
C45.100 腹膜间皮瘤
C46.700x001 外阴卡波西肉瘤
C51.000 大阴唇恶性肿瘤
C51.001 前庭大腺恶性肿瘤
C51.100 小阴唇恶性肿瘤
C51.200 阴蒂恶性肿瘤
C51.800 外阴交搭跨越恶性肿瘤的损害
C51.900 外阴恶性肿瘤
C52.x00 阴道恶性肿瘤
C53.000 宫颈内膜恶性肿瘤
C53.100 外宫颈恶性肿瘤
C53.800 宫颈交搭跨越恶性肿瘤的损害
C53.801 宫颈残端恶性肿瘤
C53.900 宫颈恶性肿瘤
C54.000 子宫峡部恶性肿瘤
C54.001 子宫下段恶性肿瘤
C54.100 子宫内膜恶性肿瘤
C54.200 子宫肌层恶性肿瘤
C54.300 子宫底部恶性肿瘤
C54.800 子宫体交搭跨越恶性肿瘤的损害
C54.900 子宫体恶性肿瘤
C55.x00 子宫恶性肿瘤
C56.x00 卵巢恶性肿瘤
C56.x00x003 双侧卵巢恶性肿瘤
C57.000 输卵管恶性肿瘤
C57.000x002 双侧输卵管恶性肿瘤
C57.100 阔韧带恶性肿瘤
C57.101 卵巢冠恶性肿瘤
C57.200 圆韧带恶性肿瘤
C57.300 子宫旁组织恶性肿瘤
C57.300x001 子宫骶骨韧带恶性肿瘤
C57.301 子宫韧带恶性肿瘤
C57.400 子宫附件恶性肿瘤
C57.700 女性生殖器官，其他特指的恶性肿瘤
C57.701 女性沃尔夫体恶性肿瘤
C57.702 女性沃尔夫管恶性肿瘤
C57.800x004 子宫颈及阴道恶性肿瘤
C57.800x005 子宫及输卵管恶性肿瘤
C57.801 输卵管卵巢恶性肿瘤
C57.802 子宫卵巢恶性肿瘤
C57.803 阴道外阴恶性肿瘤
C57.900 女性生殖器官恶性肿瘤
C58.x00 胎盘恶性肿瘤
C58.x00x002 绒毛膜癌
C58.x00x003 绒毛膜上皮癌
C76.303 会阴部恶性肿瘤
C76.307 直肠阴道隔恶性肿瘤
C77.500x003 子宫旁淋巴结继发恶性肿瘤
C79.600 卵巢继发性恶性肿瘤
C79.800x202 输卵管继发恶性肿瘤
C79.800x205 子宫角继发恶性肿瘤
C79.800x206 子宫体继发恶性肿瘤
C79.800x209 子宫颈继发恶性肿瘤
C79.800x211 子宫旁继发恶性肿瘤
C79.800x213 子宫下段继发恶性肿瘤
C79.800x214 子宫韧带继发恶性肿瘤
C79.800x215 子宫圆韧带继发恶性肿瘤
C79.800x216 子宫阔韧带继发恶性肿瘤
C79.800x218 子宫卵巢韧带继发恶性肿瘤
C79.800x219 子宫骶骨韧带继发恶性肿瘤
C79.800x220 子宫内膜继发恶性肿瘤
C79.800x222 子宫附件继发恶性肿瘤
C79.800x223 子宫肌层继发恶性肿瘤
C79.800x228 生殖器官继发恶性肿瘤
C79.812 子宫继发恶性肿瘤
