包含以下主要手术或操作：
06.1101 超声引导下经皮甲状腺活组织检查术
06.1301 开放性甲状旁腺活组织检查
06.1302 经皮甲状旁腺活组织检查
06.1303 超声引导下甲状旁腺活组织检查
07.1600 胸腺活组织检查
07.8000 胸腺切除术
07.8001 胸腔镜下胸腺切除术
07.8100 胸腺部分切除术
07.8100x009 CT 引导下胸腺病损射频消融术
07.8101 胸腺病损切除术
07.8201 胸腺扩大切除术
07.8300 胸腔镜下胸腺部分切除术
07.8300x002 胸腔镜下胸腺病损切除术
07.8400 胸腔镜下胸腺全部切除术
07.8401 胸腔镜下胸腺扩大切除术
07.9100 胸腺区探查术
07.9200x001 胸腺切开探查术
07.9300 胸腺修补术
07.9400 胸腺移植术
07.9500 胸腔镜下胸腺切开术
07.9800 胸腺其他和未特指的胸腔镜手术
07.9901 胸腺固定术
08.2000x006 眼睑病损切除术
08.2001 眉部病损切除术
08.3800 睑退缩矫正术
12.7200 睫状体冷冻疗法
14.6x00x001 眼后节置入物取出术
34.2501 内镜下纵隔活组织检查
34.2502 胸腔镜下纵隔活组织检查
34.2600 开放性纵隔活组织检查
34.3x01 经皮纵隔病损射频消融术
34.3x02 纵隔病损切除术
34.3x03 纵隔病损射频消融术
34.3x04 胸腔镜下纵隔病损切除术
34.3x05 纵隔镜下纵隔病损切除术
34.4x01 胸壁病损切除术
34.4x02 胸壁部分切除术
34.4x03 胸腔镜下胸壁病损切除术
38.0200x002 颈动脉探查术
38.0201 颈动脉取栓术
38.0800x003 下肢动脉探查术
38.1200x003 颈动脉内膜剥脱术
38.1201 颈动脉内膜切除术
38.1202 颈动脉内膜切除伴补片修补术
38.2100 血管活组织检查
38.3000 血管部分切除术伴吻合术
38.3800 下肢动脉部分切除术伴吻合术
38.4300x001 肱动脉瘤切除伴自体血管移植术
38.4300x002 桡动脉部分切除伴桡尺动脉自体血~~管移植术
38.4301 桡动脉部分切除伴置换术
38.4302 肱动脉部分切除伴置换术
38.4303 腋静脉部分切除伴置换术
38.7x01 腔静脉结扎术
38.7x02 腔静脉折叠术
38.7x03 上腔静脉滤器置入术
38.7x04 下腔静脉滤器置入术
39.3100 动脉缝合术
39.5004 股动脉球囊血管成形术
39.5005 髂动脉球囊血管成形术
39.5011 胫动脉球囊血管成形术
39.7900x009 甲状腺动脉栓塞术
39.7900x809 下肢静脉滤器置入术
39.9004 髂动脉支架置入术
39.9009 股动脉支架置入术
39.9100 血管松解
39.9100x003 下腔静脉粘连松解术
39.9300 血管-血管的套管的置入术
39.9800x001 伤口止血术
39.9801 手术后伤口止血术
40.0x00x002 皮下淋巴抽吸术
40.1100x003 腹腔镜下淋巴结活检术
40.2300 腋淋巴结切除术
40.2400 腹股沟淋巴结切除术
40.2900x002 单纯淋巴结切除术
40.2900x017 腹膜后淋巴管瘤(囊肿)切除术
40.2900x018 肠系膜淋巴管瘤(囊肿)切除术
40.2901 锁骨上淋巴结切除术
40.2906 腹腔淋巴结切除术
40.2908 肠系膜淋巴结切除术
40.3x00x001 淋巴结扩大性区域性切除术
40.3x00x002 淋巴结区域性切除术
40.3x00x003 腔镜下区域性腋窝淋巴结区域切除~~术
40.5901 颌下淋巴结清扫术
43.7x00x001 胃 大 部 切 除 伴 胃 - 空 肠 吻 合 术~~[Billroth Ⅱ式手术]
43.7x01 残胃部分切除伴胃空肠吻合术
43.7x02 胃肠吻合口切除伴胃空肠吻合术
43.7x03 腹腔镜胃大部切除伴胃空肠吻合术
44.9201 胃扭转复位术
45.6201 小肠部分切除术
45.6202 十二指肠部分切除术
45.6203 十二指肠切除术
45.6204 空肠部分切除术
45.6205 空肠切除术
45.6206 回肠部分切除术
45.6207 回肠切除术
45.6208 腹腔镜下小肠部分切除术
45.7500 左半结肠切除术
45.7500x001 降结肠部分切除术
45.7501 左半结肠根治性切除术
45.9300x012 小肠-升结肠吻合术
