疾病编码 疾病名称 排除内容
A02.100 沙门菌脓毒症 表 7-1
A02.100x002 鼠伤寒沙门菌脓毒症 表 7-1
A02.101 猪霍乱沙门菌脓毒症 表 7-1
A03.800x001 不定型志贺菌痢疾 表 7-1
A03.800x002 菌痢混合感染 表 7-1
A05.200 食物媒介的产气荚膜梭状芽孢杆菌［韦尔希梭状芽孢杆菌］食物中毒 表 7-1
A05.200x002 急性出血性坏死性肠炎 表 7-1
A05.202 急性坏死性肠炎 表 7-1
A06.400+K77.0* 阿米巴肝脓肿 表 7-1
A19.900 粟粒型结核 表 7-2
A19.900x004 全身血行播散性结核 表 7-2
A19.900x005 结核性多浆膜腔积液 表 7-2
A19.901 结核性多浆膜炎 表 7-2
A19.902 全身性粟粒型结核 表 7-2
A26.700 丹毒丝菌脓毒症 表 7-3
A26.700x001 类丹毒脓毒症 表 7-3
A35.x00x001 破伤风 表 7-4
A39.000+G01* 脑膜炎球菌性脑膜炎 表 7-4
A39.003+G01* 流行性脑脊髓膜炎 表 7-4
A40.300 肺炎链球菌性脓毒症 表 7-4
A40.900 链球菌性脓毒症 表 7-4
A41.000 金黄色葡萄球菌性脓毒症 表 7-4
A41.100x002 表皮葡萄球菌脓毒症 表 7-4
A41.101 凝固酶阴性葡萄球菌脓毒症 表 7-4
A41.200 葡萄球菌性脓毒症 表 7-4
A41.300 流感嗜血杆菌性脓毒症 表 7-4
A41.500x083 革兰阴性杆菌脓毒症 表 7-4
A41.500x087 粘球杆菌脓毒症 表 7-4
A41.501 大肠杆菌脓毒症 表 7-4
A41.502 铜绿假单胞菌脓毒症 表 7-4
A41.503 克雷伯杆菌脓毒症 表 7-4
A41.504 阴沟肠杆菌脓毒症 表 7-4
A41.505 变形杆菌脓毒症 表 7-4
A41.506 不动杆菌属性脓毒症 表 7-4
A41.801 枯草杆菌脓毒症 表 7-4
A41.802 类酵母菌脓毒症 表 7-4
1135
疾病编码 疾病名称 排除内容
A41.803 新型隐球菌脓毒症 表 7-4
A41.804 真菌脓毒症 表 7-4
A41.805 革兰阳性菌脓毒症 表 7-4
A41.806 微球菌属性脓毒症 表 7-4
A41.807 肠球菌性脓毒症 表 7-4
A41.900 脓毒症 表 7-4
A41.900x004 内毒素血症 表 7-4
A48.000 气性坏疽 表 7-4
A48.300 中毒性休克综合征 表 7-4
A49.000 葡萄球菌感染 表 7-4
A49.001 葡萄球菌感染性菌血症 表 7-4
A49.002 耐甲氧西林金黄色葡萄球菌感染 表 7-4
A49.003 耐甲氧西林凝固酶阴性葡萄球菌感染 表 7-4
A49.004 甲氧西林敏感金黄色葡萄球菌感染 表 7-4
A49.100x004 草绿色链球菌感染 表 7-4
A49.101 链球菌感染性菌血症 表 7-4
A49.102 肺炎球菌感染 表 7-4
A49.103 链球菌感染综合征 表 7-4
A52.800 潜伏性晚期梅毒 表 7-5
A52.801 潜伏性三期梅毒 表 7-5
B15.000 甲型肝炎，伴有肝昏迷 表 7-11
B15.001 急性甲型病毒性肝炎伴肝昏迷 表 7-11
B15.002 急性重型甲型病毒性肝炎伴肝昏迷 表 7-11
B15.003 亚急性重型甲型病毒性肝炎伴肝昏迷 表 7-11
B16.200 急性乙型肝炎，不伴有δ因子(共同感染)，但伴有肝昏迷 表 7-11
B16.201 急性乙型病毒性肝炎伴肝昏迷 表 7-11
B16.202 亚急性重型乙型病毒性肝炎伴肝昏迷 表 7-11
B16.203 急性重型乙型病毒性肝炎伴肝昏迷 表 7-11
B16.204 急性无黄疸型乙型肝炎伴肝昏迷 表 7-11
B19.000 病毒性肝炎，伴有肝昏迷 表 7-11
B19.001 急性重型病毒性肝炎伴肝昏迷 表 7-11
B19.002 亚急性重型病毒性肝炎伴肝昏迷 表 7-11
B20.801 人类免疫缺陷病毒病性弓形虫病 表 7-12
B23.800 人类免疫缺陷病毒[HIV]病造成的其他特指的情况 表 7-12
B23.800x002 艾滋病神经综合征 表 7-12
B23.801 免疫重建炎症综合征 表 7-12
B25.000+J17.1* 巨细胞病毒性肺炎 表 7-13
B25.800x001 巨细胞病毒血症 表 7-13
B25.801+G05.1* 巨细胞病毒性脑炎 表 7-13
B25.802+H32.0* 巨细胞病毒性视网膜炎 表 7-13
B37.100 肺念珠菌病 表 7-14
B37.101+J17.2* 念珠菌性肺炎 表 7-14
B37.700 念珠菌性脓毒症 表 7-14
1136
疾病编码 疾病名称 排除内容
B37.700x001 念珠菌脓毒症 表 7-14
B44.000x001+J99.8* 侵袭性肺曲霉菌病 表 7-14
B45.100 大脑隐球菌病 表 7-14
B45.100x002+G02.1* 新型隐球菌脑膜炎 表 7-14
B45.101+G02.1* 隐球菌性脑膜炎 表 7-14
B45.102+G05.2* 隐球菌性脑炎 表 7-14
B46.500 毛霉病 表 7-14
B86.x00 疥疮 表 7-16
B96.501 绿脓杆菌感染 表 7-18
C15.000 颈部食管恶性肿瘤 表 7-20
C15.100 胸部食管恶性肿瘤 表 7-20
C15.100x002 食管胸上段恶性肿瘤 表 7-20
C15.100x003 食管胸中段恶性肿瘤 表 7-20
C15.100x004 食管胸下段恶性肿瘤 表 7-20
C15.200 腹部食管恶性肿瘤 表 7-20
C25.400 胰腺内分泌的恶性肿瘤 表 7-20
C25.401 胰岛恶性肿瘤 表 7-20
C31.000 上颌窦恶性肿瘤 表 7-21
C31.100 筛窦恶性肿瘤 表 7-21
C31.200 额窦恶性肿瘤 表 7-21
C31.300 蝶窦恶性肿瘤 表 7-21
C31.800 鼻旁窦交搭跨越恶性肿瘤的损害 表 7-21
C31.801 筛窦蝶窦恶性肿瘤 表 7-21
C31.900x001 鼻窦恶性肿瘤 表 7-21
C44.500 躯干皮肤恶性肿瘤 表 7-23
C44.501 乳房皮肤恶性肿瘤 表 7-23
C44.502 胸部皮肤恶性肿瘤 表 7-23
C44.503 腹部皮肤恶性肿瘤 表 7-23
C44.504 背部皮肤恶性肿瘤 表 7-23
C44.505 肩胛区皮肤恶性肿瘤 表 7-23
C44.506 臀部皮肤恶性肿瘤 表 7-23
C44.507 肛门皮肤恶性肿瘤 表 7-23
C44.508 肛周皮肤恶性肿瘤 表 7-23
C44.509 腹股沟皮肤恶性肿瘤 表 7-23
C49.100x001 上肢结缔组织恶性肿瘤 表 7-24
C49.100x002 上肢软组织恶性肿瘤 表 7-24
C49.100x006 腕部结缔组织恶性肿瘤 表 7-24
C49.101 肩结缔组织和软组织恶性肿瘤 表 7-24
C49.102 肘结缔组织恶性肿瘤 表 7-24
C49.103 手结缔组织恶性肿瘤 表 7-24
C49.200x001 下肢结缔组织恶性肿瘤 表 7-24
C49.200x002 下肢软组织恶性肿瘤 表 7-24
C49.200x005 膝部结缔组织和软组织恶性肿瘤 表 7-24
1137
疾病编码 疾病名称 排除内容
C49.200x006 踝部结缔组织恶性肿瘤 表 7-24
C49.201 髋结缔组织和软组织恶性肿瘤 表 7-24
C49.202 足结缔组织恶性肿瘤 表 7-24
C52.x00 阴道恶性肿瘤 表 7-25
C67.400 膀胱后壁恶性肿瘤 表 7-27
C67.700 脐尿管恶性肿瘤 表 7-27
C83.800 其他非滤泡性淋巴瘤 表 7-31
