包含以下主要诊断：
B33.000 流行性肌痛
B33.001 流行性胸肌痛
D16.000x002 肩胛骨良性肿瘤
D16.001 上肢长骨良性肿瘤
D16.002 肱骨良性肿瘤
D16.003 桡骨良性肿瘤
D16.004 尺骨良性肿瘤
D16.100x005 上肢关节良性肿瘤
D16.101 腕骨良性肿瘤
D16.102 掌骨良性肿瘤
D16.103 指骨良性肿瘤
D16.200x005 膝关节良性肿瘤
D16.201 股骨良性肿瘤
D16.202 胫骨良性肿瘤
D16.203 腓骨良性肿瘤
D16.300 下肢短骨良性肿瘤
D16.300x003 踝骨良性肿瘤
D16.300x004 距骨良性肿瘤
D16.300x005 跟骨良性肿瘤
D16.300x008 下肢关节良性肿瘤
D16.301 髌骨良性肿瘤
D16.302 跗骨良性肿瘤
D16.303 跖骨良性肿瘤
D16.304 趾骨良性肿瘤
D16.600x002 颈椎良性肿瘤
D16.600x003 胸椎良性肿瘤
D16.600x004 腰椎良性肿瘤
D16.600x005 椎骨良性肿瘤
D16.700x003 锁骨良性肿瘤
D16.701 胸骨良性肿瘤
D16.702 肋骨良性肿瘤
D16.800x001 耻骨良性肿瘤
D16.800x002 髂骨良性肿瘤
D16.800x006 髋骨良性肿瘤
D16.801 盆骨良性肿瘤
D16.802 骶骨良性肿瘤
D16.803 坐骨良性肿瘤
D16.804 尾骨良性肿瘤
D16.900x001 骨良性肿瘤
D16.900x002 关节软骨良性肿瘤
D16.900x003 软骨良性肿瘤
D17.700x028 骨脂肪瘤
D18.014 骨血管瘤
D21.100x002 上肢结缔组织良性肿瘤
D21.100x003 肘部结缔组织良性肿瘤
D21.100x004 上肢端结缔组织良性肿瘤
D21.101 肩结缔组织良性肿瘤
D21.102 手结缔组织良性肿瘤
D21.200x003 膝关节滑膜良性肿瘤
D21.200x004 腘窝结缔组织良性肿瘤
D21.200x006 下肢结缔组织良性肿瘤
D21.200x007 下肢端结缔组织良性肿瘤
D21.201 髋结缔组织良性肿瘤
D21.202 足结缔组织良性肿瘤
D21.300 胸部结缔组织和其他软组织良性肿瘤
D21.300x001 胸壁结缔组织良性肿瘤
D21.300x004 胸骨后结缔组织良性肿瘤
D21.301 腋结缔组织良性肿瘤
D21.302 膈结缔组织良性肿瘤
D21.303 肩胛区结缔组织良性肿瘤
D21.400x001 腹部结缔组织良性肿瘤
D21.400x002 髂窝结缔组织良性肿瘤
D21.400x003 髂腰肌结缔组织良性肿瘤
D21.401 腰部结缔组织良性肿瘤
D21.402 腹壁结缔组织良性肿瘤
D21.403 腹腔结缔组织良性肿瘤
D21.500x001 骶部结缔组织良性肿瘤
D21.500x002 骶前结缔组织良性肿瘤
D21.500x005 盆腔结缔组织良性肿瘤
D21.501 臀部结缔组织良性肿瘤
D21.502 腹股沟结缔组织良性肿瘤
D21.503 骶尾结缔组织良性肿瘤
D21.504 坐骨直肠窝结缔组织良性肿瘤
D21.505 尿道旁结缔组织良性肿瘤
D21.507 阴道旁结缔组织良性肿瘤
D21.508 直肠阴道壁结缔组织良性肿瘤
D21.509 直肠旁结缔组织良性肿瘤
D21.600x002 躯干结缔组织良性肿瘤
D21.601 背部结缔组织良性肿瘤
D21.602 胁腹结缔组织良性肿瘤
D21.900x001 肌肉良性肿瘤
D21.900x002 结缔组织良性肿瘤
D21.900x003 结缔组织及软组织良性肿瘤
D21.900x005 粘液囊良性肿瘤
D21.900x007 筋膜良性肿瘤
D21.900x008 脂肪良性肿瘤
D21.900x009 韧带良性肿瘤
D21.900x012 滑膜良性肿瘤
D21.900x013 腱鞘良性肿瘤
D21.900x014 肢体多处结缔组织良性肿瘤
D48.113 肩结缔组织动态未定肿瘤
