包含以下主要诊断：
A18.818+I79.8* 结核性腹主动脉炎
A52.002+I79.1* 梅毒性主动脉炎
A52.003+I79.0* 梅毒性主动脉动脉瘤
E10.700x011 1 型糖尿病性多发性微血管并发症
E10.700x031 1 型糖尿病性足溃疡和周围血管病
E11.500x021+I79.2* 2 型糖尿病性周围血管病及~~坏疽
E11.501+I79.2* 2 型糖尿病性周围血管病变
E13.500x241+I79.2* 继发性糖尿病大血管病变
E13.500x541+I79.2* 青少年发病的成人型糖尿病~~大血管病变
E16.800x011 糖耐量受损伴周围血管病
E16.800x021 糖耐量受损伴周围血管病及坏疽
E16.804 自身免疫性胰岛素受体病
E85.408 淀粉样变血管损害
F01.101 常染色体显性遗传性脑动脉病
I25.300 心脏动脉瘤
I25.300x005 室间隔动脉瘤
I27.000x007 可遗传性肺动脉高压
I27.000x008 原发性轻度肺动脉高压
I27.000x009 原发性中度肺动脉高压
I27.000x010 原发性重度肺动脉高压
I27.001 特发性肺动脉高压[原发性肺动脉高压]
I27.200x002 结缔组织病相关性肺动脉高压
I27.200x003 门静脉高压性肺动脉高压
I27.200x004 甲状腺相关性肺动脉高压
I27.200x005 药物性肺动脉高压
I27.200x006 食物抑制剂相关性肺动脉高压
I27.200x009 危险因素相关性肺动脉高压
I27.200x012 肺动脉高压
I27.200x013 肺动脉高压危象
I27.200x015 轻度肺动脉高压
I27.200x016 低氧相关性肺动脉高压
I27.200x017 脾切除相关性肺动脉高压
I27.200x018 疾病相关性肺动脉高压
I27.200x019 毒物相关性肺动脉高压
I27.200x020 左心疾病相关性肺动脉高压
I27.200x021 中度肺动脉高压
I27.200x022 重度肺动脉高压
I27.201 继发性肺动脉高压
I27.202 慢性血栓栓塞性肺动脉高压症
I28.000x002 经皮肺动静脉瘘栓塞术后再通
I28.800x008 特发性肺动脉扩张
I28.801 肺动脉扩张
I28.803 后天性肺动脉狭窄
I66.205+G46.2* 大脑后动脉综合征
I70.000x003 主动脉硬化
I70.000x005 升主动脉粥样硬化
I70.000x006 主动脉弓粥样硬化
I70.000x007 胸主动脉粥样硬化
I70.000x008 胸腹主动脉粥样硬化
I70.000x009 升主动脉钙化
I70.000x010 主动脉弓钙化
I70.000x011 胸主动脉钙化
I70.000x012 腹主动脉钙化
I70.000x013 胸腹主动脉钙化
I70.001 主动脉钙化
I70.002 腹主动脉粥样硬化
I70.003 升主动脉狭窄
I70.004 髂总动脉粥样硬化
I70.010 主动脉的动脉粥样硬化伴坏疽
I70.011 主动脉钙化伴坏疽
I70.012 腹主动脉粥样硬化伴坏疽
I70.013 升主动脉狭窄伴坏疽
I70.014 髂总动脉粥样硬化伴坏疽
I70.110 肾动脉动脉粥样硬化伴坏疽
