包含以下主要手术或操作：
00.0102 颈部血管治疗性超声
00.0300 周围血管治疗性超声
00.5500x009 经皮周围动脉药物洗脱支架置入术
00.5500x011 经皮尺动脉药物洗脱支架置入术
00.5500x012 经皮腓动脉药物洗脱支架置入术
00.5500x013 经皮肱动脉药物洗脱支架置入术
00.5500x014 经皮桡动脉药物洗脱支架置入术
00.5500x017 经皮外周动脉可降解支架置入术
00.5502 股总动脉药物洗脱支架置入术
00.5800 置入动脉瘤囊内压力监测装置（手术中）
00.6000 表浅股动脉药物洗脱支架置入
04.2x00x015 经皮肾动脉去交感神经射频消融术
17.5600x001 经皮周围血管动脉粥样斑块切除术
38.0603 肾动脉取栓术
38.1604 肾动脉内膜切除术
38.2200 经皮血管镜检查
38.2300 血管内光谱分析
38.2500 经光学相干断层扫描的非冠状血管血管~~内影像[OCT]
38.2601 置入无导线的压力传感器，用于心内或大~~血管血流动力学监测
39.5000x024 肝动脉球囊扩张成形术
39.5000x027 肺动脉分支球囊扩张成形术
39.5000x029 髂总动脉球囊扩张成形术
39.5000x030 髂外动脉球囊扩张成形术
39.5000x031 下肢动脉球囊扩张成形术
39.5000x032 动静脉造瘘后球囊扩张(用于肾透析)
39.5001 锁骨下动脉球囊血管成形术
39.5002 肾动脉球囊血管成形术
39.5004 股动脉球囊血管成形术
39.5005 髂动脉球囊血管成形术
39.5008 无名动脉球囊血管成形术
39.5009 腘动脉球囊血管成形术
39.5011 胫动脉球囊血管成形术
39.5013 桡动脉球囊血管成形术
39.5014 腋动脉球囊血管成形术
39.5015 腓动脉球囊血管成形术
39.5016 肱动脉球囊血管成形术
39.5300x005 颈动静脉瘘栓塞术
39.5300x007 上肢动静脉瘘栓塞术
39.5300x009 下肢动静脉瘘栓塞术
39.5300x010 下肢动静脉瘘电凝术
39.5300x014 躯干动静脉瘘栓塞术
39.5301 动静脉瘘栓塞术
39.5900x026 烟囱技术髂内动脉重建术
39.5900x027 烟囱技术肾动脉重建术
39.5900x028 烟囱技术颈总动脉重建术
39.5900x029 烟囱技术锁骨下动脉重建术
39.5900x033 肺动脉干修补术
39.5900x034 肺动脉闭锁修补术
39.7200x004 颈内动脉栓塞术
39.7200x005 颈动脉栓塞术
39.7202 颈部血管内修补或闭合术
39.7203 经导管颅内动脉瘤栓塞术
39.7209 经导管颅内血管栓塞术
39.7400x002 经皮颅内动脉取栓术
39.7400x004 经皮颈动脉取栓术
39.7604 经导管颈部血管生物活性弹簧圈栓塞术
39.7900x007 髂动脉瘤覆膜支架置入术
39.7900x009 甲状腺动脉栓塞术
39.7900x011 肺动脉栓塞术
39.7900x013 锁骨下动脉栓塞术
39.7900x017 结肠动脉栓塞术
39.7900x019 髂动脉栓塞术
39.7900x020 肾动脉栓塞术
