包含以下主要诊断：
A18.200x002 颌下淋巴结结核
A18.200x005 颏下淋巴结结核
A18.201 头颈部结核性淋巴结炎
A18.205 颈淋巴结结核
A18.400x018 外耳道结核
A18.400x019 中耳结核
A36.000 咽白喉
A36.000x002 扁桃体白喉
A36.000x004 白喉性悬雍垂麻痹
A36.100 鼻咽白喉
A52.700x003+J99.8* 鼻梅毒
A52.700x004+J99.8* 鼻窦梅毒
A66.501+J99.8* 毁形性鼻咽炎
B02.800 带状疱疹伴有其他并发症
B02.801+H62.1* 外耳带状疱疹
B36.902+H62.2* 耳真菌病
B36.903+H62.2* 真菌性外耳道炎
B37.200x005+H62.2* 念珠菌性外耳炎
B44.200x001+J99.8* 扁桃体曲霉菌病
B44.800x001 上颌窦曲霉菌病
B44.800x004+H62.2* 外耳道曲霉菌病
B44.800x006 中耳曲霉菌病
B44.800x007 喉曲霉菌病
B44.804 鼻窦曲霉菌病
B48.100 鼻孢子菌病
B49.x05 真菌性鼻窦炎
B49.x06 真菌性额窦炎
B49.x07 真菌性筛窦炎
B49.x08 真菌性蝶窦炎
B49.x09 真菌性上颌窦炎
B49.x10 鼻真菌病
D37.002 口腔动态未定肿瘤
D37.004 咽动态未定肿瘤
D37.006 腭动态未定肿瘤
D37.008 舌根动态未定肿瘤
D37.010 腮腺动态未定肿瘤
D37.012 扁桃体动态未定肿瘤
D37.014 大涎腺动态未定肿瘤
D37.016 小涎腺动态未定肿瘤
D37.018 杓状会厌褶动态未定肿瘤
D38.002 会厌动态未定肿瘤
D38.501 鼻腔动态未定肿瘤
D38.503 鼻旁窦动态未定肿瘤
D38.505 鼻软骨动态未定肿瘤
D38.507 中耳动态未定肿瘤
D48.518 鼻皮肤动态未定肿瘤
D48.519 耳皮肤动态未定肿瘤
D48.701 头颈部动态未定肿瘤
D86.802 眼色素层腮腺炎
E85.410 淀粉样变胸膜损害
G47.300 睡眠呼吸暂停
G47.300x001 睡眠呼吸暂停低通气综合征
G47.300x031 睡眠低通气综合征
G47.300x033 混合性睡眠呼吸暂停低通气综合征
G47.300x035 中枢性低通气综合征
G47.300x036 中枢性睡眠呼吸暂停低通气综合征
G47.300x037 阻塞性睡眠呼吸暂停低通气综合征
G47.301 阻塞性睡眠呼吸暂停综合征
G47.302 中枢性睡眠呼吸暂停综合征
G47.303 混合性睡眠呼吸暂停综合征
G47.304 上气道阻力综合征
H60.000 外耳脓肿
H60.000x002 外耳道脓肿
H60.000x004 耳廓痈
H60.000x005 耳廓疖
H60.001 外耳疖
H60.002 外耳痈
H60.100 外耳蜂窝织炎
H60.100x001 外耳道蜂窝织炎
H60.100x002 耳廓蜂窝织炎
H60.200 恶性外耳炎
H60.300 感染性外耳炎，其他的
H60.300x002 耳廓感染
H60.300x003 耳廓瘘感染
H60.300x005 弥漫性外耳道炎
H60.300x006 外耳继发性感染
H60.301 出血性外耳炎
H60.302 弥漫性外耳炎
H60.303 游泳者耳病
H60.400 外耳胆脂瘤
H60.400x004 外耳道胆脂瘤
H60.401 外耳肉芽肿
H60.500x006 急性接触性外耳炎
H60.500x007 急性反应性外耳炎
H60.501 外耳湿疹
H60.502 急性光化性外耳炎
H60.503 急性化学性外耳炎
H60.801 慢性外耳炎
H60.900 外耳炎
H60.901 外耳道炎
H61.000 外耳软骨膜炎
H61.001 慢性结节性耳轮软骨皮炎
H61.103 耳廓假性囊肿
H61.105 耳廓肿物
H61.200 耵聍栓塞
H61.805 外耳道坏死
H68.100 咽鼓管阻塞
H68.100x003 咽鼓管受压
H68.101 咽鼓管狭窄
H69.000 咽鼓管开放症
H69.800 咽鼓管其他特指的疾患
H69.900 咽鼓管疾患
H74.201 听骨链中断
H74.300 听骨其他后天性异常
H74.300x003 听骨部分丧失
H74.300x004 听骨关节强硬
H74.400 中耳息肉
H74.900 中耳和乳突疾患
H80.000x001 非闭塞性耳硬化累及前庭窗
H80.000x002 非闭塞性镫骨耳硬化
H80.100x001 闭塞性耳硬化累及前庭窗
H80.100x002 闭塞性镫骨耳硬化
H80.200 耳蜗性耳硬化症
H80.800x001 其他耳硬化
H80.900 耳硬化
H92.000 耳痛
H92.100 耳漏
H92.100x001 耳流脓
H92.200 耳出血
H93.300 听神经疾患
H93.301 听神经炎
H93.800x001 耳廓血肿机化
H95.000x001 胆脂瘤术后复发
H95.101 乳突切除术后空腔肉芽形成
H95.102 乳突切除术后空腔感染
H95.800 耳和乳突的其他操作后疾患
H95.900 耳和乳突的操作后疾患操作后并发症
H95.900x001 鼓室成形术后操作后疾患
H95.900x002 乳突根治术后操作后疾患
I77.001 头面部动静脉瘘
I77.003 耳廓动静脉瘘
I86.000 舌下静脉曲张
I88.101 慢性颈淋巴结炎
I88.102 慢性颌下淋巴结炎
I88.103 慢性颏下淋巴结炎
I88.104 慢性腮腺淋巴结炎
I88.900x004 颌下淋巴结炎
I88.900x007 腮腺肉芽肿性淋巴结炎
I89.000x014 头面部淋巴水肿
J04.200 急性喉气管炎
J06.000x002 过敏性咽喉炎
J06.800x001 急性咽气管炎
J30.200 季节性变应性鼻炎，其他的
J32.006 隐匿性鼻窦综合征
J33.100 鼻窦息肉样退行性变
J34.000x004 鼻坏死
J34.001 鼻部脓肿
J34.002 鼻疖
J34.003 鼻溃疡
J34.004 鼻痈
J34.005 鼻中隔坏死
J34.006 鼻中隔溃疡
J34.007 鼻中隔脓肿
J34.008 鼻蜂窝织炎
J34.300 鼻甲肥大
