包含以下主要诊断：
A18.600 耳结核
A18.601+H67.0* 结核性中耳炎
B05.300+H67.1* 麻疹并发中耳炎
B08.500 肠病毒性水疱性咽炎
B08.501 疱疹性咽峡炎
B08.802 肠病毒性淋巴结咽炎
H65.000x002 急性分泌性中耳炎
H65.101 蓝鼓膜综合征
H65.102 急性变应性中耳炎
H65.200 慢性浆液性中耳炎
H65.300 慢性黏液样中耳炎
H65.300x001 慢性分泌性中耳炎
H65.400 慢性非化脓性中耳炎，其他的
H65.400x001 其他的慢性非化脓性中耳炎
H65.900 非化脓性中耳炎
H65.900x001 分泌性中耳炎
H65.901 浆液性中耳炎
H66.000 急性化脓性中耳炎
H66.001 岩尖综合征
H66.101 慢性鼓室化脓性中耳炎
H66.102 良性慢性化脓性中耳炎
H66.200 慢性鼓窦隐窝化脓性中耳炎
H66.301 慢性化脓性中耳炎
H66.400 化脓性中耳炎
H66.900 中耳炎
H66.900x002 急性中耳炎
H66.900x003 慢性中耳炎
H68.000 咽鼓管炎
H70.000 急性乳突炎
H70.000x007 乳突脓肿
H70.000x009 急性乳突积脓
H70.001 耳后脓肿
H70.002 急性化脓性乳突炎
H70.003 颈部贝佐尔德脓肿
H70.004 乳突囊肿
H70.100 慢性乳突炎
H70.101 耳后瘘管
H70.102 乳突骨疽
H70.103 乳突瘘
H70.200 岩锥炎
H70.201 岩锥脓肿
H70.800 乳突炎和有关情况,其他的
H70.800x001 岩尖病变
H70.800x002 颞部感染
H70.900 乳突炎
H71.x00 中耳胆脂瘤
H71.x01 慢性化脓性中耳炎胆脂瘤型
H71.x02 中耳肉芽肿
H71.x03 鼓室胆脂瘤
H71.x04 乳突胆脂瘤
H71.x05 颞骨胆脂瘤
H72.000 鼓膜中心穿孔
H72.001 鼓膜紧张部穿孔
H72.100 鼓膜鼓室上隐窝穿孔
H72.101 鼓膜松弛部穿孔
H72.200 鼓膜其他边缘性穿孔
H72.800 鼓膜的其他穿孔
H72.900 鼓膜穿孔
H73.000 急性鼓膜炎
H73.001 大疱性鼓膜炎
H73.100 慢性鼓膜炎
H73.101 慢性鼓室炎
