包含以下主要诊断：
A01.000x008 伤寒并发腹膜炎
A01.000x009 伤寒并发肠穿孔
A01.000x010 伤寒并发肠出血
A01.000x011 伤寒并发中毒性肝炎
A01.000x012 伤寒并发支气管炎
A01.000x014 伤寒并发胆囊炎
A02.000 沙门菌肠炎
A02.000x005 婴儿沙门菌肠炎
A02.000x006 C 群沙门菌肠炎
A02.000x007 B 群沙门菌肠炎
A02.000x009 沙门菌小肠炎
A02.000x010 猪霍乱沙门菌肠炎
A02.001 阿哥拉沙门菌肠炎
A02.002 沙门菌伦敦血清型肠炎
A02.003 沙门菌胃肠炎
A02.004 鼠伤寒沙门菌肠炎
A02.900x003 沙门菌属食物中毒
A06.000 急性阿米巴痢疾
A06.000x001 阿米巴肠炎
A06.001 阿米巴结肠炎
A06.002 阿米巴痢疾
A06.100 慢性肠阿米巴病
A06.100x002 阿米巴肠溃疡
A06.200 阿米巴非痢疾性结肠炎
A06.200x001 非痢疾性阿米巴结肠炎
A06.300 肠道阿米巴瘤
A06.300x001 阿米巴肉芽肿
A06.700 皮肤阿米巴病
A06.800x001 阿米巴膀胱炎
A06.800x002 阿米巴阑尾炎
A06.800x003 阿米巴精囊炎
A06.900 阿米巴病
A18.100x021+N37.8* 结核性会阴瘘
A18.100x022+N37.8* 结核性尿道瘘
A18.100x025+N29.1* 结核性肾盂炎
A18.100x031 男性盆腔结核
A18.101 泌尿系统结核
A18.103+N29.1* 肾结核
A18.104+N29.1* 结核性肾脓肿
A18.105+N29.1* 结核性肾盂积水
A18.106+N29.1* 输尿管结核
A18.107+N29.1* 结核性输尿管狭窄
A18.108+N33.0* 膀胱结核
A18.200x006 淋巴结结核
A18.200x010 周围淋巴结结核
A18.206 锁骨上淋巴结结核
A18.207 腋下淋巴结结核
A18.208 食管旁淋巴结结核
A18.209 闭孔淋巴结结核
A18.210 腹股沟淋巴结结核
A18.211 结核性淋巴管炎
A18.212 全身多发淋巴结结核
A18.700+E35.1* 肾上腺结核
A18.700x002+E35.1* 结核性艾迪生病
A18.801+E35.8* 垂体结核
A18.806+E35.0* 甲状腺结核
A18.813+D77* 脾结核
A20.100 蜂窝织皮下型鼠疫
A20.101 皮肤型鼠疫
A20.200 肺鼠疫
A20.300 脑膜炎型鼠疫
A20.800x004 肠鼠疫
A20.800x005 眼鼠疫
A21.100 眼腺型土拉菌病
A21.300 胃肠土拉菌病
A21.300x002 咽腺型土拉菌病
A21.301 腹部土拉菌病
A22.000 皮肤炭疽
A22.200 胃肠炭疽
A22.200x001 肠炭疽
A23.900x003 布氏杆菌性葡萄膜炎
A23.900x006 布氏杆菌多发性神经根神经病
A23.903+N16.0* 布氏菌病肾小管-间质病变
A24.100x003 类鼻疽肺炎
A26.000 皮肤类丹毒
A27.900x004 钩端螺旋体病肺出血型
A27.900x005 钩端螺旋体病肾衰竭型
A27.900x006 钩端螺旋体病脑膜脑炎型
A28.100 猫抓病
A30.100x003 麻风性穿孔性足溃疡
A30.900x005 神经性麻风
A30.900x008 麻风性神经病
A31.000 肺分枝杆菌感染
A31.000x001 肺非结核分枝杆菌病
A31.000x004 堪萨斯分枝杆菌感染
A31.000x005 胞内分枝杆菌感染
A31.001 肺非典型分枝杆菌病
A31.002 鸟-胞内复合分枝杆菌感染
A31.100 皮肤分枝杆菌感染
A31.100x002 溃疡分枝杆菌感染
A31.101 伯鲁里溃疡
A31.102 海分枝杆菌感染
A31.800x007 脓肿分枝杆菌感染
A31.802 足分枝杆菌病
A32.000 皮肤利斯特菌病
A32.803 眼腺利斯特菌病
A36.800x005+N33.8* 白喉性膀胱炎
A36.804+N16.0* 白喉性肾小管-间质病变
A42.000 肺放线菌病
A42.100 腹放线菌病
A42.200 颈面部放线菌病
A42.200x002 颌骨放线菌病
A42.800x002 放线菌皮肤感染
A42.801 涎腺放线菌病
A42.802 乳腺放线菌病
A42.803 肝放线菌病
A42.804 盆腔放线菌病
A42.805 阴道放线菌病
A43.100 皮肤诺卡菌病
A43.801 脑诺卡菌病
A43.802 肾诺卡菌病
A44.000 全身性巴尔通体病
A44.100 皮肤和黏膜皮肤的巴尔通体病
A48.000 气性坏疽
A48.100 军团病
A48.100x001 嗜肺军团菌肺炎
A48.100x003 军团菌性脑炎
A48.200 非肺炎性军团病[庞蒂亚克热]
A48.300 中毒性休克综合征
A48.801 鼻硬结病
A50.000 有症状的早期先天性梅毒
A50.100 潜伏性早期先天性梅毒
A50.200 早期先天性梅毒
A50.400 晚期先天性神经梅毒[青少年神经梅毒]
A50.400x001 晚期先天性神经梅毒[幼年型神经梅毒]
A50.401 幼年型麻痹性痴呆
A50.500 有症状的其他晚期先天性梅毒
A50.500x001 先天性梅毒牙
A50.600 潜伏性晚期先天性梅毒
A50.700 晚期先天性梅毒
A50.900 先天性梅毒
A51.000 初期生殖器梅毒
A51.000x002 梅毒性下疳
A51.001 阴茎下疳
A51.002 一期梅毒
A51.100x001 肛门梅毒
A51.200 初期梅毒，其他部位的
A51.201 唇下疳
A51.300x002 二期早发梅毒疹
A51.300x003 二期晚发梅毒疹
A51.300x004 二期复发梅毒疹
A51.300x005 二期梅毒湿疣
A51.301 皮肤二期梅毒
A51.302 黏膜二期梅毒
A51.303 皮肤梅毒
A51.304 外阴扁平湿疣
A51.400x001 二期梅毒
A51.400x010 二期梅毒性淋巴结炎
A51.500 潜伏性早期梅毒
A51.900 早期梅毒
A52.100 有症状性神经梅毒
A52.100x011 梅毒性痉挛性截瘫
A52.101 脊髓痨
A52.200 无症状性神经梅毒
A52.300 神经梅毒
A52.700x001 梅毒瘤
A52.700x012+N08.0* 梅毒性肾炎
A52.709+N08.0* 梅毒性肾小球病变
A52.800 潜伏性晚期梅毒
A52.801 潜伏性三期梅毒
A52.900 晚期梅毒
A53.000x001 隐性梅毒
A53.000x002 梅毒血清反应阳性
A53.900 梅毒
A54.001 淋球菌性膀胱炎
A54.002 淋球菌性尿道炎
A54.100x002 淋球菌性尿道脓肿
A54.500 淋球菌性咽炎
A54.600x001 淋球菌性直肠炎
A54.601 直肠淋球菌感染
A54.602 肛门淋球菌感染
A54.809 淋球菌性皮肤病
A54.900 淋球菌感染
A54.900x001 淋病
A54.900x002 慢性淋球菌感染
A55.x00 衣原体（性病性）淋巴肉芽肿
A56.000x003 衣原体性尿道炎
A56.001 衣原体性膀胱炎
A56.200 泌尿生殖道的衣原体感染
A56.300x001 衣原体性直肠炎
A56.301 直肠衣原体感染
A56.302 肛门衣原体感染
A56.400 咽的衣原体感染
A56.800 衣原体感染，其他部位的性传播的
A57.x00x002 外阴软下疳
A57.x00x003 阴茎软下疳
A58.x00 腹股沟肉芽肿
A58.x01 溃疡性腹股沟肉芽肿
A59.000 泌尿生殖系滴虫病
