包含以下主要诊断：
S20.000 乳房挫伤
S20.101 乳房浅表损伤
S20.200 胸部挫伤
S20.200x003 胸骨前区挫伤
S20.201 胸壁挫伤
S20.202 肩胛间区挫伤
S20.300x001 胸前壁浅表损伤
S20.301 胸部皮肤擦伤
S20.400x001 胸后壁浅表损伤
S20.700 胸部多处浅表损伤
S20.800x002 胸前缘域浅表损伤
S20.801 胸壁浅表损伤
S20.802 胸部浅表损伤
S20.803 胸壁擦伤
S21.000 乳房开放性伤口
S30.000x001 背部挫伤
S30.000x003 腰部挫伤
S30.000x004 骶骨区挫伤
S30.001 腰背部挫伤
S30.002 骶尾部挫伤
S30.003 臀部挫伤
S30.100 腹壁挫伤
S30.100x001 腹部挫伤
S30.100x002 胁腹挫伤
S30.100x004 髂区挫伤
S30.100x007 髂窝血肿
S30.101 创伤性髂部血肿
S30.104 腹股沟挫伤
S30.200x005 会阴挫伤
S30.200x006 外阴挫伤
S30.700 腹部、下背和骨盆多处浅表损伤
S30.800x001 臀部浅表损伤
S30.800x002 腹上部浅表损伤
S30.800x003 外生殖器浅表损伤
S30.800x004 胁腹浅表损伤
S30.801 腹壁浅表异物
S30.900x001 腹部浅表损伤
S30.900x002 下背浅表损伤
S30.900x003 骨盆浅表损伤
S31.001 创伤性会阴裂伤
S31.002 腰背部皮肤撕脱伤
S39.910 腰部软组织损伤
S39.911 腹壁软组织损伤
S40.000x001 肩部挫伤
S40.000x002 肩胛区挫伤
S40.000x003 腋窝区挫伤
S40.001 上臂挫伤
S40.700 肩和上臂多处浅表损伤
S40.701 肩臂多处挫伤
S40.800x011 肩部擦伤
S40.800x012 上臂擦伤
S40.800x021 肩部水泡
S40.800x022 上臂水泡
S40.800x031 肩部虫咬伤
S40.800x032 上臂虫咬伤
S40.800x041 肩部浅表异物
S40.800x042 上臂浅表异物
S40.900 肩和上臂的浅表损伤
S50.000 肘挫伤
S50.101 前臂挫伤
S50.700 前臂的多处浅表损伤
S50.701 前臂多处擦伤
S50.800x011 前臂擦伤
S50.800x021 前臂水泡
S50.800x031 前臂虫咬伤
S50.800x041 前臂浅表异物
S50.800x081 肘关节浅表损伤
S50.900 前臂浅表损伤
S50.901 肘浅表损伤
S60.000x001 手指挫伤
S60.100x001 手指挫伤伴指甲损伤
S60.201 腕部挫伤
S60.202 手挫伤
S60.700 腕和手多处浅表损伤
S60.701 手多发浅表损伤
S60.800x011 腕和手擦伤
S60.800x012 腕部擦伤
S60.800x021 腕和手水泡
S60.800x022 手部水泡
