包含以下主要诊断：
B69.002+G94.8* 囊虫病癫痫
G40.000 局部相关性（局灶性）（部分）特发性癫痫和伴有局限性发作的癫痫综合征
G40.001 儿童良性癫痫伴中央颞区棘波
G40.002 常染色体显性遗传夜间额叶癫痫
G40.003 偏侧抽搐偏瘫综合征
G40.004 早发性良性儿童枕叶癫痫
G40.005 迟发性儿童枕叶癫痫
G40.100 局部相关性（局灶性）（部分）症状性癫痫和伴有简单部分发作的癫痫综合征
G40.100x001 癫痫部分性发作
G40.100x002 癫 痫 单 纯 部 分 性 运 动 性 发 作 伴Jackson 发作
G40.100x003 癫痫单纯部分性感觉性发作
G40.100x004 癫痫单纯部分性运动性发作
G40.100x005 癫痫单纯部分性感觉性发作伴视觉症状
G40.100x006 癫痫单纯部分性发作继发全面发作
G40.100x007 额叶癫痫
G40.100x008 顶叶癫痫
G40.100x009 局灶性癫痫半侧阵挛性发作
G40.100x010 癫痫单纯部分性发作
G40.100x011 单纯部分性癫痫自主神经性发作
G40.100x012 简单部分性癫痫伴听觉症状
G40.101 家族性局灶性癫痫
G40.102 新皮质癫痫
G40.103 症状性局灶性癫痫
G40.200 局部相关性（局灶性）（部分）症状性癫痫和伴有复杂部分发作的癫痫综合征
G40.200x001 癫痫单纯部分性发作伴精神症状性发作
G40.200x002 颞叶性癫痫
G40.200x003 枕叶性癫痫
G40.200x004 癫痫复杂部分性发作继发全面发作
G40.200x005 下丘脑（痴笑性）癫痫
G40.200x006 癫痫复杂部分性发作
G40.200x010 家族性颞叶癫痫
G40.200x011 癫痫复杂部分性发作伴意识障碍和自动症
G40.200x013 癫痫复杂部分性发作伴意识障碍和运动症状
G40.201 边缘叶癫痫
G40.202 伴海马硬化颞叶内侧癫痫
G40.203 颞叶内侧癫痫
G40.204 边缘性癫痫持续状态
G40.300 全身性特发性癫痫和癫痫综合征
G40.300x001 发作性肌阵挛
G40.300x002 混合型癫痫
G40.300x003 癫痫全面性发作肌阵挛发作
G40.300x004 翁韦里希特-伦德伯格病[波罗的海肌阵挛][青少年肌阵挛癫痫]
G40.300x006 癫痫全面性发作强直性发作
G40.300x007 仅全面性强直-阵挛发作的癫痫
G40.300x008 全身性非惊厥性癫痫
G40.300x009 全身性惊厥性疾病
G40.300x010 癫痫全面性发作阵挛性发作
G40.300x012 新生儿睡眠肌阵挛
G40.300x013 儿童良性癫痫
