包含以下主要手术或操作：
38.0000 血管切开术
38.0200x002 颈动脉探查术
38.0200x003 颈内静脉血栓切除术
38.0200x004 颈动脉切开异物去除术
38.0201 颈动脉取栓术
38.0202 颈静脉取栓术
38.0300x003 上肢血管切开探查术
38.0300x005 上肢动脉探查术
38.0301 上肢静脉取栓术
38.0302 上肢动脉取栓术
38.0500x003 无名静脉取栓术
38.0500x004 锁骨下动脉切开探查术
38.0501 锁骨下动脉取栓术
38.0502 上腔静脉取栓术
38.0600x002 腹腔动脉切开探查术
38.0600x003 肝动脉取栓术
38.0601 肠系膜动脉取栓术
38.0602 髂动脉取栓术
38.0603 肾动脉取栓术
38.0700x001 肠系膜上静脉血栓切除术
38.0700x003 门静脉探查术
38.0700x004 肝静脉取栓术
38.0701 髂静脉取栓术
38.0702 下腔静脉取栓术
38.0703 肾静脉取栓术
38.0704 门静脉取栓术
38.0705 肠系膜静脉取栓术
38.0800x002 下肢动脉血栓切除术
38.0800x003 下肢动脉探查术
38.0800x004 下肢人工血管取栓术
38.0800x005 下肢动脉切开异物去除术
38.0801 股动脉取栓术
38.0802 腘动脉取栓术
38.0900x001 下肢静脉血栓切除术
38.0900x002 下肢静脉探查术
38.0901 股静脉取栓术
38.0902 腘静脉取栓术
38.1000x002 动脉内膜剥脱术
38.1200x003 颈动脉内膜剥脱术
38.1201 颈动脉内膜切除术
38.1202 颈动脉内膜切除伴补片修补术
38.1300 上肢血管内膜切除术
38.1600x002 髂动脉内膜剥除术
38.1600x005 髂动脉内膜剥脱伴补片修补术
38.1601 肾动脉内膜切除伴补片修补术
38.1602 髂动脉内膜切除术
38.1603 髂动脉内膜切除伴补片修补术
38.1604 肾动脉内膜切除术
38.1800x001 股动脉内膜剥脱术
38.1800x002 股动脉内膜剥脱伴血栓切除术
38.1800x003 腘动脉内膜剥脱伴补片修补术
38.1800x004 腘动脉内膜剥脱术
38.1800x005 下肢动脉内膜剥脱伴血栓切除术
38.1800x006 胫腓动脉内膜剥脱伴补片修补术
38.1800x007 股动脉内膜剥脱伴补片修补术
38.1801 股动脉内膜切除术
38.1802 股动脉内膜切除伴补片修补术
38.1803 腘动脉内膜切除术
38.1804 腘动脉内膜切除伴补片修补术
38.3000 血管部分切除术伴吻合术
38.3000x001 动脉瘤切除伴吻合术
38.3200x002 颈内动脉瘤切除伴吻合术
38.3200x003 颈静脉部分切除伴吻合术
38.3201 颈动脉动脉瘤切除伴吻合术
38.3202 颈动脉部分切除伴吻合术
38.3300 上肢血管部分切除伴吻合术
38.3301 上肢动脉动脉瘤切除伴吻合术
38.3500x003 锁骨下动脉部分切除伴吻合术
38.3500x004 肺静脉部分切除伴吻合术
38.3700 腹静脉部分切除术伴吻合术
38.3700x001 门静脉部分切除伴吻合术
38.3700x002 肠系膜静脉部分切除伴吻合术
38.3700x004 髂静脉部分切除伴吻合术
38.3700x005 脾静脉部分切除伴吻合术
38.3701 肾静脉部分切除伴吻合术
38.3800 下肢动脉部分切除术伴吻合术
38.3900 下肢静脉部分切除术伴吻合术
38.4000 血管部分切除术伴置换术
38.4200x001 颈动脉部分切除伴颈总-颈内动脉人工血管搭桥术
38.4200x002 颈总动脉切除伴自体血管移植术
38.4200x003 颈动脉部分切除伴颈总-颈内动脉自体血管搭桥术
38.4201 颈动脉部分切除伴置换术
38.4202 椎动脉瘤切除伴置换术
38.4203 颈动脉动脉瘤切除伴置换术
38.4300x001 肱动脉瘤切除伴自体血管移植术
38.4300x002 桡动脉部分切除伴桡尺动脉自体血管移植术
38.4300x003 腋动脉部分切除伴自体血管置换术
38.4300x004 腋静脉部分切除伴自体血管置换术
38.4300x005 腋静脉部分切除伴人工血管置换术
38.4300x006 肱动脉部分切除伴人工血管置换术
38.4300x007 桡动脉部分切除伴人工血管置换术
38.4300x008 桡动脉部分切除伴自体血管置换术
38.4301 桡动脉部分切除伴置换术
38.4302 肱动脉部分切除伴置换术
38.4303 腋静脉部分切除伴置换术
38.4304 尺动脉部分切除伴自体血管置换术
38.4500x002 锁骨下动脉瘤切除伴人工血管置换术
