包含以下主要诊断：
I28.800x003 肺小静脉炎
I28.802 肺静脉狭窄
I28.804 肺静脉闭塞症
I77.000x008 子宫旁动静脉瘘
I80.001 下肢浅表静脉炎
I80.002 下肢化脓性浅表血栓静脉炎
I80.100x003 髂股静脉炎
I80.101 股静脉炎
I80.102 股静脉血栓性静脉炎
I80.103 髂股静脉血栓形成
I80.104 股静脉血栓形成
I80.201 下肢深静脉血栓性静脉炎
I80.202 下肢深静脉炎
I80.203 髂内静脉血栓形成
I80.204 髂外静脉血栓形成
I80.206 髂静脉血栓形成
I80.207 下肢深静脉血栓形成
I80.208 下肢深静脉栓塞
I80.209 手术后下肢深静脉血栓形成
I80.300x005 下肢静脉闭塞
I80.300x006 下肢静脉肌间血栓形成
I80.301 下肢静脉炎
I80.302 下肢血栓性静脉炎
I80.303 下肢静脉血栓形成
I80.800 静脉炎和血栓性静脉炎，其他部位的
I80.800x002 胸壁血栓性静脉炎[蒙道尔病]
I80.800x006 腹壁静脉炎
I80.800x007 肾静脉周围炎
I80.802 乳腺血栓性静脉炎
I80.803 上肢静脉炎
I80.804 上肢血栓性静脉炎
I80.901 静脉炎
I80.902 血栓性静脉炎
I82.100x001 游走性血栓性静脉炎
I82.200x001 腔静脉栓塞
I82.201 腔静脉瘤栓
I82.202 上腔静脉血栓形成
I82.203 下腔静脉血栓形成
I82.204 下腔静脉栓塞
I82.300x001 肾静脉栓塞
I82.301 肾静脉血栓形成
I82.302 肾静脉瘤栓
I82.800x002 脾静脉栓塞
I82.800x003 髂静脉栓塞
I82.800x004 髂内静脉栓塞
I82.800x005 髂外静脉栓塞
I82.800x009 腋静脉栓塞
I82.801 颈内静脉血栓形成
I82.802 颈静脉血栓形成
I82.803 锁骨下静脉血栓形成
I82.804 腋静脉血栓形成
I82.805 上肢深静脉血栓形成
I82.806 上肢静脉血栓形成
I82.900x001 静脉栓塞
I82.900x002 静脉血栓形成
I82.900x003 非化脓性血栓形成
I82.900x004 静脉血栓栓塞症
I83.000 下肢静脉曲张伴有溃疡
I83.001 大隐静脉曲张伴有溃疡
I83.100x001 下肢静脉曲张性皮炎
I83.101 下肢静脉曲张伴静脉炎
