包含以下主要手术或操作：
17.1100x001 腹腔镜下单侧腹股沟直疝无张力修补术
17.1200x001 腹腔镜下单侧腹股沟斜疝无张力修补术
17.1300x001 腹腔镜下经腹膜前腹股沟疝补片修补术（TAPP）
17.1300x002 腹腔镜下全腹膜外腹股沟疝补片修补术（TEP）
17.2100x001 腹腔镜下双侧腹股沟直疝无张力修补术
17.2200x001 腹腔镜下双侧腹股沟斜疝无张力修补术
17.2300x001 腹腔镜下双侧腹股沟疝无张力修补术,一侧直疝一侧斜疝
17.2400x001 腹腔镜下双侧腹股沟疝无张力修补术
17.3100 腹腔镜多段大肠切除术
17.3101 腹腔镜直肠乙状结肠部分切除术
17.3200 腹腔镜盲肠切除术
17.3200x001 腹腔镜下盲肠部分切除术
17.3300 腹腔镜右半结肠切除术
17.3300x002 腹腔镜下升结肠部分切除术
17.3400 腹腔镜横结肠切除术
17.3401 腹腔镜横结肠部分切除术
17.3500 腹腔镜左半结肠切除术
17.3500x001 腹腔镜下降结肠部分切除术
17.3600 腹腔镜乙状结肠切除术
17.3600x001 腹腔镜下乙状结肠部分切除术
17.3900x002 腹腔镜下结肠部分切除术
17.3900x003 腹腔镜下小肠-结肠切除术
17.3901 腹腔镜巨结肠切除术
39.2401 腹主动脉-肾动脉搭桥术
41.2x01 脾切开探查术
41.4200x002 脾病损切除术
41.4200x003 经皮脾病损射频消融术
41.4300 部分脾切除术
41.5x00 全脾切除术
41.5x01 腹腔镜全脾切除术
41.9501 脾修补术
43.0x00x003 胃切开探查术
43.0x02 胃切开异物取出术
43.1900x003 永久性胃造口术
43.1900x005 暂时性胃造口术
43.5x00x003 贲门部分切除伴食管-胃吻合术
43.5x00x007 胃近端切除伴食管-胃吻合术
43.6x00x005 胃幽门切除术伴胃-十二指肠吻合术
43.6x00x006 胃远端切除术伴胃-十二指肠吻合术
43.6x01 胃大部切除伴胃十二指肠吻合术
43.6x02 腹腔镜胃大部切除伴胃十二指肠吻合术
43.7x00x001 胃 大 部 切 除 伴 胃 - 空 肠 吻 合 术[Billroth Ⅱ式手术]
43.7x03 腹腔镜胃大部切除伴胃空肠吻合术
43.8100 胃部分切除术伴空肠移位术
