包含以下主要手术或操作：
00.0300 周围血管治疗性超声
00.5601 植入型压力传感器与导线的置入，用于心内或大血管血液动力学监测
00.6200x005 经皮大脑中动脉球囊扩张成形术
00.6201 经皮基底动脉球囊扩张成形术
00.6202 经皮交通动脉血管球囊扩张成形术
00.6600x004 经皮冠状动脉球囊扩张成形术
00.7000x001 全髋关节假体翻修术
00.8000x001 全膝关节假体翻修术
00.8100x001 膝关节胫骨假体翻修术
00.8500x001 全髋关节表面置换术
00.8600x001 股骨头表面置换术
00.8700x001 髋臼表面置换术
01.0900x002 脑室穿刺术
01.0900x004 硬脑膜下腔穿刺抽吸术
01.0900x007 立体定向颅内血肿穿刺引流术
01.0900x008 脑脓肿穿刺引流术
01.0900x009 脑室钻孔引流术
01.0901 颅内穿刺引流术
01.1000x001 颅压监护探极置入术
01.1500 颅骨活组织检查
01.1800x002 神经内镜检查术
01.2400x005 开颅探查术
01.2400x013 硬脑膜外血肿清除术
01.2401 颅后窝血肿清除术
01.2402 颅骨切开引流术
01.2403 延髓前方减压术
01.2404 环枕减压术
01.2405 硬膜外脓肿清除术
01.2406 神经内镜下环枕减压术
01.2407 颅骨钻孔探查术
01.2408 颅内血肿清除术
01.2409 颅骨钻孔引流术
01.2410 颞肌下减压术
01.2411 颅骨切开减压术
01.2413 颅骨去骨瓣减压术
01.2414 颅骨钻孔减压术
01.2415 颅骨切开异物取出术
01.2500x003 颅骨清创术
01.2503 颅骨部分切除术
01.2504 颅骨死骨切除术
01.3101 脑膜切开伴蛛网膜下腔血肿引流术
01.3104 脑膜切开伴硬脑膜下腔血肿清除术
01.3105 硬脑膜下切开引流术
01.3107 脑膜切开引流术
01.3108 硬脑膜下钻孔引流术
01.3206 颅内立体定向双侧扣带回毁损术
01.3900x009 脑内血肿清除术
01.3902 脑室切开引流术
01.3904 经颞叶脑血肿清除术
01.3905 脑立体定向血肿碎吸术
01.3907 脑切开异物取出术
01.5301 脑叶次全切除术
01.5303 颞叶切除术
01.5901 脑病损切除术
01.5902 鞍区病损切除术
01.5903 侧脑室病损切除术
01.5909 额叶病损切除术
01.5911 经额脑病损切除术
01.5913 颞叶病损切除术
01.5915 经颞脑病损切除术
01.5925 脑清创术
01.6x00 颅骨病损的切除术
02.0202 颅骨骨折清创术
02.0203 颅骨骨折复位术
02.0300x001 颅骨骨瓣修补术
02.0501 颅骨钛板置换术
02.0502 颅骨钛板置入术
02.0503 颅骨钛网置入术
02.0504 颅骨金属板置入术
02.0505 颅骨金属板置换术
02.0600x003 颅骨修补术
02.0700 颅骨(金属)板去除
02.1100x001 硬脑膜缝合术
02.1203 脑脊液漏修补术
02.1204 脑脊液鼻漏修补术
02.1205 脑脊液耳漏修补术
02.1206 脑脊液切口漏修补术
02.1208 内镜下脑脊液鼻漏修补术
02.1209 硬脑膜补片修补术
02.2101 脑室外引流[EVD]装置置入术
02.2102 脑室外引流[EVD]装置置换术
02.3400x002 脑室-腹腔分流术
02.3901 脑室骨髓分流术
02.4102 脑室分流管探查术
02.4202 脑室分流管修正术
02.4302 脑室 Ommaya 泵去除术
02.9301 颅内神经刺激器植入术
02.9302 颅内神经刺激器置换术
02.9303 脑深部电极置入术
02.9304 丘脑底核电极刺激器置入术
03.0100x001 椎管内异物去除术
03.0200 椎板切除术部位再切开
03.0900x003 颈椎后路单开门椎管减压术
03.0900x004 颈椎后路双开门椎管减压术
03.0900x005 颈椎前路椎管减压术
03.0900x006 腰椎椎板切除减压术
03.0900x007 胸椎椎板切除减压术
03.0900x010 椎管减压术
03.0900x016 椎间孔切开术
03.0901 椎管探查术
03.0904 椎间孔减压术
03.0909 椎管扩大成形术，单开门
03.0910 椎管扩大成形术，双开门
03.0911 椎板切开减压术
03.0912 椎板切除减压术
03.3100x001 腰大池引流术
03.4x00x002 脊髓病损栓塞术
03.4x03 脊髓病损切除术
03.5300x001 脊椎骨折复位术
03.5301 脊椎骨折切开复位内固定术
03.5302 颈椎骨折切开复位内固定术
03.5304 胸椎骨折切开复位内固定术
03.5305 腰椎骨折切开复位内固定术
03.5900x005 硬脊膜修补术
03.5902 脊髓纵裂修补术
03.5903 脊膜修补术
03.7100 脊髓蛛网膜下-腹腔分流术
03.7101 脊髓空洞腹腔引流术
03.9000x001 连续硬膜外阻滞术
03.9200x001 椎管内注射封闭
03.9202 脊髓鞘内注射
04.0304 周围神经切断术
04.0305 指神经切断术
04.0306 趾神经切断术
04.0400x029 胸背神经探查术
04.0401 面神经解剖术
04.0402 颅神经探查术
04.0404 面神经探查术
04.0405 喉返神经探查术
04.0408 周围神经探查术
04.0410 臂丛神经探查术
04.0413 膈神经探查术
04.0414 坐骨神经探查术
04.0415 腋神经探查术
04.0416 肌皮神经探查术
04.0418 正中神经探查术
04.0419 尺神经探查术
04.0420 桡神经探查术
04.0421 指神经探查术
04.0422 肋间神经探查术
04.0423 股神经探查术
04.0424 胫神经探查术
04.0425 腓总神经探查术
04.0426 足底神经探查术
04.0710 面神经病损切除术
04.2x00x017 内囊前肢毁损术
04.2x01 颅神经破坏术
04.3x00x012 臂丛神经上、中、下干缝合术
04.3x00x017 腓肠神经吻合术
04.3x00x019 下颌神经吻合术
04.3x00x020 隐神经吻合术
04.3x00x023 马尾神经缝合术
04.3x00x024 皮神经缝合术
04.3x00x026 腓总神经吻合术
04.3x01 颅神经缝合术
04.3x02 面神经缝合术
04.3x03 迷走神经缝合术
04.3x05 周围神经缝合术
04.3x06 臂丛神经缝合术
04.3x09 肌皮神经缝合术
04.3x10 正中神经缝合术
04.3x11 尺神经缝合术
04.3x12 桡神经缝合术
04.3x13 指神经缝合术
04.3x14 闭孔神经缝合术
04.3x15 坐骨神经缝合术
04.3x16 股神经缝合术
04.3x17 胫神经缝合术
04.3x18 腓神经缝合术
04.4203 面神经减压术
04.4208 舌咽神经减压术
04.4213 副神经减压术
04.4300 腕管松解术
04.4900x042 周围神经松解术
04.4901 臂丛神经松解术
04.4902 舌神经根松解术
04.4903 神经根管松解术
04.4905 骶神经松解术
04.4906 马尾神经松解术
04.4907 正中神经松解术
04.4908 尺神经松解术
04.4909 桡神经松解术
04.4910 指神经松解术
04.4911 坐骨神经松解术
04.4913 股神经松解术
04.4915 腓总神经松解术
04.4916 腓神经松解术
04.4917 足神经松解术
04.4919 趾间神经松解术
04.5x02 臂丛神经移植术
04.5x03 正中神经移植术
04.5x06 指神经移植术
04.5x10 腓肠神经移植术
04.6x00x014 尺神经前移术
04.6x00x019 正中神经部分神经束移位术
04.6x05 健侧颈 7 神经移位术
04.6x08 正中神经移位术
04.6x10 尺神经移位术
04.6x11 指神经移位术
04.7401 颅神经吻合术
04.7402 面神经吻合术
04.7403 面神经膈神经吻合术
04.7404 舌下神经吻合术
04.7405 牙槽神经吻合术
04.7406 迷走神经吻合术
04.7407 周围神经吻合术
04.7408 指神经吻合术
04.7409 尺神经吻合术
04.7410 桡神经吻合术
04.7411 臂丛神经吻合术
04.7412 正中神经吻合术
04.7413 肌皮神经吻合术
04.7414 闭孔神经吻合术
04.7415 坐骨神经吻合术
04.7416 股神经吻合术
04.7417 胫神经吻合术
04.7418 腓神经吻合术
04.7500x003 正中神经调整术
04.7501 颅神经修复术
04.7502 周围神经修复术
04.7503 正中神经修复术
04.7601 尺神经延迟修补术
04.7603 皮神经延迟修补术
05.0x00x001 交感神经切断术
05.2300x006 经皮腹腔神经丛射频消融术
06.0200x001 甲状腺术后切开探查术
06.0201 甲状腺术后止血术
06.0900x004 颈部探查术
06.0901 甲状腺切开探查术
06.3905 甲状腺峡部切除术
06.3906 甲状腺峡部部分切除术
06.7x00x003 甲状舌管瘘闭合术
06.7x01 甲状舌管病损切除术
06.7x02 甲状舌管瘘切除术
07.6100x003 经额垂体漏斗部切除术
07.7200x002 经蝶骨垂体探查术
07.8000 胸腺切除术
07.8001 胸腔镜下胸腺切除术
07.8100 胸腺部分切除术
07.8100x009 CT 引导下胸腺病损射频消融术
07.8201 胸腺扩大切除术
07.8300 胸腔镜下胸腺部分切除术
07.8300x002 胸腔镜下胸腺病损切除术
07.8400 胸腔镜下胸腺全部切除术
07.8401 胸腔镜下胸腺扩大切除术
07.9100 胸腺区探查术
07.9200x001 胸腺切开探查术
07.9300 胸腺修补术
07.9400 胸腺移植术
07.9500 胸腔镜下胸腺切开术
07.9800 胸腺其他和未特指的胸腔镜手术
07.9901 胸腺固定术
08.2000x006 眼睑病损切除术
08.2000x009 眼睑皮肤和皮下坏死组织切除清创术
08.2000x010 眼睑皮肤和皮下组织非切除性清创
08.2001 眉部病损切除术
08.2100 睑板腺囊肿切除术
08.2100x004 睑板腺脓肿切开引流术
08.2200x003 眼睑小病损切除术
08.2201 睑板腺病损切除术
08.2300x001 眼睑病损板层切除术
08.2400x001 眼睑病损全层切除术
08.2500 眼睑病损破坏术
08.3101 上睑下垂额肌瓣悬吊术
08.3200x001 上睑下垂缝线悬吊术
08.3200x002 上睑下垂异体组织额肌悬吊术
08.3600x002 上睑下垂眼轮匝肌悬吊术
08.4102 睑内翻热灼修补术
08.4202 睑内翻缝合修补术
08.4203 睑轮匝肌缩短睑内翻修补术
08.4301 睑外翻楔形切除修补术
08.4401 睑内翻矫正伴睑重建术
08.4402 睑外翻矫正伴睑重建术
08.4901 睑外翻矫正术
08.4902 睑内翻矫正术
08.5101 睑裂增大术
08.5200 睑缝合术
08.5200x002 睑缘缝合术
08.5200x003 眦缝合术
08.5900x001 眦移位矫正术
08.5900x004 内眦成形术
08.5900x005 外眦成形术
08.5900x007 眦韧带修复术
08.5901 内眦赘皮修补术
08.6100x002 眼睑全厚植皮术
08.6100x003 眼睑中厚植皮术
08.6100x004 游离皮瓣移植眼睑重建术
08.6102 眼睑皮片移植重建术
08.6201 黏膜瓣移植眼睑重建术
08.7100x001 眼睑非全层伴睑缘重建术
08.7200x001 眼睑板层重建术
08.7300x001 眼睑全层伴睑缘重建术
08.7400x001 眼睑全层重建术
08.8101 眼睑裂伤缝合术
08.8102 眉裂伤缝合术
08.8200x001 眼睑非全层的眼睑裂伤及修补术
08.8300x001 眼睑非全层裂伤修补术
08.8400x001 眼睑全层及睑缘裂伤修补术
08.8500x001 眼睑全层裂伤修补术
08.8900x005 重建眉修整术
08.8903 眉修补术
09.2200x001 泪腺部分切除术
09.2300 全部泪腺切除术
09.4100 泪点探通术
09.4402 鼻泪管激光探通插管术
09.4404 人工泪管置入术
09.4405 泪小管穿线插管术
09.4900x002 鼻内镜下人工泪管取出术
09.5200 泪小管切开术
09.6x00x006 泪小管病损切除术
09.6x01 泪囊切除术
09.7100 泪点外翻矫正术
09.7300x001 泪小管成形术
09.7300x004 泪道重建术
09.7301 泪小管吻合术
09.8100x004 鼻内镜下鼻腔泪囊造口术
09.8101 内镜下鼻-泪管吻合术
09.8200 结膜泪囊鼻腔吻合术
09.8301 结膜-鼻腔吻合插管术
