包含以下主要诊断：
A15.000x001 肺结核（显微镜检证实）
A15.000x002 肺结核（仅痰涂片证实）
A15.000x003 肺结核（痰涂片及培养均证实）
A15.000x010 继发性肺结核（初治,单耐药）涂阳培阳
A15.000x012 继发性肺结核（初治,多耐药）涂阳培阳
A15.000x014 继发性肺结核（初治,广泛耐药）涂阳培阳
A15.000x016 继发性肺结核（初治,耐多药）涂阳培阳
A15.000x018 继发性肺结核（初治,药物敏感）涂阳培阳
A15.000x020 继发性肺结核（复治,单耐药）涂阳培阳
A15.000x022 继发性肺结核（复治,多耐药）涂阳培阳
A15.000x024 继发性肺结核（复治,广泛耐药）涂阳培阳
A15.000x026 继发性肺结核（复治,耐多药）涂阳培阳
A15.000x028 继发性肺结核（复治,药物敏感）涂阳培阳
A15.001 肺结核瘤，痰镜检（+）
A15.002 肺干酪性结核，痰镜检（+）
A15.003 结核性肺纤维变性，痰镜检（+）
A15.004 结核性肺炎，痰镜检（+）
A15.005 结核性气胸，痰镜检（+）
A15.006 结核性支气管扩张，痰镜检（+）
A15.007 空洞型肺结核，痰镜检（+）
A15.100x001 肺结核（仅痰培养证实）
A15.100x002 继发性肺结核（初治,单耐药）涂阴培阳
A15.100x003 继发性肺结核（初治,多耐药）涂阴培阳
A15.100x004 继发性肺结核（初治,广泛耐药）涂阴培阳
A15.100x005 继发性肺结核（初治,耐多药）涂阴培阳
A15.100x006 继发性肺结核（初治,药物敏感）涂阴培阳
A15.100x007 继发性肺结核（复治,单耐药）涂阴培阳
A15.100x008 继发性肺结核（复治,多耐药）涂阴培阳
A15.100x009 继发性肺结核（复治,广泛耐药）涂阴培阳
A15.100x010 继发性肺结核（复治,耐多药）涂阴培阳
A15.100x011 继发性肺结核（复治,药物敏感）涂阴培阳
A15.101 肺结核瘤，痰培养（+）
A15.102 肺干酪性结核，痰培养（+）
A15.103 结核性肺纤维变性，痰培养（+）
A15.104 结核性肺炎，痰培养（+）
A15.105 结核性气胸，痰培养（+）
A15.106 结核性支气管扩张，痰培养（+）
A15.107 空洞型肺结核，痰培养（+）
A15.200x001 肺结核（组织学证实）
A15.200x002 结核性损毁肺（组织学+）
A15.201 肺结核瘤，病理（+）
A15.202 肺干酪性结核，病理（+）
A15.203 结核性肺纤维变性，病理（+）
A15.204 结核性肺炎，病理（+）
A15.205 结核性气胸，病理（+）
A15.206 结核性支气管扩张，病理（+）
A15.207 空洞型肺结核，病理（+）
A15.300x001 肺结核（分子诊断证实）
A15.301 肺结核瘤经证实（+）
A15.302 肺干酪性结核经证实（+）
A15.303 结核性肺纤维变性经证实（+）
A15.304 结核性肺炎经证实（+）
A15.305 结核性气胸经证实（+）
A15.306 结核性支气管扩张经证实（+）
