主诊表
包含以下主要诊断：
F04.x00x001 脑器质性创伤后遗忘
F04.x00x901 器质性遗忘综合征
F05.000 谵妄，描述为并非附加于痴呆的
F05.000x001 药物中毒性意识障碍（包括谵妄状态）
F05.001 老年性谵妄
F05.100 谵妄，附加于痴呆的
F05.101 老年痴呆性谵妄
F05.801 癫痫性意识障碍
F05.802 手术后谵妄
F05.900 谵妄
F05.901 感染性精神病
F05.902 急性脑病综合征
F06.000 器质性幻觉症
F06.100 器质性紧张性障碍
F06.200 器质性妄想性［精神分裂症样］障碍
F06.300 器质性心境［情感］障碍
F06.300x002 器质性躁狂障碍
F06.300x010 器质性双相障碍
F06.300x020 器质性抑郁障碍
F06.300x021 卒中后抑郁
F06.300x030 器质性混合型情感障碍
F06.301 癫痫性情感障碍
F06.302 颅脑外伤性情感障碍
F06.400 器质性焦虑障碍
F06.400x003 卒中后焦虑
F06.500 器质性分离性障碍
F06.600 器质性情绪不稳定［衰弱］障碍
F06.700 轻度认知障碍
F06.800 脑损害和功能障碍及躯体疾病引起的其他特指的精神障碍
F06.800x002 胆道感染所致精神障碍
F06.800x003 胆道术后精神障碍
F06.800x004 低血糖所致精神障碍
F06.800x005 肺结核所致精神障碍
F06.800x006 肺气肿所致精神障碍
F06.800x007 肺炎所致精神障碍
F06.800x008 肝硬化所致精神障碍
F06.800x009 感冒所致精神障碍
F06.800x010 高热所致精神障碍
F06.800x011 高血压所致精神障碍
F06.800x012 过敏性紫癜所致精神障碍
F06.800x013 甲状腺功能亢进所致精神障碍
F06.800x014 疟疾所致精神障碍
F06.800x015 肾炎所致精神障碍
F06.800x016 细菌性痢疾所致精神障碍
F06.800x017 心脏病所致精神障碍
F06.800x018 营养不良所致精神障碍
F06.800x019 有害气体中毒后精神障碍
F06.800x020 中暑伴发精神障碍
F06.800x021 系统性红斑狼疮所致的精神障碍
F06.800x023 甲状腺功能减退所致精神障碍
F06.800x024 一氧化碳中毒所致精神障碍
F06.800x025 肠伤寒所致精神障碍
F06.800x026 血管性认知功能障碍
F06.800x027 认知障碍
F06.800x032 血液病所致精神障碍
F06.800x033 染色体异常所致精神障碍
F06.800x034 物理因素所致精神障碍
F06.800x037 肝脑病变所致精神障碍
F06.800x038 心脏病（心力衰竭）所致精神障碍
F06.800x039 肺脑综合征所致精神障碍
F06.800x040 尿毒症所致精神障碍
F06.800x041 内分泌疾病所致精神障碍
F06.800x042 甲低所致精神障碍
F06.800x043 脑下垂体疾病所致精神障碍
F06.800x044 Sheeham 病所致精神障碍
F06.800x045 Addison 氏病所致精神障碍
F06.800x046 肾上腺功能亢进所致精神障碍
F06.800x047 营养代谢疾病所致精神障碍
F06.800x048 糖尿病所致精神障碍
F06.800x049 胶原性疾病所致精神障碍
F06.800x050 Behcet 氏病所致精神障碍
F06.801 癫痫性精神病
F06.802 颅脑外伤性精神病
F06.803 颅内感染所致精神障碍
F06.804 病毒性脑炎所致精神障碍
F06.805 脑瘤所致精神障碍
F06.806 肝豆核变性症所致精神障碍
F06.807 多发性硬化症所致精神障碍
F06.808 躯体疾病所致精神障碍
F06.809 脑血管病所致精神障碍
F06.810 卒中后精神病态
F06.811 脑炎后精神障碍
F06.900 脑损害和功能障碍及躯体疾病引起的精神障碍
F07.000 器质性人格障碍
F07.001 额叶综合征
F07.100 脑炎后综合征
F07.200 脑震荡后综合征
F07.201 脑外伤后综合征
F07.800x001 一氧化碳中毒致人格和行为障碍
F07.800x002 脑血管病所致的人格和行为障碍
F07.800x003 脑外伤所致的人格和行为障碍
F07.900 脑部疾病、损害和功能障碍引起的器质性人格和行为障碍
F07.900x001 器质性精神综合征
F07.901 癫痫性人格改变
F09.x00x003 器质性精神病
F09.x00x004 症状性精神病
F09.x01 症状性精神障碍
F09.x02 一氧化碳所致精神障碍
F09.x03 器质性精神障碍
F20.000 偏执型精神分裂症
F20.100 青春型精神分裂症
F20.200 紧张型精神分裂症
F20.200x002 紧张性木僵
F20.201 紧张症综合征
F20.300 未分化型精神分裂症
F20.301 非典型精神分裂症
F20.400 精神分裂症后抑郁
F20.500 残留型精神分裂症
F20.501 慢性精神分裂症
F20.600 单纯型精神分裂症
F20.800x001 难治性精神分裂症
F20.800x002 精神分裂症衰退期
F20.800x003 精神分裂症缓解期
F20.801 体感异常性精神分裂症
F20.802 晚发性精神分裂症
F20.803 强迫型精神分裂症
F20.900 精神分裂症
F21.x00 分裂型障碍
F22.000 妄想性障碍
F22.001 偏执性精神病
F22.002 妄想狂
F22.003 偏执状态
F22.800 持久的妄想性障碍，其他的
F22.800x001 更年期偏执状态
F22.900 持久妄想性障碍
F23.000 不伴有精神分裂症症状的急性多形性精神病性障碍
F23.001 妄想阵发,急性妄想发作
F23.002 周期性精神病
F23.100 伴有精神分裂症症状的急性多形性精神病性障碍
F23.200 急性精神分裂症样精神病性障碍
F23.200x003 急性精神分裂样精神病性障碍,不伴急性应激反应
F23.200x011 急性精神分裂样精神病性障碍,伴有急性应激反应
F23.300x001 偏执性反应
F23.300x002 心因性偏执性精神障碍
F23.300x003 以妄想为主的急性精神病性障碍
F23.301 急性偏执性反应状态
F23.800 急性而短暂的精神病性障碍，其他的
F23.900 急性而短暂的精神病性障碍
F23.901 反应性精神病
F23.902 旅途精神病
F23.903 急性反应性木僵状态
F24.x00 感应性妄想性障碍
F25.000 分裂情感性障碍，躁狂型
F25.000x001 分裂情感性障碍躁狂发作
F25.100 分裂情感性障碍，抑郁型
F25.100x001 分裂情感性障碍抑郁发作
F25.200 分裂情感性障碍，混合型
F25.200x001 周期性精神病性障碍
F25.200x002 分裂情感性障碍混合发作
F25.800 分裂情感性障碍，其他的
F25.900 分裂情感性障碍
F28.x00x002 更年期精神病
F28.x00x011 违拗状态
F28.x00x012 木僵状态
F28.x01 幻觉症
F28.x02 幻觉妄想状态
F29.x00 非器质性精神病
F30.000 轻躁狂
F30.100 不伴有精神病性症状的躁狂
F30.100x001 不伴有精神病性症状的躁狂发作
F30.200 伴有精神病性症状的躁狂
F30.200x001 伴有精神病性症状的躁狂发作
F30.200x002 躁狂性木僵
F30.201 谵妄性躁狂症
F30.800x002 兴奋状态
F30.900 躁狂发作
F30.901 兴奋躁动状态
F31.000 双相情感障碍，目前为轻躁狂发作
F31.100 双相情感障碍，目前为不伴有精神病性症状的躁狂发作
F31.200 双相情感障碍，目前为伴有精神病性症状的躁狂发作
F31.300x002 双相情感障碍,目前为轻度抑郁发作
F31.300x003 双相情感障碍,目前为不伴有躯体症状的轻度抑郁发作
F31.300x005 双相情感障碍,目前为不伴有躯体症状的中度抑郁发作
F31.300x011 双相情感障碍,目前为伴有躯体症状的轻度抑郁发作
F31.300x012 双相情感障碍,目前为伴有躯体症状的中度抑郁发作
F31.301 双相情感障碍，目前为中度抑郁发作
F31.400 双相情感障碍，目前为不伴有精神病性症状的重度抑郁发作
F31.500 双相情感障碍，目前为伴有精神病性症状的重度抑郁发作
F31.600 双相情感障碍，目前为混合性发作
F31.700 双相情感障碍，目前为缓解状态
F31.800x001 复发性躁狂发作
F31.800x002 双相情感障碍 2 型
F31.800x003 难治性双相情感障碍
F31.801 慢性躁狂症
F31.802 双相情感障碍,快速循环型
F31.803 非典型双相情感障碍
F31.900 双相情感障碍
F31.901 双相情感障碍Ⅰ型
F31.902 躁郁症
F32.000x002 不伴有躯体症状的轻度抑郁发作
F32.000x011 伴有躯体症状的轻度抑郁发作
F32.100x002 不伴有躯体症状的中度抑郁发作
