主诊表
包含以下主要诊断：
T20.000 头和颈的烧伤
T20.000x002 头部烧伤
T20.000x003 颈部烧伤
T20.000x004 头皮烧伤
T20.000x006 鼻部烧伤
T20.000x007 颞部烧伤
T20.000x008 唇部烧伤
T20.002 耳烧伤
T20.003 面部烧伤
T20.100 头和颈一度烧伤
T20.100x002 头部一度烧伤
T20.100x003 颈部一度烧伤
T20.100x004 头皮一度烧伤
T20.100x005 面部一度烧伤
T20.100x006 鼻部一度烧伤
T20.100x007 颞部一度烧伤
T20.100x008 唇部一度烧伤
T20.100x009 耳部一度烧伤
T20.200 头和颈二度烧伤
T20.200x002 头部二度烧伤
T20.200x003 颈部二度烧伤
T20.200x004 头皮二度烧伤
T20.200x006 鼻部二度烧伤
T20.200x007 颞部二度烧伤
T20.200x008 唇部二度烧伤
T20.200x009 耳部二度烧伤
T20.201 面部二度烧伤
T20.300 头和颈三度烧伤
T20.300x002 头部三度烧伤
T20.300x003 颈部三度烧伤
T20.300x004 头皮三度烧伤
T20.300x005 面部三度烧伤
T20.300x006 鼻部三度烧伤
T20.300x007 颞部三度烧伤
T20.300x008 唇部三度烧伤
T20.300x009 耳部三度烧伤
T20.400 头和颈腐蚀伤
T20.400x002 头部腐蚀伤
T20.400x003 颈部腐蚀伤
T20.400x004 头皮腐蚀伤
T20.400x005 面部腐蚀伤
T20.400x006 鼻部腐蚀伤
T20.400x007 颞部腐蚀伤
T20.400x008 唇部腐蚀伤
T20.400x009 耳部腐蚀伤
T20.401 耳化学性烧伤
T20.500 头和颈一度腐蚀伤
T20.500x002 头部一度腐蚀伤
T20.500x003 颈部一度腐蚀伤
T20.500x004 头皮一度腐蚀伤
T20.500x005 面部一度腐蚀伤
T20.500x006 鼻部一度腐蚀伤
T20.500x007 颞部一度腐蚀伤
T20.500x008 唇部一度腐蚀伤
T20.500x009 耳部一度腐蚀伤
T20.600 头和颈二度腐蚀伤
T20.600x002 头部二度腐蚀伤
T20.600x003 颈部二度腐蚀伤
T20.600x004 头皮二度腐蚀伤
T20.600x005 面部二度腐蚀伤
T20.600x006 鼻部二度腐蚀伤
T20.600x007 颞部二度腐蚀伤
T20.600x008 唇部二度腐蚀伤
T20.600x009 耳部二度腐蚀伤
T20.700 头和颈三度腐蚀伤
T20.700x002 头部三度腐蚀伤
T20.700x003 颈部三度腐蚀伤
T20.700x004 头皮三度腐蚀伤
T20.700x005 面部三度腐蚀伤
T20.700x006 鼻部三度腐蚀伤
T20.700x007 颞部三度腐蚀伤
T20.700x008 唇部三度腐蚀伤
T20.700x009 耳部三度腐蚀伤
T21.000 躯干烧伤
T21.000x011 乳房烧伤
T21.000x021 胸壁烧伤
T21.000x031 腹壁烧伤
T21.000x032 胁腹烧伤
T21.000x033 腹股沟烧伤
T21.000x041 臀部烧伤
T21.000x042 背部烧伤
T21.000x043 肩胛间区烧伤
T21.000x051 大阴唇烧伤
