主诊表
包含以下主要诊断：
A01.001+K77.0* 伤寒性肝炎
A06.400+K77.0* 阿米巴肝脓肿
A18.301 肝门淋巴结结核
A18.814+K77.0* 肝结核
A18.815+K87.0* 胆管结核
A18.816+K87.0* 胆囊结核
A18.817+K87.1* 胰腺结核
A50.000x002+K77.0* 早期先天性梅毒性肝炎
A51.400x008+K77.0* 二期梅毒性肝炎
A52.700x007+K77.0* 梅毒性肝病
A52.705+K77.0* 梅毒性肝硬化
B00.802+K77.0* 疱疹病毒性肝炎
B00.803+K77.0* EB 病毒性肝炎
B05.800x003+K77.0* 麻疹并发肝炎
B15.000 甲型肝炎，伴有肝昏迷
B15.001 急性甲型病毒性肝炎伴肝昏迷
B15.002 急性重型甲型病毒性肝炎伴肝昏迷
B15.003 亚急性重型甲型病毒性肝炎伴肝昏迷
B15.900 甲型肝炎，不伴有肝昏迷
B15.901 急性甲型病毒性肝炎
B15.902 急性黄疸型甲型病毒性肝炎
B15.903 急性淤胆型甲型病毒性肝炎
B15.905 急性无黄疸型甲型病毒性肝炎
B16.000 急性乙型肝炎，伴有δ因子（共同感染），并伴有肝昏迷
B16.000x001 病毒性肝炎乙型丁型亚急性重型
B16.001 急性乙型丁型病毒性肝炎伴肝昏迷
B16.100 急性乙型肝炎，伴有δ因子（共同感染），但不伴有肝昏迷
B16.100x002 病毒性肝炎乙型丁型急性黄疸型
B16.100x003 病毒性肝炎乙型丁型急性无黄疸型
B16.100x004 病毒性肝炎乙型丁型淤胆型
B16.101 急性乙型丁型病毒性肝炎，不伴有肝昏迷
B16.200 急性乙型肝炎，不伴有δ因子（共同感染），但伴有肝昏迷
B16.201 急性乙型病毒性肝炎伴肝昏迷
B16.202 亚急性重型乙型病毒性肝炎伴肝昏迷
B16.203 急性重型乙型病毒性肝炎伴肝昏迷
B16.204 急性无黄疸型乙型肝炎伴肝昏迷
B16.901 急性黄疸型乙型病毒性肝炎
B16.902 急性淤胆型乙型病毒性肝炎
B16.903 输血后乙型病毒性肝炎
B16.904 急性乙型病毒性肝炎
B16.905 急性无黄疸型乙型病毒性肝炎
