包含以下主要诊断：
C26.100 脾恶性肿瘤
C78.805 脾继发恶性肿瘤
D13.901 脾良性肿瘤
D17.700x031 骨髓脂肪瘤
D18.000x044 脾血管瘤
D18.100x002 腹膜后淋巴管瘤
D18.100x003 海绵状淋巴管瘤
D18.100x006 淋巴管瘤
D18.100x017 阴囊淋巴管瘤
D18.100x018 会阴淋巴管瘤
D18.100x019 腹股沟淋巴管瘤
D18.100x023 脾淋巴管瘤
D18.100x024 下肢淋巴管瘤
D18.103 躯干淋巴管瘤
D18.104 肢体淋巴管瘤
D18.107 盆腔淋巴管瘤
D21.900x015 木村病
D36.000 淋巴结良性肿瘤
D37.700x005 脾交界性肿瘤
D37.703 脾动态未定肿瘤
D37.704 脾肿瘤
D46.000 难治性贫血不伴有环形铁粒幼细胞，如此~~述及的
D46.000x002 骨髓再生不良性贫血
D46.000x003 再生不良性贫血
D47.700x008 儿童 Castleman 病
D47.700x009 局限性 Castleman 病
D47.700x010 多中心性 Castleman 病
D47.700x011 血管滤泡性淋巴细胞增生病
D48.906+D63.0* 肿瘤性贫血
D50.000 继发于(慢性)失血的缺铁性贫血
D50.001 慢性失血性贫血
D50.100 缺铁性吞咽困难
D50.101 普卢默-文森综合征
D50.102 凯利-佩特森综合征
D50.800x001 正细胞低色素性贫血
D50.801 小细胞低色素性贫血
D50.900 缺铁性贫血
D50.901 低色素性贫血
D51.000 内在因子缺乏引起的维生素 B12 缺乏性贫~~血
D51.001 恶性贫血
D51.002 亨特舌炎
D51.003+G32.0* 内在因子缺乏引起维生素B12缺乏~~性贫血性脊髓后侧索硬化
D51.100 选择性维生素 B12 吸收不良伴有蛋白尿引~~起的维生素 B12 缺乏性贫血
D51.101 巨幼细胞遗传性贫血
D51.102 伊梅斯隆德综合征
D51.200 转钴胺素Ⅱ缺乏
D51.200x001 转钴胺素Ⅱ缺乏性贫血
D51.300 饮食性维生素 B12 缺乏性贫血，其他的
D51.301 绝对素食者贫血
D51.302+G32.0* 饮食性维生素B12缺乏性贫血性脊~~髓后侧索硬化
D51.800 维生素 B12 缺乏性贫血，其他的
D51.900 维生素 B12 缺乏性贫血
D52.000x001 营养性大细胞性贫血
D52.000x003 饮食性叶酸缺乏性贫血
D52.001 营养性巨幼细胞性贫血
D52.100 药物性叶酸盐缺乏性贫血
D52.800 叶酸缺乏性贫血，其他的
D52.900x001 叶酸缺乏性贫血
D53.000 蛋白缺乏性贫血
D53.001 乳清酸尿性贫血
D53.002 氨基酸缺乏性贫血
D53.100 巨幼细胞性贫血，其他的，不可归类在他~~处者
D53.200 维生素 C 缺乏性贫血
D53.801 缺铜性贫血
D53.802 缺锌性贫血
D53.803 缺钼性贫血
D53.804 维生素 D 缺乏性贫血
D53.900 营养性贫血
D53.901 慢性单纯性贫血
D55.000 葡萄糖 6-磷酸脱氢酶[G6PD]缺乏性贫血
D55.001 蚕豆病
D55.100x001 谷胱甘肽代谢紊乱性贫血
D55.100x003 已糖磷酸盐酶缺乏性贫血
D55.101 遗传性非球形细胞性溶血性贫血Ⅰ型
D55.200 糖酵解酶代谢紊乱性贫血
D55.201 遗传性非球形细胞性溶血性贫血Ⅱ型
D55.202 己糖激酶缺乏性贫血
D55.203 磷酸丙糖异构酶缺乏性贫血
D55.204 丙酮酸激酶缺乏性贫血
D55.300 核苷酸代谢紊乱性贫血
D55.800 酶代谢紊乱性贫血，其他的
D55.900 酶代谢紊乱性贫血
D56.000 α型地中海贫血
D56.100 β型地中海贫血
D56.100x001 库利贫血
D56.100x003 重型β型地中海贫血
D56.101 中间型地中海贫血
D56.102 重型地中海贫血
D56.200 δ-β型地中海贫血
D56.300 地中海贫血特性
D56.301 (β型)地中海贫血轻型
D56.400 遗传性胎儿血红蛋白持续增多症[HPFH]
D56.800 地中海贫血，其他的
D56.900 地中海贫血
D56.901 混合型地中海贫血
D57.000x001 镰状细胞性贫血伴危象
D57.001 血红蛋白-SS 病伴危象
D57.100 镰状细胞性贫血不伴有危象
D57.100x003 镰状细胞疾病
D57.200 双杂合镰状细胞形成疾患
D57.200x001 双杂合镰状细胞β型地中海贫血
D57.201 血红蛋白-SC 病
D57.202 血红蛋白-SD 病
D57.203 血红蛋白-SE 病
D57.204 镰状细胞地中海贫血
D57.300 镰状细胞特性
D57.301 杂合血红蛋白 S 病
D57.302 血红蛋白 S 病
D57.800 镰状细胞疾患，其他的
D58.000 遗传性球形红细胞增多症
D58.000x001 先天性球形红细胞血性黄疸
D58.000x003 家族性无胆色素尿性黄疸
D58.001 先天性溶血性贫血
D58.002 明科夫斯基-消法尔综合征
D58.003 无胆色素尿性黄疸
D58.100 遗传性椭圆形红细胞增多症
D58.100x002 先天性椭圆形红细胞增多症
D58.100x004 遗传性卵形红细胞症
D58.101 先天性卵形红细胞症
D58.200x002 异常的血红蛋白
D58.200x004 血红蛋白病
D58.200x006 不稳定血红蛋白溶血病
D58.201 血红蛋白-C 病
D58.202 血红蛋白-D 病
D58.203 血红蛋白-E 病
D58.204 先天性海因茨小体性贫血
D58.205 血红蛋白增高
D58.206 不稳定血红蛋白病
D58.800 遗传性溶血性贫血，其他特指的
D58.800x001 口形红细胞增多
D58.801 遗传性口形红细胞增多
D58.900 遗传性溶血性贫血
D58.901 溶血性贫血
D59.000 药物性自身免疫性溶血性贫血
D59.100x002 慢性冷性血细胞凝集素病
D59.100x005 冷凝集素性血红蛋白尿
D59.101 自身免疫性溶血性贫血
D59.102 冷抗体型自身免疫性溶血性贫血
D59.103 温抗体型自身免疫性溶血性贫血
D59.104 继发性冷性溶血性贫血
D59.105 冷凝集素病
D59.200 药物性非自身免疫性溶血性贫血
D59.201 药物性酶缺乏性贫血
D59.300x001 溶血-尿毒综合征
D59.301 非典型溶血性尿毒症
D59.400x001 非自身免疫性溶血性贫血
D59.400x002 感染性溶血性贫血
D59.401 继发性溶血性贫血
D59.402 传染性溶血性贫血
D59.403 微血管病性溶血性贫血
D59.404 机械性溶血性贫血
D59.500 阵发性夜间血红蛋白尿［马尔基亚法瓦- 米凯利］
D59.500x001 阵发性睡眠性血红蛋白尿
