包含以下主要诊断：
A01.000 伤寒
A01.000x004 伤寒复发
A01.000x006 伤寒迁延型
A01.000x007 伤寒逍遥型
A01.000x008 伤寒并发腹膜炎
A01.000x009 伤寒并发肠穿孔
A01.000x010 伤寒并发肠出血
A01.000x011 伤寒并发中毒性肝炎
A01.000x012 伤寒并发支气管炎
A01.000x014 伤寒并发胆囊炎
A01.000x017 伤寒轻型
A01.000x018 伤寒普通型
A01.000x019 伤寒暴发型
A01.000x020 伤寒再燃
A01.003 伤寒杆菌性脓毒症
A01.100 副伤寒甲
A01.200 副伤寒乙
A01.300 副伤寒丙
A01.400 副伤寒
A02.000 沙门菌肠炎
A02.000x005 婴儿沙门菌肠炎
A02.000x006 C 群沙门菌肠炎
A02.000x007 B 群沙门菌肠炎
A02.000x009 沙门菌小肠炎
A02.000x010 猪霍乱沙门菌肠炎
A02.001 阿哥拉沙门菌肠炎
A02.002 沙门菌伦敦血清型肠炎
A02.003 沙门菌胃肠炎
A02.004 鼠伤寒沙门菌肠炎
A02.100 沙门菌脓毒症
A02.100x002 鼠伤寒沙门菌脓毒症
A02.101 猪霍乱沙门菌脓毒症
A02.800 沙门菌感染，其他特指的
A02.900x002 鼠伤寒沙门菌感染
A02.900x003 沙门菌属食物中毒
A02.900x004 亚利桑那菌感染
A02.901 猪霍乱沙门菌感染
A06.000 急性阿米巴痢疾
A06.000x001 阿米巴肠炎
A06.001 阿米巴结肠炎
A06.002 阿米巴痢疾
A06.100 慢性肠阿米巴病
A06.100x002 阿米巴肠溃疡
A06.200 阿米巴非痢疾性结肠炎
A06.200x001 非痢疾性阿米巴结肠炎
A06.300 肠道阿米巴瘤
A06.300x001 阿米巴肉芽肿
A06.700 皮肤阿米巴病
A06.800x001 阿米巴膀胱炎
A06.800x002 阿米巴阑尾炎
A06.800x003 阿米巴精囊炎
A06.900 阿米巴病
A18.100x021+N37.8* 结核性会阴瘘
A18.100x022+N37.8* 结核性尿道瘘
A18.100x025+N29.1* 结核性肾盂炎
A18.100x031 男性盆腔结核
A18.101 泌尿系统结核
A18.103+N29.1* 肾结核
A18.104+N29.1* 结核性肾脓肿
A18.105+N29.1* 结核性肾盂积水
A18.106+N29.1* 输尿管结核
A18.107+N29.1* 结核性输尿管狭窄
A18.108+N33.0* 膀胱结核
A18.200x006 淋巴结结核
A18.200x010 周围淋巴结结核
A18.206 锁骨上淋巴结结核
A18.207 腋下淋巴结结核
A18.208 食管旁淋巴结结核
A18.209 闭孔淋巴结结核
A18.210 腹股沟淋巴结结核
A18.211 结核性淋巴管炎
A18.212 全身多发淋巴结结核
A18.700+E35.1* 肾上腺结核
A18.700x002+E35.1* 结核性艾迪生病
A18.800x001 肺外结核
A18.801+E35.8* 垂体结核
A18.806+E35.0* 甲状腺结核
A18.813+D77* 脾结核
A19.100 多个部位的急性粟粒型结核
A19.200 急性粟粒型结核
A19.200x001 急性血行播散性结核
A19.900 粟粒型结核
A19.900x004 全身血行播散性结核
A19.900x005 结核性多浆膜腔积液
A19.901 结核性多浆膜炎
A19.902 全身性粟粒型结核
A20.000 腺鼠疫[腹股沟淋巴结鼠疫]
A20.000x001 腺鼠疫
A20.100 蜂窝织皮下型鼠疫
A20.101 皮肤型鼠疫
A20.200 肺鼠疫
A20.300 脑膜炎型鼠疫
A20.700 脓毒症型鼠疫
A20.800x004 肠鼠疫
A20.800x005 眼鼠疫
A20.801 顿挫性鼠疫
A20.802 无症状鼠疫
A20.803 轻型鼠疫
A20.900x002 鼠疫菌病[鼠疫耶尔森菌病]
A21.000 溃疡腺型土拉菌病
A21.100 眼腺型土拉菌病
A21.300 胃肠土拉菌病
A21.300x002 咽腺型土拉菌病
A21.301 腹部土拉菌病
A21.700 全身性土拉菌病
A21.700x002 土拉菌脓毒症
A21.800 土拉菌病，其他形式的
A21.800x001 伤寒中毒型土拉菌病
A21.900x001 兔热病
A22.000 皮肤炭疽
A22.100x003 职业性炭疽
A22.200 胃肠炭疽
A22.200x001 肠炭疽
A22.700 炭疽性脓毒症
A22.900 炭疽
A23.000 马耳他布氏菌病
A23.000x001 羊布氏杆菌病
A23.100 流产布氏菌病
A23.100x001 牛布氏菌病
A23.200 猪布氏菌病
A23.300 犬布氏菌病
A23.800 布氏菌病，其他的
A23.900x001 布氏杆菌病[波状热]
A23.900x003 布氏杆菌性葡萄膜炎
A23.900x004 慢性布氏杆菌病
A23.900x006 布氏杆菌多发性神经根神经病
A23.903+N16.0* 布氏菌病肾小管-间质病变
A24.000 鼻疽
A24.000x002 马皮疽伯克霍尔德菌感染
A24.001 鼻疽假单胞菌感染性鼻疽
A24.002 鼻疽伯克霍德菌感染性鼻疽
A24.100x002 类鼻疽脓毒症
A24.100x003 类鼻疽肺炎
A24.101 急性类鼻疽
A24.102 暴发性类鼻疽
A24.201 亚急性类鼻疽
A24.202 慢性类鼻疽
A24.300 类鼻疽，其他的
A24.400 类鼻疽
A25.000x001 小螺菌鼠咬热
A25.100x001 念珠状链杆菌鼠咬热
A25.900 鼠咬热
A26.000 皮肤类丹毒
A26.700 丹毒丝菌脓毒症
A26.700x001 类丹毒脓毒症
A26.800x001 播散性类丹毒
A26.900 类丹毒
A26.900x002 丹毒丝菌感染
A27.000 出血性黄疸钩端螺旋体病
A27.800 钩端螺旋体病，其他形式的
A27.800x001 流感伤寒型钩端螺旋体病
A27.900x002 钩端螺旋体病感染中毒型
A27.900x004 钩端螺旋体病肺出血型
A27.900x005 钩端螺旋体病肾衰竭型
A27.900x006 钩端螺旋体病脑膜脑炎型
A28.000 巴斯德菌病
A28.001 巴斯德菌脓毒症
A28.100 猫抓病
A28.200 肠外耶尔森菌病
A28.801 人感染猪链球菌
A28.900 动物源性细菌性疾病
A30.000x001 未定类(I)麻风
A30.100x001 结核样型(TT)麻风
A30.100x003 麻风性穿孔性足溃疡
A30.200 偏结核样型界线类麻风
A30.200x001 界限结核样型(BT)麻风
A30.300 中间界线类麻风
A30.300x001 界线类(BB)麻风
A30.300x002 混合型麻风
A30.400 偏瘤型界线类麻风
A30.400x001 界限瘤型(BL)麻风
A30.400x002 近瘤型中间型麻风
A30.500 瘤型麻风
A30.500x001 瘤型(LL)麻风
A30.800 麻风，其他形式的
A30.900 麻风
A30.900x002 麻木型麻风
A30.900x003 斑疹麻木型麻风
A30.900x004 斑疹性麻风
A30.900x005 神经性麻风
A30.900x008 麻风性神经病
A31.000 肺分枝杆菌感染
A31.000x001 肺非结核分枝杆菌病
A31.000x004 堪萨斯分枝杆菌感染
