包含以下主要诊断：
A01.002+G01* 伤寒性脑膜炎
A02.203+G01* 沙门菌脑膜炎
A06.600+G07* 阿米巴脑脓肿
A17.000+G01* 结核性脑膜炎
A17.000x001+G05.0* 结核性脊膜炎
A17.000x005+G01* 蛛网膜结核病
A17.000x006+G01* 结核性脑膜粘连
A17.001+G01* 结核性脑脊髓膜炎
A17.100+G07* 脑膜结核瘤
A17.100x001+G07* 脑脊膜结核瘤
A17.800x007+G05.0* 结核性脊髓脊膜炎
A17.801+G07* 脑结核瘤
A17.802+G07* 结核性脑肉芽肿
A17.803+G05.0* 结核性脑膜脑炎
A17.804+G05.0* 结核性脑炎
A17.805+G07* 结核性脑脓肿
A17.806+G07* 脊髓结核
A17.807+G94.0* 结核性脑积水
A17.900+G99.8* 神经系统结核
A17.900x001+G99.8* 中枢神经系统结核
A18.822+I68.1* 结核性脑动脉炎
A22.801+G01* 炭疽脑膜炎
A23.900x005+G05.0* 布氏杆菌性脑炎
A32.101+G01* 利斯特菌性脑膜炎
A32.102+G05.0* 利斯特菌性脑膜脑炎
A32.801+I68.1* 利斯特菌性大脑动脉炎
A36.803+G63.0* 白喉性多神经炎
A37.900x005 百日咳脑病
A39.000+G01* 脑膜炎球菌性脑膜炎
A39.000x004+G01* 双球菌性脑膜炎
A39.000x005+G01* 脑膜炎球菌性蛛网膜炎
A39.000x006+G01* 流行性脑脊髓膜炎轻型
A39.000x007+G01* 流行性脑脊髓膜炎普通型
A39.000x008+G01* 流行性脑脊髓膜炎暴发型
A39.001+G01* 普通型流行性脑脊髓膜炎
A39.002+G01* 暴发型流行性脑脊髓膜炎
A39.003+G01* 流行性脑脊髓膜炎
A39.100+E35.1* 沃-弗综合征
A39.200 急性脑膜炎球菌血症
A39.300 慢性脑膜炎球菌血症
A39.400 脑膜炎球菌血症
A39.802+G05.0* 脑膜炎球菌性脑炎
A39.803+G05.0* 脑膜炎球菌性脊髓脊膜炎
A39.900 脑膜炎球菌感染
A42.800x003+G01* 放线菌脑膜炎
A50.400x002+G01* 晚期先天性梅毒性脑膜炎
A50.400x003+G05.0* 晚期先天性梅毒性脑炎
A50.400x004+G63.0* 晚期先天性梅毒性多神经病
A50.402+G01* 先天性梅毒性脑膜炎
A51.401+G01* 二期梅毒性脑膜炎
A52.001+I68.1* 梅毒性大脑动脉炎
A52.100x005+G22* 梅毒性帕金森病
A52.100x006+G59.8* 梅毒性神经炎
A52.100x007+G05.0* 梅毒性脑炎
A52.100x008+G63.0* 梅毒性多神经病
A52.100x009+G01* 梅毒性脑膜炎
A52.100x010+G05.0* 梅毒性脑膜脑炎
A52.104+F02.8* 麻痹性痴呆
A52.105+G01* 三期梅毒性脑膜炎
A52.106+H48.0* 视神经梅毒
A54.801+G07* 淋球菌性脑脓肿
A54.803+G01* 淋球菌性脑膜炎
A69.200x002+G63.0* 莱姆病性神经病
A79.900x003+G05.2* 立克次体脑炎
A80.000 急性麻痹性脊髓灰质炎，与接种有关
A80.100 急性麻痹性脊髓灰质炎，(外地)移入性野病~~毒
A80.200 急性麻痹性脊髓灰质炎，本土性野病毒
A80.300x001 脊髓灰质炎瘫痪型
A80.301 急性麻痹性脊髓灰质炎
A80.400 急性非麻痹性脊髓灰质炎
A80.400x001 脊髓灰质炎无瘫痪型
A80.400x002 脊髓灰质炎顿挫型
A80.900 急性脊髓灰质炎
A81.000 克罗伊茨费尔特-雅各布病
A81.000x002 亚急性海绵状脑病
A81.000x004 可传播性海绵状脑病
A81.000x006 常染色体显性遗传朊蛋白病
A81.000x007 家族性致死性睡眠症
A81.001+F02.1* 克罗伊茨费尔特-雅各布病性痴呆
A81.100 亚急性硬化性全脑炎
A81.101 亚急性包涵体脑炎
A81.200 进行性多灶性白质脑病
A81.200x001 播散性坏死性脑白质病
A81.800 中枢神经系统其他的非典型病毒感染
A81.800x001 库鲁病[新几内亚震颤病]
A81.801 朊蛋白病
A81.900 中枢神经系统的非典型病毒感染
A82.000 森林狂犬病
A82.100 城市狂犬病
A82.900 狂犬病
A83.000 日本脑炎
A83.000x001 流行性乙型脑炎
A83.000x002 流行性乙型脑炎轻型
A83.000x003 流行性乙型脑炎普通型
A83.000x004 流行性乙型脑炎重型
A83.000x005 流行性乙型脑炎极重型
A83.100 西方马脑炎
A83.200 东方马脑炎
A83.300 圣路易斯脑炎
A83.400 澳大利亚脑炎
A83.500 加利福尼亚脑炎
A83.600 罗西欧病毒病
A83.800 蚊媒介病毒性脑炎，其他的
A83.900 蚊媒介的病毒性脑炎
A84.000 远东蜱媒介的脑炎[俄罗斯春-夏型脑炎]
A84.000x001 森林脑炎
A84.100 中部欧洲蜱媒介的脑炎
A84.800x001 羊跳跃脑炎
A84.900 蜱媒介的病毒性脑炎
A85.000+G05.1* 肠病毒性脑炎
A85.000x002+G05.1* 柯萨奇病毒性脑炎
A85.000x003+G05.1* 埃可病毒性脑炎
